number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.20699366331100466,2025-04-12 18:02:44.477999,2025-04-12 18:02:55.152842,0 days 00:00:10.674843,0.786924984032624,0.10469839450583474,2,0.2089443396549444,0.0487171305843597,0.05155238141398119,0.09398617727466213,0.0374583096732884,0.07869640052028348,0.0006068821205944263,9,18,0.07503123902675503,0.22833919720191168,False,True,True,6.180998366619012e-05,COMPLETE
1,0.17485609650611877,2025-04-12 18:02:55.157301,2025-04-12 18:03:10.023121,0 days 00:00:14.865820,0.36419833699435467,0.8385091661922661,2,0.2417643492501632,0.06762581215473905,0.06896303360646526,0.08798671318249532,0.024664414166038127,0.06270624845215686,5.108393779303817e-05,17,102,0.06876716461617567,0.17820308790720144,False,False,True,5.443425629224131e-08,COMPLETE
2,0.2905835747718811,2025-04-12 18:03:10.026789,2025-04-12 18:03:20.525200,0 days 00:00:10.498411,0.6411369059768091,0.9669717901380794,8,0.19385231253720614,0.13562072284162646,0.08415274805313958,0.0732457057538838,0.06672086842786715,0.05535836385167139,0.0005697571024190586,27,130,0.027331913315718614,0.254318041370119,True,False,False,1.801867709813021e-05,COMPLETE
3,0.285584819316864,2025-04-12 18:03:20.529179,2025-04-12 18:03:35.236752,0 days 00:00:14.707573,0.2873692781916191,0.2887852427138701,2,0.24916378191207847,0.19797124134205205,0.07624478990022145,0.042299525855806944,0.01399706117559216,0.08138889336882253,0.0014549444450989947,14,10,0.08132934647899842,0.18317952330170648,False,False,False,0.00019001682342438122,COMPLETE
4,0.24645377397537233,2025-04-12 18:03:35.240909,2025-04-12 18:03:43.022622,0 days 00:00:07.781713,0.4884098162240858,0.2050534877201393,16,0.15013686405866686,0.1812237802124908,0.08971160453207173,0.052383303448980234,0.049394146531875974,0.08005127232168838,1.1665583759002388e-05,22,54,0.03189323676287137,0.1520602617156962,True,False,False,2.507085800963562e-06,COMPLETE
5,0.3031479895114899,2025-04-12 18:03:43.027148,2025-04-12 18:03:52.933584,0 days 00:00:09.906436,0.8193084273469843,0.5562376070351758,2,0.062345257904499726,0.19864388105315414,0.09507215762967414,0.0990844078335048,0.05503584071946068,0.0745298229826958,0.0003116463212113758,6,38,0.08953831837513967,0.09229497404677332,True,False,False,6.764277766930824e-06,COMPLETE
6,0.20359259843826294,2025-04-12 18:03:52.938470,2025-04-12 18:03:59.711763,0 days 00:00:06.773293,0.6799031742386643,0.19598892030085086,8,0.023852737776955575,0.26660496524015925,0.0653388683166077,0.03240989685853624,0.019975715252544782,0.010125811708709378,0.002406268194412074,10,132,0.06134070648662277,0.02223706106916743,False,True,True,0.000648415591076635,COMPLETE
7,0.19931281208992005,2025-04-12 18:03:59.717040,2025-04-12 18:04:05.362880,0 days 00:00:05.645840,0.7860514675104225,0.2167115745657712,16,0.1816550559357806,0.27177507836103765,0.08015675048516673,0.09406976336010817,0.09942198886510772,0.0030787152422558904,0.005848665636148459,5,30,0.04357689363646725,0.0652228719654658,False,True,True,6.674656552664879e-07,COMPLETE
8,0.19931281208992005,2025-04-12 18:04:05.371028,2025-04-12 18:04:12.343538,0 days 00:00:06.972510,0.8156137461526611,0.032222073294352005,8,0.28052152625060717,0.282350371953753,0.0576874221867457,0.02588106180683151,0.07054106821536596,0.02922310315793278,2.4580511199569378e-05,12,19,0.050550391541888666,0.15422075157085227,False,True,True,9.297715918182682e-05,COMPLETE
9,0.24461397528648376,2025-04-12 18:04:12.349730,2025-04-12 18:04:18.511812,0 days 00:00:06.162082,0.0626366898482448,0.6828652463424537,16,0.05357859833765306,0.08977168648523576,0.06479784364024062,0.027680012579301617,0.0854128028994446,0.07642035628567186,0.04428061225335208,5,138,0.07881667804787236,0.09235433970626253,True,False,False,0.000542344622566829,COMPLETE
