number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.19931281208992005,2025-04-14 15:16:31.275453,2025-04-14 15:16:37.842071,0 days 00:00:06.566618,0.2909399510150095,0.7470125283199801,16,0.2530847607224476,0.24999985880575795,0.008089010730411118,0.0463968286510799,0.05824345727219877,0.009491521110371697,1.003228737405442e-05,15,117,0.017673505028313576,0.008112556017825966,False,True,True,8.597439144012574e-06,COMPLETE
1,0.1913137137889862,2025-04-14 15:16:37.848591,2025-04-14 15:16:49.476669,0 days 00:00:11.628078,0.8321287357849361,0.8019559888763882,2,0.09297250354750394,0.11721673024916486,0.019035916785394652,0.05952509967160318,0.07591427534855309,0.04925500296977449,0.007469231009262944,11,60,0.006118914185857009,0.02281730604513052,True,False,True,1.7710884764019498e-08,COMPLETE
2,0.20454249978065492,2025-04-14 15:16:49.480525,2025-04-14 15:16:57.686471,0 days 00:00:08.205946,0.7994739024749828,0.5361195260391882,16,0.13589637036470814,0.26451196934068516,0.08833246266588103,0.019364199866498902,0.07033478038123653,0.083292837912352,0.0001486353674278181,29,137,0.05435909695106044,0.05111244381782914,True,True,True,1.7243775961440297e-07,COMPLETE
3,0.22563029527664186,2025-04-14 15:16:57.690601,2025-04-14 15:17:16.723701,0 days 00:00:19.033100,0.4206691257684293,0.5228657277832024,2,0.20985826973482627,0.021249634755645636,0.08630188245119913,0.05362785317567965,0.029866434901761253,0.09721906431336307,0.003217327964603977,25,131,0.02352911676031027,0.042692577695630014,True,True,False,1.1771805560972833e-06,COMPLETE
4,0.3133468389511108,2025-04-14 15:17:16.727817,2025-04-14 15:17:23.412958,0 days 00:00:06.685141,0.37792469152781005,0.9371939439490156,16,0.021455194818880183,0.07874109031740002,0.05992246383317599,0.05495181599862149,0.012594340892960632,0.04436139139450812,0.0023374296212481122,15,119,0.010286331333191734,0.22101811035718383,True,True,False,1.017316072576267e-06,COMPLETE
5,0.184735906124115,2025-04-14 15:17:23.417683,2025-04-14 15:17:32.296438,0 days 00:00:08.878755,0.7628907462065718,0.9622531445222754,8,0.17267197582149676,0.13503644524055602,0.04458204481264895,0.09880818845439655,0.047116903711169014,0.033681403739773484,0.00040693629811061545,24,97,0.04900031217207375,0.11527580331827993,True,False,True,3.8468213506037966e-08,COMPLETE
6,0.22286366224288942,2025-04-14 15:17:32.301189,2025-04-14 15:17:41.932139,0 days 00:00:09.630950,0.48230857777013586,0.10610669328825569,8,0.27688896390221845,0.06845539233106307,0.0333078386533515,0.02544171025411095,0.051968607220379257,0.08806423787199222,0.00959536304006244,30,52,0.05435419423900152,0.08498851226277189,True,True,False,2.9634785903317428e-08,COMPLETE
7,0.2984149158000946,2025-04-14 15:17:41.938560,2025-04-14 15:17:49.520980,0 days 00:00:07.582420,0.20475856706828266,0.5999121866818165,8,0.14813979813229403,0.0608924075756152,0.05765287517428911,0.039926669511143,0.02592928234599197,0.011317002076150127,0.018664156909683094,12,25,0.03210696352529628,0.2575026887368104,False,False,False,2.3046639795222057e-07,COMPLETE
8,0.28523938059806825,2025-04-14 15:17:49.526432,2025-04-14 15:17:59.719315,0 days 00:00:10.192883,0.45276035183408375,0.552341974468647,8,0.2771480165826402,0.22317998950114304,0.0014551144227270836,0.094855195449345,0.006064439987703338,0.04086794038929854,0.04994394574875508,27,148,0.03184431431756978,0.00749331563841767,False,False,False,3.367527175058741e-07,COMPLETE
9,0.19931281208992005,2025-04-14 15:17:59.724968,2025-04-14 15:18:05.917587,0 days 00:00:06.192619,0.2725693706844767,0.5165888736223794,8,0.2641756266527935,0.18398300469625628,0.07777761337651411,0.09659643800183278,0.03217489829840723,0.020133369541833607,0.023212029850562973,6,71,0.05432802986799114,0.2525735580854838,True,True,True,0.00041532139001306136,COMPLETE
10,0.2252357363700867,2025-04-14 15:18:05.924016,2025-04-14 15:18:12.864247,0 days 00:00:06.940231,0.024421710127846386,0.2736908273214097,16,0.006778871532337147,0.006933842880053012,0.06941393839110209,0.0016486936520421769,0.006933583559667132,0.06791308973169456,8.466746235922192e-05,20,100,0.09936327511090327,0.18931785546830537,False,True,False,2.363811444265239e-05,COMPLETE
