number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.31353340148925785,2025-04-13 00:35:11.298911,2025-04-13 00:35:34.295633,0 days 00:00:22.996722,0.3552536274001121,0.5215928233719634,16,0.14444634239045737,0.14107100158519856,0.05952120253233508,0.07595732280808566,0.06286348051905459,0.06209925897529859,0.00011654711147139447,22,95,0.06527352943887349,0.2722748159012936,True,True,True,0.0006110055471136732,COMPLETE
1,0.18795708417892457,2025-04-13 00:35:34.299903,2025-04-13 00:35:58.487614,0 days 00:00:24.187711,0.7795692489196602,0.366856970622609,8,0.26391680968642556,0.00044130429388278557,0.041514951108342656,0.07813096771897071,0.09061084981047147,0.08055816334197355,0.08470453250886943,13,108,0.0475689636110291,0.08490712385542505,False,False,False,1.3251376863098385e-05,COMPLETE
2,0.18795708417892457,2025-04-13 00:35:58.491276,2025-04-13 00:36:20.550086,0 days 00:00:22.058810,0.39638754056909864,0.029713423057354964,16,0.21721776961601827,0.23394804711727507,0.03362835088374027,0.06977000513243752,0.02111005142273119,0.05349663918222184,0.06845994686591901,28,44,0.08846756026128966,0.08522831177703126,False,True,True,2.9874509982468092e-05,COMPLETE
3,0.2586766004562378,2025-04-13 00:36:20.554227,2025-04-13 00:36:58.061591,0 days 00:00:37.507364,0.9253156036500653,0.6806537916370534,8,0.2985055506434116,0.2412577584645368,0.0748917946127907,0.03200974630044702,0.008111323187162813,0.006923211843369802,2.2035762223093275e-05,25,132,0.08946155953826916,0.28262279746395974,True,False,False,0.0005111481717960428,COMPLETE
4,0.18795708417892457,2025-04-13 00:36:58.065841,2025-04-13 00:38:37.907810,0 days 00:01:39.841969,0.40909713949883897,0.9972006867331443,2,0.24274295794155007,0.06516187688825684,0.0012929093508757862,0.010030134511632201,0.011735641616275293,0.025145522466572832,0.000253446330868405,30,124,0.029692208105179998,0.17531800766670713,False,True,True,1.0621937707368675e-08,COMPLETE
5,0.18445068001747134,2025-04-13 00:38:37.912288,2025-04-13 00:40:05.773217,0 days 00:01:27.860929,0.5468731477362091,0.8906266955155332,2,0.22855890601071585,0.1560593396694648,0.030095692295581174,0.045681331435497026,0.08514833633418231,0.0617659484255974,0.019752123608648326,26,95,0.027591582168746243,0.09944656881798854,True,False,True,0.00026874922231627665,COMPLETE
6,0.22348871231079104,2025-04-13 00:40:05.778030,2025-04-13 00:40:23.294291,0 days 00:00:17.516261,0.8516345201306755,0.354594825679752,16,0.2889204765144221,0.2867297773126186,0.07646551801515754,0.026231232463816895,0.06351955745297902,0.05489393072289778,1.1103256256763099e-05,14,52,0.03419156726540664,0.017894080562815013,True,True,False,0.00018479456692419138,COMPLETE
7,0.18835069537162782,2025-04-13 00:40:23.299407,2025-04-13 00:40:53.039252,0 days 00:00:29.739845,0.4185229931357879,0.6901927496496589,2,0.2550245678766756,0.2962295163048601,0.040968404937588195,0.03894933998500422,0.03513474232419354,0.06775043279838529,0.00624167649241066,5,123,0.0669997739384615,0.2603173636463364,True,True,False,8.39884001740431e-05,COMPLETE
8,0.18795708417892457,2025-04-13 00:40:53.044827,2025-04-13 00:41:13.106186,0 days 00:00:20.061359,0.8552580142758156,0.4660904770132588,16,0.23384831163277336,0.14155909274822526,0.07753424555222944,0.006803862840575543,0.03311681880100807,0.09304248556364003,0.004890184395451791,22,22,0.04128832863942995,0.19918643648979048,True,True,True,0.00047364196583869213,COMPLETE
9,0.19054601192474366,2025-04-13 00:41:13.112481,2025-04-13 00:41:42.083672,0 days 00:00:28.971191,0.43430053239870253,0.42054095117624213,2,0.08179053514572363,0.046432107199615894,0.04422217475005464,0.025765336598676195,0.07171226792793675,0.008462244689020305,0.00013661253218415648,5,44,0.026435499973515134,0.001962926558924944,False,True,False,4.6697852150745087e-07,COMPLETE
