number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.3068927347660065,2025-04-14 22:29:03.271601,2025-04-14 22:29:27.099136,0 days 00:00:23.827535,0.03280366185304006,0.22661666643711603,16,0.03759457456205419,0.25213494187772895,0.03990819582916324,0.08990375356451731,0.005703700884204959,0.09657763993317657,0.0015111570101909136,23,119,0.029526531293773566,0.2825623389261625,False,False,False,6.313996967594241e-05,COMPLETE
1,0.1462851881980896,2025-04-14 22:29:27.103262,2025-04-14 22:30:17.869996,0 days 00:00:50.766734,0.4845614690796592,0.496882214770272,2,0.1667175421250337,0.024029317235722478,0.0737800867137435,0.03744701022269809,0.029555841000697906,0.007833531704340174,0.003107660169019762,13,48,0.022437550109578958,0.17512954938032516,False,True,True,0.00011091190739754582,COMPLETE
2,0.18795708417892457,2025-04-14 22:30:17.874058,2025-04-14 22:31:51.353079,0 days 00:01:33.479021,0.35590507809617955,0.6999343001674942,2,0.04722806775038984,0.06181161640827749,0.08596712810321716,0.061223849143292694,0.05395999851998103,0.09249592357617382,0.010925537068161642,24,131,0.07679655714695084,0.03109276911845861,False,False,False,1.274062633613375e-05,COMPLETE
3,0.21105300188064574,2025-04-14 22:31:51.356964,2025-04-14 22:32:09.801369,0 days 00:00:18.444405,0.9169371121629468,0.7448585855288253,16,0.026282358929857898,0.12484466704597003,0.09033034135023012,0.04812352365587976,0.03404412114917497,0.024499951699283314,0.0005643230663199478,10,142,0.05229046884678653,0.05876116358381782,True,True,False,1.4934451182227109e-05,COMPLETE
4,0.3614007115364075,2025-04-14 22:32:09.805534,2025-04-14 22:32:26.942221,0 days 00:00:17.136687,0.8174707899133512,0.839794280067218,16,0.03405073324487492,0.07887204799769826,0.03466041132847269,0.005824051869437211,0.025572124589304003,0.033944074680252415,0.0012332707637851053,10,39,0.09578140970392855,0.022566590225560908,False,False,False,8.896522737233681e-07,COMPLETE
5,0.20845214128494263,2025-04-14 22:32:26.946769,2025-04-14 22:34:03.495585,0 days 00:01:36.548816,0.590958310871111,0.8835315169473397,2,0.17878846418514413,0.09347992407805579,0.07452177794969461,0.08263580493396246,0.0029844799567237726,0.06415932192950635,0.0016361504542845725,30,30,0.014075537710823524,0.10362871748562354,False,True,False,4.39078151595875e-06,COMPLETE
6,0.24439324140548707,2025-04-14 22:34:03.500336,2025-04-14 22:34:46.035576,0 days 00:00:42.535240,0.21463579976914,0.18306292807357646,2,0.2852591531080421,0.2155305677854367,0.01927360522344575,0.07723461266098738,0.006989437961113618,0.09263565778459211,0.00615419933180294,10,30,0.08499068974185607,0.11225713529731877,True,True,False,1.3686884369391298e-05,COMPLETE
7,0.18795708417892457,2025-04-14 22:34:46.040828,2025-04-14 22:36:05.601043,0 days 00:01:19.560215,0.30487397270178357,0.4384395584216951,2,0.24171919401999342,0.26540262801401765,0.001486061603223164,0.09550541157574188,0.022466108176450693,0.05641638445365248,0.0008867725551596345,23,35,0.028096554851505053,0.145259079407099,False,True,True,0.00013053331730356326,COMPLETE
8,0.33571121096611023,2025-04-14 22:36:05.606501,2025-04-14 22:36:30.718166,0 days 00:00:25.111665,0.7703109601996637,0.954940587678102,16,0.161734978392807,0.16384391636138135,0.025066239052582633,0.08313484169703603,0.04632443642682556,0.09476016418788662,0.00017436633311141605,29,26,0.04345266978830601,0.22806981087747324,False,False,False,1.5506568723703335e-06,COMPLETE
9,0.15763419270515444,2025-04-14 22:36:30.723918,2025-04-14 22:36:46.923114,0 days 00:00:16.199196,0.6981793978117856,0.07376509656320722,16,0.23811474964227414,0.15879990487237872,0.09003011547958635,0.05924747731337916,0.04040111059996771,0.041803590473136,1.4889999094692851e-05,9,77,0.08419173502337993,0.15502544143034822,True,False,True,1.5918017745235202e-06,COMPLETE
10,0.2735897779464722,2025-04-14 22:36:46.929635,2025-04-14 22:37:12.252061,0 days 00:00:25.322426,0.8781175598501851,0.7074823611035229,8,0.0853103732310862,0.0005043081915210162,0.05405754982042016,0.0025769766154442922,0.08668955469838047,0.03294226450692052,0.099312593389969,17,72,0.09634310406516294,0.02753873108291287,True,False,True,7.918574097483586e-08,COMPLETE
11,0.2952381014823914,2025-04-14 22:37:12.258856,2025-04-14 22:37:27.744534,0 days 00:00:15.485678,0.7533191516732252,0.9758335668017366,16,0.11928326746163835,0.1760696157360955,0.03344766100956274,0.0016894159451450114,0.06274872996021699,0.0725552586256772,9.337873623293875e-05,6,6,0.05361374948904669,0.23499886348288695,False,False,False,2.1983057138281015e-07,COMPLETE
12,0.2914611041545868,2025-04-14 22:37:27.751873,2025-04-14 22:37:52.408068,0 days 00:00:24.656195,0.7790402669346196,0.9897055081582746,16,0.12335869756797335,0.11081059081934716,0.017820400197670002,0.023032017903933236,0.07122161484309236,0.016525588475520346,0.00014171577446202912,29,5,0.06368127322311634,0.2173365032391394,False,False,False,5.814917503164999e-07,COMPLETE
13,0.25218919515609745,2025-04-14 22:37:52.415299,2025-04-14 22:38:19.551343,0 days 00:00:27.136044,0.98168755932376,0.8169973349085996,8,0.002608241472788264,0.19373042281697778,0.04820875392656766,0.029685943301883868,0.04546661164541892,0.07849439252067529,0.00016879646913852499,17,56,0.04267432517692328,0.297465780248063,False,False,False,1.3832764424224386e-08,COMPLETE
14,0.2902197062969208,2025-04-14 22:38:19.558683,2025-04-14 22:38:39.204867,0 days 00:00:19.646184,0.6011749711086417,0.6032203706711774,16,0.2093751992336706,0.06847087804052299,0.020248072196770123,0.07282894377307993,0.02062516908002732,0.04088647712761071,1.068823157106551e-05,14,98,0.06605623932444496,0.22525655595232363,False,False,False,9.335496828095001e-08,COMPLETE
15,0.2846036434173584,2025-04-14 22:38:39.212522,2025-04-14 22:38:54.848442,0 days 00:00:15.635920,0.8235921645474292,0.887902266786098,16,0.08775489605797532,0.14108419118331955,0.0017794365050726006,0.013320027260957379,0.07267610758358783,0.05236948246149018,0.024731181472353442,5,57,0.0013456833640906538,0.0754614001538244,False,False,False,1.0325666021410738e-06,COMPLETE
16,0.2080681085586548,2025-04-14 22:38:54.856436,2025-04-14 22:39:19.011806,0 days 00:00:24.155370,0.6540048461041277,0.3873545411011329,16,0.1343462140369607,0.21564806002855397,0.030497011457525453,0.0445540971383414,0.05572043212499056,0.07847709415752961,4.622970510785534e-05,27,20,0.042825948632928657,0.003012623556730286,False,False,False,0.0009201949045918788,COMPLETE
17,0.337423312664032,2025-04-14 22:39:19.020221,2025-04-14 22:39:49.196921,0 days 00:00:30.176700,0.4996764388684545,0.6431457102916323,8,0.08112885161846556,0.055265418671035724,0.0539742763072962,0.06096480450065003,0.09919778923703812,0.027761030473333625,0.0004803363022673876,20,92,0.06493936318491805,0.19069619490789674,False,False,False,1.2818481773512172e-08,COMPLETE
18,0.28203455805778505,2025-04-14 22:39:49.205687,2025-04-14 22:40:17.341134,0 days 00:00:28.135447,0.46598664078040375,0.5975614266958635,8,0.07505099708902423,0.0559857139657564,0.05997404120732286,0.062379065633565815,0.09438473624806645,0.004171360748616473,0.0005124192635711975,20,99,0.08995730790069018,0.18394355150821978,True,False,True,1.2376191097046258e-08,COMPLETE
19,0.3319834589958191,2025-04-14 22:40:17.350770,2025-04-14 22:40:43.070206,0 days 00:00:25.719436,0.3990903637288366,0.636171407599727,8,0.05906004375045126,0.09063084761613108,0.062171060910923254,0.021212031932508216,0.07967594798849155,0.027653236261577792,0.0005013347763113314,14,101,0.07231754110749251,0.11581992345495384,False,False,False,4.132601351704358e-08,COMPLETE
20,0.2968641757965088,2025-04-14 22:40:43.080207,2025-04-14 22:41:12.984573,0 days 00:00:29.904366,0.16997250042101258,0.32761945538002607,8,0.003460005167176483,0.03237235961874689,0.04317497054546363,0.036049261165817685,0.09940998717067458,0.015435973438727768,0.004875461488452394,20,88,0.09801312524937227,0.2674165991245516,False,False,False,3.8996728167306003e-07,COMPLETE
21,0.3431830167770386,2025-04-14 22:41:12.994246,2025-04-14 22:41:48.281345,0 days 00:00:35.287099,0.561429595680785,0.84666874533202,8,0.10444361731210108,0.1357663970407207,0.030257650434638638,0.0637338126947733,0.021854884563654354,0.041404217056967604,0.00024244145699345187,27,45,0.042714246062824805,0.20702130445912878,False,False,False,3.464088103609745e-06,COMPLETE
22,0.3541520059108734,2025-04-14 22:41:48.291766,2025-04-14 22:42:23.238929,0 days 00:00:34.947163,0.549122885129274,0.7848024297964233,8,0.10557681017014307,0.08430680388674537,0.03706978103397727,0.0665736312386929,0.014863607754635771,0.04006028624249888,0.00034406993073477036,26,66,0.06263382174719968,0.19509011848523272,False,False,False,3.956479126213833e-06,COMPLETE
23,0.3514750301837921,2025-04-14 22:42:23.248851,2025-04-14 22:42:58.094652,0 days 00:00:34.845801,0.5523136185680133,0.8015719154355905,8,0.10872212903011805,0.2986652588248133,0.012824472937236101,0.0685015069002972,0.015911055112120813,0.04312350743745287,0.0002696437008628328,26,47,0.058192672102022766,0.2507956858229258,False,False,False,5.539365467267758e-06,COMPLETE
24,0.3563741445541382,2025-04-14 22:42:58.106028,2025-04-14 22:43:32.915751,0 days 00:00:34.809723,0.6605812986307357,0.7816899419439094,8,0.14577296608528675,0.09582414049503665,0.009666779437870046,0.0689151770228168,0.015109563683225254,0.04684069138469288,5.1470462440123744e-05,26,62,0.058513946525039044,0.255651098214446,False,False,False,5.825554658494235e-06,COMPLETE
25,0.36366876363754275,2025-04-14 22:43:32.926655,2025-04-14 22:44:06.301484,0 days 00:00:33.374829,0.7025225595674081,0.747604852224974,8,0.1922153327349294,0.08440051992927124,0.00997821854184687,0.05360591459939192,0.01149840328716338,0.05913829645731461,5.103285288694191e-05,24,75,0.07265616390546809,0.15038129726450766,False,False,False,3.161149827978668e-05,COMPLETE
26,0.20791655778884888,2025-04-14 22:44:06.312872,2025-04-14 22:44:35.212829,0 days 00:00:28.899957,0.6723904625876946,0.526533015196014,8,0.19023129438377956,0.11527283428219359,0.012758976156023874,0.054562927017183675,0.03353579880144423,0.06212247557384233,3.369409831862244e-05,22,65,0.07905243071627956,0.14518577048367784,True,True,True,3.6936519538140936e-05,COMPLETE
27,0.18795708417892457,2025-04-14 22:44:35.224766,2025-04-14 22:45:08.944467,0 days 00:00:33.719701,0.8575557135085268,0.9121162913993792,8,0.22099738179961737,0.03111870245793262,0.012301543640834165,0.042406715437831345,0.012220960813890961,0.05033080935769449,5.203573873173107e-05,25,83,0.07240285986730217,0.08295065989312786,False,False,False,0.0002157525700233229,COMPLETE
28,0.2527137160301209,2025-04-14 22:45:08.955968,2025-04-14 22:45:29.362881,0 days 00:00:20.406913,0.9928102779968213,0.726246684710832,8,0.2968631844896312,0.10777467063333422,0.006055179053961399,0.053648332068083456,0.029796185061538055,0.06306726888655978,2.4644450877402728e-05,8,59,0.08724797067266406,0.16529895211046153,False,False,False,2.6149147513271566e-05,COMPLETE
29,0.285981559753418,2025-04-14 22:45:29.374820,2025-04-14 22:46:01.443612,0 days 00:00:32.068792,0.7002982935210357,0.7691939668166654,8,0.14403253938751642,0.0695245303898147,0.025058798551090243,0.09072587719016713,0.007383261411358253,0.051217772516573654,0.001381735664528034,22,114,0.09304693262669014,0.2613192108258025,False,False,False,4.449719829114832e-05,COMPLETE
30,0.2666395783424378,2025-04-14 22:46:01.455665,2025-04-14 22:46:22.892067,0 days 00:00:21.436402,0.8013075313369118,0.517057093111631,16,0.2639232562017772,0.0829276742606615,0.041793134533998806,0.07342552177344157,0.026974830813861015,0.03437515098809168,7.596161083838318e-05,18,111,0.0783663187975212,0.29229852365957415,False,False,False,0.0002646506113754779,COMPLETE
31,0.3520116984844208,2025-04-14 22:46:22.904389,2025-04-14 22:46:58.736988,0 days 00:00:35.832599,0.6608946997992942,0.8235378517245711,8,0.18918472206897782,0.08947517788714637,0.032086069530180956,0.06782976444712442,0.014663037379752917,0.04688090454091716,2.1342701130160833e-05,27,72,0.05727016349807136,0.19850533107229654,False,False,False,8.383037837674269e-06,COMPLETE
32,0.3273772120475769,2025-04-14 22:46:58.750688,2025-04-14 22:47:33.063479,0 days 00:00:34.312791,0.019908000714718377,0.6680877447062257,8,0.1528285651101096,0.04369514214158486,0.037147582607125876,0.053577763446149264,0.012083873623248309,0.03495020773641227,0.002272834554534944,25,67,0.07038752730104958,0.1287639970599628,False,False,False,1.4046746786371087e-06,COMPLETE
33,0.36875785589218146,2025-04-14 22:47:33.077774,2025-04-14 22:48:05.805904,0 days 00:00:32.728130,0.735668763204098,0.7670454703655609,8,0.041640813821111455,0.10098367768705871,0.02579842041486735,0.038711672604001914,0.002230360600414462,0.017745882860811635,9.746687276032364e-05,24,40,0.059501440292213215,0.27431922252053587,False,False,False,3.464052053713899e-06,COMPLETE
34,0.28515785932540894,2025-04-14 22:48:05.819076,2025-04-14 22:48:33.826036,0 days 00:00:28.006960,0.9247761801706654,0.9240168310987571,8,0.03470824724520391,0.00031501795997468385,0.008922098197568331,0.01281430691904005,0.0026533474784527153,0.01760038731595262,9.258284651166048e-05,23,39,0.050094625028073284,0.27500607583467945,False,True,False,7.527989203617525e-05,COMPLETE
35,0.2875806450843811,2025-04-14 22:48:33.839580,2025-04-14 22:49:29.941587,0 days 00:00:56.102007,0.7288231224172644,0.863016103096403,2,0.05553219420099763,0.12980507737235614,0.023876609572473128,0.03635212363752086,0.007729585434036219,0.010991633458731116,0.0008977696556529231,12,21,0.03454298332903581,0.2532632036331266,False,False,False,2.1101577062124434e-05,COMPLETE
36,0.2368788003921509,2025-04-14 22:49:29.955523,2025-04-14 22:50:43.225584,0 days 00:01:13.270061,0.90830816000862,0.5694292268929666,2,0.03704821284720186,0.10858241165810154,0.016928729381658136,0.048926461619974014,0.0024607764869193013,0.019847905516075254,4.388200666148184e-05,21,52,0.08035461850043149,0.04845018744646504,False,True,True,7.296060756508556e-06,COMPLETE
37,0.3227351069450379,2025-04-14 22:50:43.239922,2025-04-14 22:51:16.383161,0 days 00:00:33.143239,0.6435776716570498,0.7216797264897361,8,0.017469999930746855,0.07157983850876874,0.0069519102535916255,0.028283631906915664,0.037487976043023424,0.05773928350302063,6.656733888887511e-05,24,39,0.04763039363373339,0.24305069983811736,True,False,False,2.5133614802174266e-06,COMPLETE
38,0.25549042224884033,2025-04-14 22:51:16.398293,2025-04-14 22:51:34.734673,0 days 00:00:18.336380,0.8428835125973128,0.6731211424376831,16,0.06281694275585543,0.09745591272492965,0.0980191990018777,0.08407956361180993,0.025645652634704207,0.00137125858201698,2.5906305688853885e-05,18,44,0.03602906233766236,0.07527496760906624,False,True,False,5.067111199639025e-07,COMPLETE
39,0.18795708417892457,2025-04-14 22:51:34.749535,2025-04-14 22:53:25.283922,0 days 00:01:50.534387,0.6079684137936093,0.7465563604661044,2,0.20918295412457125,0.01883997566618971,0.024470788955682936,0.013019801668198962,0.0184951913967927,0.022055648809185188,0.002803886145247524,29,135,0.05927700065040797,0.2835527951808888,False,False,False,1.4710922122084021e-05,COMPLETE
40,0.1933994233608246,2025-04-14 22:53:25.299793,2025-04-14 22:53:45.708057,0 days 00:00:20.408264,0.7285959148118749,0.922276201735546,8,0.17087356610028887,0.14866497635013898,0.014623627696492338,0.04301415152557115,0.009044932479444994,0.008954264610863317,0.01157601884613387,12,14,0.07334720875177464,0.09170323675885673,True,False,True,8.486886488408256e-07,COMPLETE
