number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.19499096870422367,2025-04-13 13:47:38.885667,2025-04-13 13:47:46.982013,0 days 00:00:08.096346,0.2788854253644126,0.029202999584880096,16,0.2986297757456256,0.10136519147555667,0.031051142897065776,0.0013109511031933604,0.09478306272569623,0.026013973139034124,0.07566075870735213,25,71,0.04319550498112401,0.14624423045804005,True,True,True,4.644330526409651e-08,COMPLETE
1,0.2048193633556366,2025-04-13 13:47:46.986204,2025-04-13 13:47:54.492040,0 days 00:00:07.505836,0.4307181443012272,0.4257071420085792,16,0.2676074542793883,0.24787795074789729,0.022442938701747975,0.0732238823718319,0.021069645060291298,0.0157534503255376,0.00017664602131603146,23,75,0.08559297816055572,0.2524324872468754,False,True,True,3.9689188295862917e-07,COMPLETE
2,0.2077495872974396,2025-04-13 13:47:54.495735,2025-04-13 13:48:00.228136,0 days 00:00:05.732401,0.776015366081799,0.3469912685711325,16,0.1231038478332776,0.1536653710920159,0.08952878672103007,0.0704759338726429,0.02419007767108008,0.006408454495876631,0.00043983546341188197,5,18,0.023842296282528527,0.20511919915882212,False,True,False,5.0093328022990236e-05,COMPLETE
3,0.16710609197616577,2025-04-13 13:48:00.232058,2025-04-13 13:48:08.885003,0 days 00:00:08.652945,0.2441440707384183,0.8163740713288655,2,0.19710480387809243,0.05325200680918102,0.03142723771834203,0.017077194862461013,0.028885134277502427,0.014671673213980625,0.0007041474608648638,5,50,0.03266389059905056,0.10625495363199987,True,False,True,2.073206829352154e-06,COMPLETE
4,0.2145918309688568,2025-04-13 13:48:08.889295,2025-04-13 13:48:28.974155,0 days 00:00:20.084860,0.9767572616654776,0.9088598591298153,2,0.1589499567257411,0.05776153695851125,0.07898563460301568,0.053432361395716485,0.026600117449025903,0.0893953232053123,0.0002774412586097112,26,87,0.046693504925654716,0.2814525943195933,False,True,True,4.18754202110129e-06,COMPLETE
5,0.1900785028934479,2025-04-13 13:48:28.978610,2025-04-13 13:48:47.278521,0 days 00:00:18.299911,0.35720868172986214,0.6680972236942431,2,0.0821676099698531,0.22126615752839038,0.03165709087912691,0.03270163443151215,0.06626969322490593,0.038893080764980506,0.00012764636811903577,19,122,0.07506650580257185,0.010213081586078393,False,False,False,1.1474418496284294e-05,COMPLETE
6,0.2048193633556366,2025-04-13 13:48:47.283454,2025-04-13 13:48:54.693667,0 days 00:00:07.410213,0.3204828773386737,0.756007305783681,8,0.14538215504699892,0.19884486445236135,0.04762005273505058,0.037121402231775104,0.01932962210380162,0.05525627892700791,0.0006075150651015924,13,102,0.06109141671038869,0.07470426742820806,False,True,True,5.1707319851048545e-05,COMPLETE
7,0.17138912677764895,2025-04-13 13:48:54.699892,2025-04-13 13:49:04.875101,0 days 00:00:10.175209,0.7341046901508725,0.9829717738250991,2,0.26624795681987967,0.22233577425538092,0.006915558406120499,0.03259071536602774,0.013909173308958325,0.054401609797663696,0.060561719586714316,8,64,0.09729689774849493,0.06073481221963833,False,False,True,0.0005692307635194811,COMPLETE
8,0.2048193633556366,2025-04-13 13:49:04.880816,2025-04-13 13:49:19.998006,0 days 00:00:15.117190,0.05747304917428162,0.6263810830737717,2,0.16507690963582802,0.06276771053097091,0.051099270535292986,0.08460303911699339,0.04180369987101796,0.04599999863873715,0.0032066030613612058,14,108,0.01184139905317435,0.28239807896651914,False,False,False,1.2001100378617626e-07,COMPLETE
9,0.1819191634654999,2025-04-13 13:49:20.003990,2025-04-13 13:49:28.635101,0 days 00:00:08.631111,0.31076900043881045,0.2141075527741757,2,0.28841126298091013,0.15808878411013214,0.030366611792280025,0.024929728521931156,0.044509581189894815,0.009435101720831791,0.00012568473130113224,5,27,0.07859457459793746,0.2945190127993333,True,False,True,9.238596908190136e-06,COMPLETE
10,0.3710768580436707,2025-04-13 13:49:28.641384,2025-04-13 13:49:40.185873,0 days 00:00:11.544489,0.952986013368965,0.9543750408317354,8,0.0071271026764334056,0.011043794212747537,0.09464333846103584,0.05592950308643675,0.001470759508628551,0.09734645261937883,1.039680852854274e-05,30,145,0.05635216045735049,0.20748716510323667,True,True,False,1.6181520384282263e-08,COMPLETE
11,0.3653549075126648,2025-04-13 13:49:40.192482,2025-04-13 13:49:51.624479,0 days 00:00:11.431997,0.8687061617231575,0.9932625772275779,8,0.013114013288479854,0.006454816096254978,0.09603355240493856,0.0573801764021746,0.001300857879224159,0.09961990947679673,1.0733960396942468e-05,29,150,0.05268313858358316,0.2121479285280587,True,True,False,1.1817589379161519e-08,COMPLETE
12,0.2928135395050049,2025-04-13 13:49:51.631429,2025-04-13 13:50:03.056271,0 days 00:00:11.424842,0.9402137586655152,0.99449862142822,8,0.00316127139432674,0.0075005735465382,0.07451782579722749,0.05270954618514127,0.004372076365304421,0.09835762433520798,1.0544313522994477e-05,30,144,0.059264543324451247,0.19070191882758003,True,True,False,1.235796713037324e-08,COMPLETE
