number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.17987762689590453,2025-04-15 12:45:11.693668,2025-04-15 12:45:20.090270,0 days 00:00:08.396602,0.3189447650066166,0.05025497294522899,8,0.2575207609346738,0.26836734142704816,0.04265699296889352,0.08146521834674231,0.03431510937874222,0.08199651124897266,0.08327309148624462,22,5,0.04030241722481511,0.08410175128399107,False,False,True,4.494824778812506e-06,COMPLETE
1,0.20963614583015444,2025-04-15 12:45:20.094771,2025-04-15 12:45:27.412228,0 days 00:00:07.317457,0.8265565883810221,0.5857557559307419,8,0.1668463959207605,0.1905719338677933,0.05779575042634881,0.045968448726932294,0.08467305664305351,0.029402569336788965,2.915637159314502e-05,13,25,0.011163697626714209,0.22672270444252518,False,True,False,1.4193499706450858e-06,COMPLETE
2,0.2719533145427704,2025-04-15 12:45:27.415924,2025-04-15 12:45:34.285106,0 days 00:00:06.869182,0.5588088948601265,0.3903944647718517,16,0.2569081188738976,0.11452986508669875,0.012496192934705788,0.09956873004093976,0.01500709080475348,0.017993972889318498,3.2503034234742804e-05,6,133,0.016283237088005328,0.18690957435624886,True,False,False,1.2853139684254974e-08,COMPLETE
3,0.2048193633556366,2025-04-15 12:45:34.289264,2025-04-15 12:45:55.094519,0 days 00:00:20.805255,0.5707500782425051,0.7347747647717426,2,0.07010047664832211,0.05330234265609191,0.04522355892326175,0.018012406036386815,0.006905332206077089,0.09519088488613862,3.7144609070195255e-05,26,99,0.0531756931329195,0.2560583417163061,True,True,False,4.2505381799767494e-07,COMPLETE
4,0.2520039737224579,2025-04-15 12:45:55.098809,2025-04-15 12:46:02.621830,0 days 00:00:07.523021,0.8669467304612134,0.7826976405103389,16,0.19078031553921324,0.121293260816821,0.048608327734835484,0.019148187128680775,0.07758285215865418,0.05534732108642141,0.004791219001793812,18,71,0.09925490138699768,0.13006729089349509,False,False,False,8.263927549669936e-08,COMPLETE
5,0.1783379316329956,2025-04-15 12:46:02.626754,2025-04-15 12:46:13.663937,0 days 00:00:11.037183,0.2759434664723169,0.8469927836956109,2,0.2245469326648326,0.22536412180573073,0.09816582443445442,0.03041314109036041,0.05350965278373489,0.050808320771682486,0.00011331032125869297,9,70,0.05913426022823852,0.14112647018346497,True,False,True,1.7966231624866454e-07,COMPLETE
6,0.2665560126304627,2025-04-15 12:46:13.668735,2025-04-15 12:46:24.406873,0 days 00:00:10.738138,0.504768581671752,0.5605589395708069,8,0.14414891951463304,0.1987557649845891,0.0763548070801493,0.016562050624258157,0.09656559964024697,0.008196219003996356,0.0029964564517379845,24,123,0.01258477514459164,0.055133696411078396,True,True,False,9.35575371347366e-05,COMPLETE
7,0.2048193633556366,2025-04-15 12:46:24.412393,2025-04-15 12:46:33.280937,0 days 00:00:08.868544,0.4927951068899055,0.41035714558665265,16,0.17051796525343363,0.1486307603881538,0.06761771929156009,0.08437645948023736,0.021993321320710402,0.05579113288587862,0.0003486683846764479,27,95,0.03074850484164194,0.027248405834758096,True,True,True,1.0328575844179763e-07,COMPLETE
8,0.2048193633556366,2025-04-15 12:46:33.286379,2025-04-15 12:46:42.029568,0 days 00:00:08.743189,0.16365729119183445,0.15171244512636262,8,0.08435946278892088,0.031373313245700335,0.08928758842273259,0.016934098241228934,0.05981080697925937,0.05432469128892586,0.000771595447005088,20,115,0.004925799627725208,0.1787319124019653,False,True,True,1.808434276103236e-05,COMPLETE
9,0.27284457683563235,2025-04-15 12:46:42.035383,2025-04-15 12:46:49.588067,0 days 00:00:07.552684,0.320362986873026,0.22057419946098486,16,0.03247815689588411,0.11939921648282528,0.08386873783343061,0.04355845541152784,0.07917012805589739,0.06211173932118546,0.00013871912227221951,25,13,0.009544772691774398,0.1745345226979858,True,True,False,7.138863607057601e-08,COMPLETE
