number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.1888286888599396,2025-04-13 18:29:45.762553,2025-04-13 18:30:05.681869,0 days 00:00:19.919316,0.6144015522310765,0.8957247752287739,8,0.05400245948388417,0.1704394107894234,0.08776180531817265,0.08323925272290693,0.07886505394102744,0.0511193778757726,0.00017377241036120356,10,120,0.05754445652732192,0.26538481452080653,False,True,False,5.4408526174610947e-05,COMPLETE
1,0.2797153413295746,2025-04-13 18:30:05.686081,2025-04-13 18:30:26.208612,0 days 00:00:20.522531,0.14228226917688225,0.7515975289476627,8,0.28096190297815304,0.15891918826113918,0.08013135642389792,0.07745631089830787,0.03818391390394806,0.0758344615461516,0.007508548706029356,7,77,0.00908157099983772,0.23848149960275458,True,False,False,8.477970351665884e-07,COMPLETE
2,0.19262389540672303,2025-04-13 18:30:26.212396,2025-04-13 18:30:48.471079,0 days 00:00:22.258683,0.9927366489762096,0.5463519868864407,16,0.043773998779524856,0.21325005136784067,0.034470500069479035,0.06655486321718436,0.026501369610755374,0.008446580783279953,0.029723008312483482,28,39,0.024386725468474375,0.10434624854149294,False,False,True,0.00010893003218508952,COMPLETE
3,0.15864203572273256,2025-04-13 18:30:48.474933,2025-04-13 18:32:22.935729,0 days 00:01:34.460796,0.9782928103649424,0.5255437348338632,2,0.24521902082625935,0.25728332830826856,0.08596686486802609,0.0756600708982217,0.015742443082978883,0.09061988880683715,0.02929556623219586,29,13,0.06446049299328756,0.07359585522650126,False,False,True,0.0007363529334090476,COMPLETE
4,0.27539151906967163,2025-04-13 18:32:22.940233,2025-04-13 18:32:46.534958,0 days 00:00:23.594725,0.11196435306293918,0.3238291712126048,8,0.08718915775722763,0.07372012180374639,0.030919226485812468,0.07238538414601077,0.08990930133316032,0.04616322984190037,0.019455858123333832,16,12,0.014028861900861507,0.27447562222974653,True,True,False,1.654309448671961e-07,COMPLETE
5,0.15589228868484498,2025-04-13 18:32:46.539487,2025-04-13 18:33:01.491581,0 days 00:00:14.952094,0.9162744197128088,0.04816001989459,16,0.232207900954892,0.20553787188947062,0.05617241234460971,0.0813719458468425,0.05305159603323049,0.08465460074930346,0.0006433083603180381,8,38,0.035545277397485565,0.09076750482142291,False,False,True,2.425991069037504e-06,COMPLETE
6,0.19601173400878907,2025-04-13 18:33:01.496363,2025-04-13 18:33:24.145679,0 days 00:00:22.649316,0.15748777569048963,0.07718398923179709,16,0.0756787797963763,0.03349131511947128,0.08945603864457932,0.09428581023960328,0.04903780161760225,0.07075878404120978,6.68707992626381e-05,18,141,0.07346593232560673,0.07492999784022247,False,False,False,1.623468331710796e-06,COMPLETE
7,0.1888286888599396,2025-04-13 18:33:24.150875,2025-04-13 18:33:50.704355,0 days 00:00:26.553480,0.6622739851486851,0.9470039167385425,8,0.21373967452735462,0.2390181549323099,0.03489298176617007,0.08815767663327893,0.019134576650775,0.0757928921735421,0.00031056215600631655,19,87,0.027365716045041188,0.1427757003101608,False,True,True,1.56622308375659e-07,COMPLETE
8,0.1888286888599396,2025-04-13 18:33:50.709637,2025-04-13 18:34:15.205000,0 days 00:00:24.495363,0.9833697767455867,0.020850795448566682,16,0.20009022017740963,0.2807804488754466,0.047979222297166536,0.08508490337925567,0.028374004860333233,0.027948704226346453,0.0375086279494354,18,132,0.0025652472233566523,0.2448577107126841,True,True,True,9.218733153885606e-08,COMPLETE
9,0.35237543582916264,2025-04-13 18:34:15.210651,2025-04-13 18:35:01.171355,0 days 00:00:45.960704,0.15243337421067013,0.23821095240017684,2,0.0737601852088284,0.2576884814771626,0.07485767032617198,0.09671351312496701,0.07565365852405055,0.02832060569687285,0.0169772380486482,11,71,0.03412869260309224,0.18841542632507902,False,True,False,1.3182764726915389e-08,COMPLETE
