number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.2862352728843689,2025-04-15 18:19:49.981692,2025-04-15 18:20:12.761881,0 days 00:00:22.780189,0.6970289305330881,0.5506887760053014,16,0.15750301310789191,0.06868178294953871,0.018629168275082743,0.054632565462254805,0.021656361151458844,0.03946789658977875,9.47077296500289e-05,24,5,0.045685864499723165,0.21858673632041517,False,False,False,1.3775271266749473e-06,COMPLETE
1,0.1933658301830292,2025-04-15 18:20:12.766057,2025-04-15 18:20:42.501702,0 days 00:00:29.735645,0.06558667261181458,0.8357188201781662,2,0.06069417378484563,0.2557326341404804,0.039878914782649565,0.07167259832154856,0.055791123017860544,0.07304931614908086,0.00012415964502460192,5,91,0.0327218648524775,0.20534476609762958,False,True,False,5.0646036704880616e-08,COMPLETE
2,0.3616873025894165,2025-04-15 18:20:42.505394,2025-04-15 18:21:05.559635,0 days 00:00:23.054241,0.5313322382016346,0.5039108938443929,16,0.13965408833688076,0.1333763818370326,0.09705683517041704,0.07410761408962202,0.0017267091003444206,0.05819725212762616,0.0033061940593946382,25,85,0.07005027422337738,0.27134638175027,False,True,True,1.0630810984042101e-05,COMPLETE
3,0.22166707515716555,2025-04-15 18:21:05.563566,2025-04-15 18:21:36.650213,0 days 00:00:31.086647,0.24830307292791565,0.9528565161810179,8,0.16626367870352238,0.07576862670325604,0.013477265807414124,0.09616147254344759,0.07994812652901362,0.06084477064077227,0.0002088882547288662,26,64,0.02958910153187322,0.24975509586440184,False,True,False,3.594247200430233e-06,COMPLETE
4,0.1888286888599396,2025-04-15 18:21:36.654434,2025-04-15 18:22:01.733140,0 days 00:00:25.078706,0.49419876575577804,0.8319374422847383,8,0.05801354837600729,0.07029730502835727,0.02135011190945375,0.03888888369783162,0.05696866313007677,0.08950709082519114,0.00043129936217407155,16,132,0.0880296436037012,0.10643641304303109,False,True,False,1.2920622799769867e-07,COMPLETE
5,0.1888286888599396,2025-04-15 18:22:01.737616,2025-04-15 18:23:01.242959,0 days 00:00:59.505343,0.10742718340150904,0.6177883010948987,2,0.23131019544337433,0.22338498254820352,0.045015107975620854,0.023895029072813195,0.07490068947372328,0.09218249903864499,0.08722445797177679,16,84,0.07161758118980315,0.022234995020978116,False,True,False,4.936696091499874e-08,COMPLETE
6,0.34869371652603154,2025-04-15 18:23:01.249231,2025-04-15 18:23:20.552048,0 days 00:00:19.302817,0.32719478439423777,0.7242773967412842,8,0.06842988734187756,0.004421067750915758,0.032440501884235216,0.07789334038024,0.019226726926178186,0.06487821253217058,0.0011576183971742933,6,121,0.07271611203752301,0.23218020979161774,True,False,True,5.598711643568106e-05,COMPLETE
7,0.232263720035553,2025-04-15 18:23:20.557454,2025-04-15 18:24:02.969694,0 days 00:00:42.412240,0.7359862200461181,0.21009340163126705,2,0.21962600144362715,0.07836733008113048,0.08734284834939708,0.007387055161019901,0.017630657622201354,0.06787498365799209,0.052435036114503175,10,52,0.04018854557983253,0.04967044801842833,False,True,False,9.537824733105899e-05,COMPLETE
8,0.27892197370529176,2025-04-15 18:24:02.975465,2025-04-15 18:24:24.334550,0 days 00:00:21.359085,0.11403362539731636,0.6703512240018386,16,0.16554909666350187,0.21632358491109696,0.09439781693108754,0.09538636475732365,0.07452591665375233,0.0540021832967321,0.08640871102241292,16,93,0.010587508071698955,0.11223665595241998,False,False,False,2.3416077114746835e-07,COMPLETE
9,0.284222412109375,2025-04-15 18:24:24.340678,2025-04-15 18:24:53.878741,0 days 00:00:29.538063,0.9461008417934944,0.4362879613695934,8,0.0491604035752656,0.27152195240872307,0.011982723518960542,0.01696440086513819,0.08668740600781634,0.033820954277852235,0.0003913268084244998,18,91,0.08958116266109074,0.07618175077431215,False,False,False,7.835622892564496e-08,COMPLETE
10,0.1888286888599396,2025-04-15 18:24:53.885287,2025-04-15 18:25:17.984162,0 days 00:00:24.098875,0.5287244689794788,0.08302757444482434,16,0.28078769191558234,0.14881977900147425,0.07304638401175573,0.05843584272484877,0.003431099498277512,0.010221145447248031,0.004526555332381861,30,30,0.061935340748854345,0.28802293504830606,True,True,True,0.0008194935006308033,COMPLETE
11,0.2739701509475708,2025-04-15 18:25:17.990602,2025-04-15 18:25:51.895910,0 days 00:00:33.905308,0.36314979337774267,0.3924741771003242,8,0.0022283216527174687,0.024968919283444205,0.06207169873095102,0.07709712848150442,0.03245324111982252,0.03742572256714785,0.003453106761927376,21,133,0.07080319891831618,0.29984694623009256,True,False,True,2.6435090516191856e-05,COMPLETE
12,0.20282962918281555,2025-04-15 18:25:51.902753,2025-04-15 18:26:12.540827,0 days 00:00:20.638074,0.3869963430878921,0.30569457967781866,16,0.09764531164695513,0.14807124767169413,0.03575846091299341,0.0747965494752865,0.0017941209931014723,0.07749798451771658,1.3834929066790353e-05,10,115,0.0618070015990063,0.1742165429785275,True,False,True,2.8171621537104714e-05,COMPLETE
