number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.09215089827775956,2025-04-09 11:19:59.028807,2025-04-09 11:20:06.380184,0 days 00:00:07.351377,0.07739490448486033,0.9482937445161463,16,0.2755182671435119,0.29889028557434344,0.06630550218493614,0.001809313309041544,0.06524475692032387,0.09055301141580212,2.0144345679234297e-05,20,43,0.03283202452188559,0.09458481994439875,False,True,True,1.5840135660657076e-05,COMPLETE
1,0.1695841193199158,2025-04-09 11:20:06.384479,2025-04-09 11:20:12.606960,0 days 00:00:06.222481,0.8042565341177776,0.03602809856778306,16,0.06439830536843955,0.07986981853324125,0.082712125171468,0.06483047458200773,0.046078629910343005,0.024866676155812138,1.9501581256084502e-05,6,61,0.052601454348061676,0.08704197510292562,False,True,True,5.6509792455312854e-08,COMPLETE
2,0.09966772347688677,2025-04-09 11:20:12.610906,2025-04-09 11:20:19.570998,0 days 00:00:06.960092,0.27757715352754025,0.7640174593118921,16,0.09774547154278099,0.11677570055463261,0.0690952554354076,0.002620791098874815,0.04063380712850133,0.06144237911096601,4.653976146881066e-05,13,80,0.047804746248763956,0.214340438816733,True,False,True,1.1407470998086484e-05,COMPLETE
3,0.09215089827775956,2025-04-09 11:20:19.574978,2025-04-09 11:20:26.791143,0 days 00:00:07.216165,0.17022250492521226,0.07100230607615332,8,0.002034318565125162,0.2827204657610445,0.07550798026709517,0.054696838897247954,0.0104602899934826,0.09419611460630162,0.00044714991001316854,10,15,0.07807943016341501,0.20918240592472329,False,True,True,1.2356417834886766e-05,COMPLETE
4,0.38242635726928714,2025-04-09 11:20:26.796064,2025-04-09 11:20:33.462771,0 days 00:00:06.666707,0.3430173842562398,0.5956822855305948,16,0.04650751338019776,0.14393299540702578,0.06149814601967664,0.06282970923218778,0.02723473844090561,0.037945354748869495,7.820954476017849e-05,6,43,0.08788633386032012,0.2808405441790969,False,False,False,2.414366791556001e-05,COMPLETE
5,0.3917422413825989,2025-04-09 11:20:33.467396,2025-04-09 11:20:56.255443,0 days 00:00:22.788047,0.09753152350525046,0.4065234925137026,2,0.11867850896062002,0.0659338478505081,0.07729976162611765,0.020808019033736906,0.08839523013797147,0.05213216752701238,0.03885769934124375,26,56,0.01488647793996812,0.24955017976161908,False,False,False,1.218810359077953e-05,COMPLETE
6,0.26115546822547914,2025-04-09 11:20:56.260852,2025-04-09 11:21:04.827116,0 days 00:00:08.566264,0.4235978146198522,0.4320259727094178,8,0.05053741909056154,0.18040389593171774,0.016904442505066807,0.06662679448389983,0.030222377795194,0.003995403321887175,0.002278716675526932,19,131,0.030001077002945874,0.041023383173833756,False,True,True,5.575674636445218e-08,COMPLETE
7,0.4164378762245179,2025-04-09 11:21:04.832656,2025-04-09 11:21:12.221325,0 days 00:00:07.388669,0.2312246842690874,0.9905293353214002,16,0.13714401871749887,0.03669216414147937,0.06652037061625954,0.08445360507077161,0.019977954284175266,0.00320034567144247,0.011561061145490737,11,150,0.01897424594820396,0.06346428058121996,True,False,False,9.816714151735245e-08,COMPLETE
8,0.13374262452125552,2025-04-09 11:21:12.226909,2025-04-09 11:21:22.450050,0 days 00:00:10.223141,0.8575478958098335,0.5871906628357969,8,0.14776618581883588,0.25207507487295006,0.069911146442134,0.050873279399031426,0.026191428876275884,0.08411050000328138,5.231425595741819e-05,30,92,0.052825517721414715,0.01636064967074719,True,True,False,1.4213592009247756e-06,COMPLETE
9,0.09215089827775956,2025-04-09 11:21:22.455922,2025-04-09 11:21:31.909470,0 days 00:00:09.453548,0.4859511161715614,0.1608379947282756,8,0.19257883501527018,0.06314565184659003,0.027166326538151552,0.057713894153874644,0.03661307971099965,0.044359182470306444,3.886951158208639e-05,25,94,0.07543340770584528,0.018322946864953227,True,True,True,1.0022687797620568e-07,COMPLETE
