number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.20176885426044466,2025-04-16 14:42:57.811623,2025-04-16 14:43:04.339561,0 days 00:00:06.527938,0.44362232712148475,0.7336200657063069,16,0.20470739070903285,0.017183480396539972,0.06749189982438003,0.035704994424763284,0.08050870745209804,0.03986697205557363,1.0244806407504527e-05,6,53,0.08774935663667682,0.2902354788670691,True,True,False,9.303026305711459e-07,COMPLETE
1,0.4103729128837586,2025-04-16 14:43:04.344889,2025-04-16 14:43:24.933955,0 days 00:00:20.589066,0.4045057170873303,0.5066948829473406,2,0.09086714958159918,0.06465171251269362,0.07156247741390755,0.09131926987282012,0.09433873160591164,0.09297788929817029,0.05835087057142904,27,31,0.05517668105216892,0.2830111238005037,True,True,False,2.3996127295334137e-08,COMPLETE
2,0.15879461467266082,2025-04-16 14:43:24.937868,2025-04-16 14:43:41.835387,0 days 00:00:16.897519,0.09846013995147385,0.7460536306783924,2,0.11749366715550459,0.04350662341219487,0.00989760881148067,0.06461916092026435,0.03100362292000172,0.06706118155913456,0.028353360538391763,20,30,0.048770042638378426,0.04396947991441143,False,True,False,6.3048390602427164e-06,COMPLETE
3,0.4040208101272583,2025-04-16 14:43:41.839402,2025-04-16 14:43:52.575845,0 days 00:00:10.736443,0.6658723023351539,0.7767270383044642,8,0.178348716609328,0.26784224909397175,0.08383979639976351,0.024377772705787348,0.09156198374370154,0.05998125468761875,0.005332431297637948,27,59,0.07803041115196989,0.16314581368737086,False,False,False,5.152934970127659e-07,COMPLETE
4,0.3264673054218292,2025-04-16 14:43:52.580274,2025-04-16 14:44:09.672213,0 days 00:00:17.091939,0.6833828240628551,0.8821607133628514,2,0.18860652891735025,0.2105442733962531,0.030714361292784865,0.010820457656668673,0.019895249665609575,0.06086060980660947,6.422092588416494e-05,16,8,0.014362604858605653,0.27877021837485494,True,False,False,3.52278396084414e-05,COMPLETE
5,0.24493635892868043,2025-04-16 14:44:09.676720,2025-04-16 14:44:19.340047,0 days 00:00:09.663327,0.6377926565667092,0.23750202421432862,8,0.10145594870944444,0.05734898008126272,0.07362044781428324,0.004903387735698695,0.06586025316947364,0.09908474482915172,0.05768760433955692,18,150,0.05845835114100255,0.23739711982218487,True,False,False,0.0004415412477115893,COMPLETE
6,0.09215089827775956,2025-04-16 14:44:19.345008,2025-04-16 14:44:34.897527,0 days 00:00:15.552519,0.3690437814990501,0.882342890725762,2,0.25692570037137447,0.030697348232913403,0.047060411969295585,0.07013224588831757,0.08765614530101264,0.03216110202971251,0.00045274173740706336,17,99,0.06089755279027878,0.24463989260651917,False,True,True,1.1042082803890928e-06,COMPLETE
7,0.1452004611492157,2025-04-16 14:44:34.902978,2025-04-16 14:44:45.135369,0 days 00:00:10.232391,0.022198503392164608,0.5981727822183426,8,0.12773487065427172,0.13169735604401975,0.019202494202664278,0.05010031853047839,0.043230236679451,0.035667637454702646,0.008353639251557141,30,73,0.011838209139677792,0.26845070675021043,False,True,False,2.007266240730344e-05,COMPLETE
8,0.34341198801994327,2025-04-16 14:44:45.141485,2025-04-16 14:44:54.513521,0 days 00:00:09.372036,0.9821929071758996,0.9536319805219858,8,0.05000719200657657,0.19729603408155236,0.03274432240044237,0.0526882697184852,0.05792602707441532,0.049247810043582044,0.0005097151019462788,22,67,0.08787346199159408,0.18294006453093117,True,True,True,1.3655795723985918e-08,COMPLETE
9,0.09215089827775956,2025-04-16 14:44:54.519717,2025-04-16 14:45:05.732283,0 days 00:00:11.212566,0.04312555821624312,0.9325843457644907,2,0.258161568024689,0.1581758207182391,0.0982231198666152,0.09458135286723941,0.008062221352130998,0.07346966916219032,0.008441522842620782,9,64,0.09030197476507959,0.11344783039086932,False,True,True,1.8447112492681074e-08,COMPLETE
10,0.3597403407096863,2025-04-16 14:45:05.738861,2025-04-16 14:45:14.229996,0 days 00:00:08.491135,0.26933058151135175,0.2745082136149708,16,0.005565568516485181,0.09979790998422833,0.05654233727299839,0.09805637579242693,0.09994491529295482,0.008689352593046443,0.0018250513665507705,25,108,0.032875851216439184,0.006959836587545121,True,False,True,1.5865215647796152e-07,COMPLETE
11,0.39308115839958196,2025-04-16 14:45:14.236955,2025-04-16 14:45:25.575756,0 days 00:00:11.338801,0.6596656615868108,0.014069363056995576,8,0.06920269362492175,0.2990004021650582,0.091162434991515,0.023331550699589334,0.0779717637926771,0.09236060659636151,0.008610697960627245,30,34,0.071414811375992,0.161598219831336,False,False,False,1.579688980558034e-07,COMPLETE
12,0.3806749522686005,2025-04-16 14:45:25.583060,2025-04-16 14:45:48.487557,0 days 00:00:22.904497,0.9111858454228912,0.4548801489021708,2,0.16919383499597845,0.2970995773738739,0.0802410562425135,0.07801119893396963,0.09244131156420232,0.07981539335172846,0.09525516650549858,25,6,0.04115703666268286,0.10535817477146264,True,False,False,7.608318003459759e-08,COMPLETE
13,0.4110999822616578,2025-04-16 14:45:48.495314,2025-04-16 14:45:59.132258,0 days 00:00:10.636944,0.5644403570524863,0.5017681487988784,8,0.2950200526466582,0.2440032216711417,0.08569149266746294,0.033057919962489815,0.06970897142028884,0.0869637335023824,0.0020892123307474997,26,37,0.07168219636197061,0.2173560241887899,False,False,False,1.0565921203338032e-06,COMPLETE
14,0.1879121154546738,2025-04-16 14:45:59.140310,2025-04-16 14:46:07.123206,0 days 00:00:07.982896,0.27740153639476584,0.4706562389866602,16,0.29169499488395756,0.22387822297183116,0.06021160918160624,0.04111677079302401,0.06941108471490327,0.0847333651721542,0.00011716444385069954,22,32,0.06523615684418829,0.21748967741747127,True,True,False,0.00021089577781536803,COMPLETE
15,0.44257310628890995,2025-04-16 14:46:07.131190,2025-04-16 14:46:15.866321,0 days 00:00:08.735131,0.5152135018290065,0.5696768630601046,8,0.22867965967860587,0.09548911166762183,0.04496626756695552,0.07839401122368048,0.04780785763104814,0.09987245350202523,0.0020826416005415736,14,45,0.030668393207889957,0.20295504337448406,False,False,False,6.574579583352299e-08,COMPLETE
16,0.43588215112686163,2025-04-16 14:46:15.874401,2025-04-16 14:46:24.414306,0 days 00:00:08.539905,0.8206788515273651,0.3006232095020638,8,0.22769727546219687,0.114839995946904,0.04478617207966602,0.05845349578066114,0.04784413093665188,0.08388582078599682,0.001107713864141577,13,100,0.02793422717406032,0.20456958123445773,False,False,False,4.4821003836934185e-06,COMPLETE
17,0.4540191769599915,2025-04-16 14:46:24.422862,2025-04-16 14:46:32.804185,0 days 00:00:08.381323,0.820355291451816,0.27143833412298835,8,0.21739689513570165,0.10086911125141781,0.042525351347938056,0.07887720867512528,0.0454603901811196,0.0750641906454014,0.00014571179462724684,12,95,0.025923400497553838,0.11972323854856351,False,False,False,4.49515127817576e-06,COMPLETE
18,0.10055154263973237,2025-04-16 14:46:32.812821,2025-04-16 14:46:40.580353,0 days 00:00:07.767532,0.8211969785282383,0.11605873337414052,8,0.2265261711864708,0.08925064400426223,0.03442972884064784,0.07925844759045013,0.03463438308722103,0.09939887484344416,0.00010816342053666911,12,125,0.002239161392469869,0.11346568798265283,False,False,True,5.973694924983359e-05,COMPLETE
19,0.3743149399757385,2025-04-16 14:46:40.589616,2025-04-16 14:46:49.127006,0 days 00:00:08.537390,0.816370124555701,0.36698822773334805,8,0.1496288174332465,0.16421703298907248,0.02056175929871119,0.08283080131256225,0.05741374632316269,0.07492527140412275,2.4308258353617164e-05,13,86,0.021846092237782604,0.07098507589899009,False,False,False,6.811457990635142e-06,COMPLETE
20,0.481298828125,2025-04-16 14:46:49.136240,2025-04-16 14:46:57.004240,0 days 00:00:07.868000,0.534098334407827,0.6191321074118799,8,0.21859136087518033,0.08010372950276992,0.04144734495117137,0.06895187008347942,0.036780386318600304,0.014477810496201587,0.0002639153440074365,9,123,0.04115537110938071,0.12404069940716958,False,False,False,6.190998285266241e-08,COMPLETE
21,0.31835779547691345,2025-04-16 14:46:57.013907,2025-04-16 14:47:04.728061,0 days 00:00:07.714154,0.5133679243746081,0.6091444965058358,8,0.23635335471538566,0.07526651968707089,0.04212134974004933,0.0695371800292278,0.0338031882048081,0.005948469822577615,0.0002496260254595147,8,127,0.03812750144278436,0.12386833792292604,False,False,False,6.044100145078084e-08,COMPLETE
22,0.453403127193451,2025-04-16 14:47:04.738077,2025-04-16 14:47:12.699718,0 days 00:00:07.961641,0.5763414518314306,0.6180385492714607,8,0.20482754598640301,0.1257617499947131,0.054943304359130626,0.08639808551693523,0.02216819545939021,0.019532055508000624,0.0003483157190581759,10,121,0.04575999136818615,0.1427095601407013,False,False,False,3.0678460486366796e-07,COMPLETE
23,0.09215089827775956,2025-04-16 14:47:12.709963,2025-04-16 14:47:20.655469,0 days 00:00:07.945506,0.7439019366007267,0.6731551467963173,8,0.2030575848722779,0.0011003937202082592,0.05634267133729946,0.08704744267988036,0.015566557669263504,0.01886726892619318,0.00024973966302617163,10,126,0.044370778816423484,0.07657458873837927,False,False,False,4.0555411698670363e-07,COMPLETE
