number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.12800500690937042,2025-04-09 16:02:26.425338,2025-04-09 16:02:51.148355,0 days 00:00:24.723017,0.1897098284610699,0.31906145997488233,8,0.19195748111500857,0.2873708804767163,0.02649235007525579,0.08553954307548793,0.061316306331786995,0.03382074601795032,0.0002566737822641785,13,70,0.09905625496796494,0.22584340793305852,False,False,True,0.00020577779512568478,COMPLETE
1,0.09427145123481752,2025-04-09 16:02:51.152782,2025-04-09 16:03:07.948795,0 days 00:00:16.796013,0.6270983209806631,0.6657214875363018,16,0.26796110378135346,0.02743022360975247,0.0737856125218274,0.08424077072108715,0.05754780854151297,0.03475209580164759,1.3555354302238711e-05,6,47,0.04396898887011512,0.2683634598835742,False,True,True,2.0933476496562657e-07,COMPLETE
2,0.3362032949924469,2025-04-09 16:03:07.952461,2025-04-09 16:05:00.632640,0 days 00:01:52.680179,0.9457458787614732,0.7786460589127319,2,0.12392469287072659,0.18060941044489842,0.09330138157445864,0.07963767836595692,0.09752937553215904,0.08339855828730099,0.03481458398699339,28,22,0.02227002645967675,0.12030698119880777,False,False,False,1.3380870209024209e-08,COMPLETE
3,0.09427145123481752,2025-04-09 16:05:00.636474,2025-04-09 16:05:19.346674,0 days 00:00:18.710200,0.8856625581636713,0.760293624498259,8,0.11542477167322236,0.23228246589812354,0.022542022186332316,0.05394171817968421,0.08679876598405357,0.04510848434969326,0.08661768182560374,5,125,0.007341844671333835,0.025639249805396003,False,False,True,0.00017413017448449536,COMPLETE
4,0.0964351162314415,2025-04-09 16:05:19.350863,2025-04-09 16:05:40.453567,0 days 00:00:21.102704,0.28769720809433463,0.7646937321104388,8,0.04924961835342678,0.13014509126672755,0.08277477770562171,0.05580981666654032,0.0162839759149518,0.024896827031335056,2.8477335329800127e-05,8,27,0.08315398528333327,0.012749607915207965,True,True,True,1.809667620590291e-08,COMPLETE
5,0.25015350580215456,2025-04-09 16:05:40.458355,2025-04-09 16:06:00.964891,0 days 00:00:20.506536,0.2329910739911092,0.5098646467447739,16,0.07738951809114696,0.273628028871682,0.0016685805979715627,0.09179153925037149,0.09748063718382409,0.04702620267804895,8.162306250586373e-05,17,10,0.020271006196191755,0.2799695856755778,True,True,False,9.07530959148699e-07,COMPLETE
6,0.09282505214214325,2025-04-09 16:06:00.969679,2025-04-09 16:06:41.331139,0 days 00:00:40.361460,0.8184824091737931,0.7791646973288301,2,0.23207211872999026,0.224282208257542,0.09603181446405076,0.05527286639349466,0.08659329938769565,0.09277379980814085,0.00017450407218757294,8,27,0.013484181286010928,0.19940751837860937,True,False,True,2.8470352995026235e-05,COMPLETE
7,0.1566413015127182,2025-04-09 16:06:41.336125,2025-04-09 16:07:33.529430,0 days 00:00:52.193305,0.9965192938075783,0.6986225014412467,2,0.11529962098283791,0.10723627628023942,0.02922761504079879,0.07765320251048921,0.09104279476095659,0.03784921283369427,0.0008582723469958315,12,95,0.07883809352016204,0.036290868759630966,False,True,True,3.332915387070122e-05,COMPLETE
8,0.12813700735569,2025-04-09 16:07:33.534833,2025-04-09 16:08:13.590386,0 days 00:00:40.055553,0.27066546738722697,0.28288642004055903,2,0.18976554538062457,0.27328580145536946,0.0428499990514819,0.01168870759635193,0.0889910544192388,0.08320160135862346,1.0632592730553171e-05,8,59,0.09660168325288623,0.14973712641934955,True,False,True,0.00020590819756548788,COMPLETE
9,0.09563242942094805,2025-04-09 16:08:13.596456,2025-04-09 16:08:40.249804,0 days 00:00:26.653348,0.43504474321024444,0.7211422336231369,8,0.15699381870062395,0.25560435078685045,0.07618920680279664,0.08945091313101758,0.06462153022060912,0.040628578279247936,0.0023472355086539332,16,60,0.05012643908923182,0.17428823560688406,False,False,True,0.0004899129432560915,COMPLETE
10,0.44006506204605106,2025-04-09 16:08:40.256908,2025-04-09 16:10:36.065943,0 days 00:01:55.809035,0.6635882554760848,0.9874976247848808,2,0.021221515530974164,0.18011192906278561,0.05984252418045235,0.023292779019855735,0.027318785983544487,0.07114195754511844,0.06808260058135163,30,101,0.029951349117127078,0.10630336641469004,False,False,False,1.1914403173041136e-08,COMPLETE
11,0.30836541652679444,2025-04-09 16:10:36.072537,2025-04-09 16:12:28.660160,0 days 00:01:52.587623,0.6774628330145968,0.9953387565947951,2,0.0030032245249140485,0.17910247843594712,0.05910935124186273,0.020568692446864923,0.024063999618554266,0.06885389642785184,0.07729865542706527,29,108,0.030775457894183386,0.10332044668583895,False,False,False,1.2854340781644849e-08,COMPLETE
