number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.49021155834198,2025-04-17 01:13:10.250591,2025-04-17 01:13:40.600429,0 days 00:00:30.349838,0.6193809396491133,0.5237854580946435,8,0.15861310611909277,0.29705999910519104,0.037411958893237736,0.05310278790599725,0.05693624939376044,0.07387270054411765,1.8231511313871128e-05,16,90,0.017103177690278512,0.2951162583698707,False,False,False,5.6849286807258616e-08,COMPLETE
1,0.2276800632476807,2025-04-17 01:13:40.604605,2025-04-17 01:14:02.272051,0 days 00:00:21.667446,0.2634008603461675,0.44196917773416466,8,0.16037224895587815,0.24383855349672973,0.025656123500707458,0.05236600291313625,0.08048534108363503,0.04235273123103964,0.0011974837064761127,8,67,0.05054042605810341,0.24453706763621427,True,True,True,0.0001048999996574271,COMPLETE
2,0.24279020428657533,2025-04-17 01:14:02.275721,2025-04-17 01:14:40.034576,0 days 00:00:37.758855,0.46295803413936315,0.6546355060971834,2,0.18610570810117066,0.03283578758397484,0.0585343824611937,0.07873296545554449,0.023384188136174402,0.07998247555173353,5.5288852347705494e-05,7,42,0.0451226559050699,0.2427773192609378,False,True,True,3.618237704569605e-08,COMPLETE
3,0.42497355341911314,2025-04-17 01:14:40.039840,2025-04-17 01:15:18.239878,0 days 00:00:38.200038,0.08628552083868982,0.4809932557142011,8,0.2859115770395871,0.054736464312855476,0.06301329338697631,0.053142585248023275,0.023262728487188536,0.0946203803417388,0.060335535933016285,25,67,0.03363867313832134,0.2715942447809232,True,False,False,6.314991083080451e-06,COMPLETE
4,0.09427145123481752,2025-04-17 01:15:18.244051,2025-04-17 01:15:44.415952,0 days 00:00:26.171901,0.8326920026961568,0.7428862885701204,16,0.2642418316984414,0.007435370044085428,0.0818892909381315,0.03613249783300247,0.037208996059801956,0.09912141040848292,3.562958181513256e-05,27,54,0.07472662323242303,0.19602534232739394,True,True,True,2.1909188802317235e-05,COMPLETE
5,0.09710850268602372,2025-04-17 01:15:44.420473,2025-04-17 01:17:06.832820,0 days 00:01:22.412347,0.5955680426900161,0.9071194087661649,2,0.25272884446688665,0.06305320539267756,0.09465983455056559,0.0012099517845782597,0.04971649802552723,0.07718867021356608,0.000329173386593274,23,84,0.06914452578641035,0.001581873412838886,True,False,True,5.15630356458426e-05,COMPLETE
6,0.15150932669639589,2025-04-17 01:17:06.837595,2025-04-17 01:17:32.298386,0 days 00:00:25.460791,0.8473124435329411,0.7593649985675904,16,0.15035628525298542,0.22332711615631187,0.07725048997065169,0.06165771633853165,0.029255599631403676,0.0340347440662084,0.011384778124545502,26,96,0.07555973624822539,0.1034483796303423,False,True,True,0.00016455647629843646,COMPLETE
7,0.38172736167907717,2025-04-17 01:17:32.304014,2025-04-17 01:18:09.748560,0 days 00:00:37.444546,0.2700724925248773,0.25569250861821774,8,0.08916317285758608,0.16122469272006498,0.07320370282386639,0.02241448020078737,0.06893993495807292,0.09163533895810436,0.00041110740137167555,24,105,0.007915937865569597,0.13415603590309474,False,False,False,0.000285996777024947,COMPLETE
8,0.1534701853990555,2025-04-17 01:18:09.754096,2025-04-17 01:18:28.625166,0 days 00:00:18.871070,0.3143192647213694,0.6923591581328641,16,0.22194698027749207,0.2772323656073445,0.034090711845697834,0.01410907171883501,0.023876235673016347,0.05227871152007261,0.00011735159157483049,11,12,0.0045416490716682235,0.21230014573922962,True,True,False,0.000993170835451695,COMPLETE
9,0.4391311883926392,2025-04-17 01:18:28.639322,2025-04-17 01:20:21.685131,0 days 00:01:53.045809,0.5056890255080081,0.5737617265069028,2,0.04588842395275555,0.14475056269529715,0.07066246088472376,0.052414579463170144,0.06688505790084456,0.002315454989767229,0.007016414552814046,28,142,0.06669838226466847,0.18414082258104336,True,False,False,2.103765092783857e-08,COMPLETE
