number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.2145089387893677,2025-04-10 20:14:44.618447,2025-04-10 20:14:52.348810,0 days 00:00:07.730363,0.7979262291238862,0.6386871657627876,8,0.08660203134294686,0.1707219888233145,0.018944739828145516,0.04304523042810805,0.052806793406690845,0.05934316741987702,0.0007234628213048602,13,17,0.08804664743322786,0.10133949618678786,False,True,False,0.000692888523760674,COMPLETE
1,0.09234625697135926,2025-04-10 20:14:52.353033,2025-04-10 20:15:01.591755,0 days 00:00:09.238722,0.5227143706312375,0.6217035130403944,16,0.08805022671353813,0.19987279279570805,0.09652343916145022,0.09286544405059087,0.037017542526011735,0.09932135536913574,0.08573261798748402,27,102,0.022789854387583384,0.1816022446260771,True,True,False,0.00011671772495037726,COMPLETE
2,0.14216013848781586,2025-04-10 20:15:01.595647,2025-04-10 20:15:11.456333,0 days 00:00:09.860686,0.7685064464792533,0.9901499684174189,8,0.2949376974286694,0.03135328209187699,0.08296359976905923,0.08242993992884842,0.095773364253927,0.039300082913394783,0.0022132824594663014,28,19,0.08835441926241279,0.2930356171319201,False,True,False,0.0009066110963586162,COMPLETE
3,0.19121807515621186,2025-04-10 20:15:11.460289,2025-04-10 20:15:19.834332,0 days 00:00:08.374043,0.5971683131966945,0.17297299196528546,8,0.27013419636386615,0.038170803441863625,0.024358453470032956,0.022013254902232868,0.05562046229286766,0.03249929869229931,0.00024086515396034097,12,61,0.014401878745806555,0.09210318490395311,False,False,False,0.0004896945356033699,COMPLETE
4,0.34006989002227783,2025-04-10 20:15:19.838536,2025-04-10 20:15:28.543396,0 days 00:00:08.704860,0.5594504492851525,0.4245466018747954,8,0.0229683351299201,0.2537363846460503,0.06735433202173836,0.08327405554978845,0.002230651125611278,0.010844914290978978,0.00014875956458453908,17,137,0.0426559728585268,0.24795316429268038,False,False,True,0.00016041304274553222,COMPLETE
5,0.19668934345245362,2025-04-10 20:15:28.547918,2025-04-10 20:15:37.008965,0 days 00:00:08.461047,0.4297813140696064,0.6473645116637254,8,0.06528299076678665,0.24806057095285855,0.08670702513009763,0.006712496449456043,0.07138210243036182,0.027502321894736854,0.0005079548735913118,15,56,0.06946960574344348,0.05743008181374015,True,False,True,0.00035510066342825207,COMPLETE
6,0.3108231782913208,2025-04-10 20:15:37.013806,2025-04-10 20:15:45.777127,0 days 00:00:08.763321,0.1169010631087079,0.3218204371977037,8,0.13739820644707113,0.14786877741961965,0.026017048719672545,0.05190359940267184,0.07669381150056472,0.025559247510517857,0.0005248520367896364,17,62,0.07843603495615355,0.17893751126641608,True,False,True,1.3658419383929824e-06,COMPLETE
7,0.26862711906433107,2025-04-10 20:15:45.782220,2025-04-10 20:15:54.085285,0 days 00:00:08.303065,0.1993928084601526,0.2830303654553277,16,0.14988152934414747,0.09628252686952048,0.019103166176064945,0.09679990813612883,0.07532066441075826,0.004321821521190057,0.0179169637315809,13,124,0.07628234171324828,0.21493621410280514,True,False,False,0.0008054262849753551,COMPLETE
8,0.10916075706481934,2025-04-10 20:15:54.090785,2025-04-10 20:16:04.708102,0 days 00:00:10.617317,0.1111985496052647,0.29820453326564467,8,0.24188147782536984,0.012860319835063075,0.04631877670786211,0.024361998737074498,0.07792697435170959,0.03320760327340467,0.013627529040449764,27,88,0.0895039526138077,0.24634314876307545,True,True,True,3.6901672061777164e-07,COMPLETE
9,0.18790211081504823,2025-04-10 20:16:04.713741,2025-04-10 20:16:11.763736,0 days 00:00:07.049995,0.5291774195922403,0.2748308144044586,16,0.24473564641457532,0.22354964770304056,0.015638830460886592,0.0736196298637085,0.08280364449436707,0.08818883600323929,2.892303544475537e-05,6,139,0.0037204252146635524,0.04838895833799349,False,False,False,6.449654762278868e-05,COMPLETE
10,0.3416718065738678,2025-04-10 20:16:11.770022,2025-04-10 20:16:30.118974,0 days 00:00:18.348952,0.32891974547578695,0.02437088199263432,2,0.0083697560896068,0.293344493859513,0.06379089862522495,0.0656438120304488,0.004105901138479193,0.0011973418078823055,1.5018591871390961e-05,22,150,0.043577996873036276,0.2991879162905867,False,False,True,1.1715776694724128e-08,COMPLETE
11,0.3391278743743897,2025-04-10 20:16:30.125912,2025-04-10 20:16:48.561810,0 days 00:00:18.435898,0.3284040213084669,0.010152629272018154,2,0.009289867526141304,0.29968399270588164,0.06454831995077903,0.06513022993362833,0.0011081839807101437,0.0023203095474073994,1.0951237142900673e-05,22,150,0.04333791985904452,0.2927540066858186,False,False,True,1.858534744865259e-08,COMPLETE
