number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.09234625697135926,2025-04-17 17:22:08.409412,2025-04-17 17:22:18.368148,0 days 00:00:09.958736,0.4520277873704107,0.1464625728568725,8,0.05460050900758589,0.2712796343410952,0.0073866748028876186,0.07803910426408793,0.044811026153755366,0.08609823675316496,0.0004156156858879225,26,14,0.06293838267995738,0.008871289114086307,False,True,True,7.935010698816047e-05,COMPLETE
1,0.09234625697135926,2025-04-17 17:22:18.372350,2025-04-17 17:22:32.681464,0 days 00:00:14.309114,0.7350044694737948,0.9818833114661735,2,0.03130871953907958,0.06524859797787663,0.0176472691567933,0.043091415165275024,0.008298229599779924,0.05912948559964198,2.3627911276226946e-05,14,99,0.07792139503801539,0.14968227308130388,False,True,False,2.1956392639397427e-05,COMPLETE
2,0.10864799022674562,2025-04-17 17:22:32.685148,2025-04-17 17:22:43.325300,0 days 00:00:10.640152,0.08195981416295951,0.24927123068230825,8,0.20265219897893202,0.2653489879433959,0.06774966383124582,0.04621789271211316,0.02763140639989159,0.05909765268819202,0.0024338026978107967,19,129,0.04044465974825828,0.2864265948921041,True,False,True,4.6775645146686865e-05,COMPLETE
3,0.09541418701410294,2025-04-17 17:22:43.329185,2025-04-17 17:23:01.069711,0 days 00:00:17.740526,0.5881109834525216,0.33704437230337136,2,0.1674161587824298,0.2418512600084955,0.07721958573719785,0.09732550720405679,0.07357402684015857,0.0533686782889257,0.03903470914009537,20,53,0.0018044792686261382,0.24887687765381833,True,False,True,8.715635885607419e-05,COMPLETE
4,0.29253091216087346,2025-04-17 17:23:01.073896,2025-04-17 17:23:26.216416,0 days 00:00:25.142520,0.41740328527615006,0.5717936989924474,2,0.2695284413518816,0.046420803312108835,0.034464648757206215,0.012741681762228375,0.017668039249892124,0.05177266519845666,0.0070602321212812754,29,56,0.027026989095852466,0.05201054410019314,False,False,False,7.970453657770469e-07,COMPLETE
5,0.17841859757900239,2025-04-17 17:23:26.221231,2025-04-17 17:23:33.529121,0 days 00:00:07.307890,0.7710723392049291,0.9182551190202789,8,0.21756676066678812,0.0052318172876689144,0.010629965406013013,0.06138802358446918,0.03670267427431373,0.08889215074805144,0.005944458105510595,6,61,0.019794171496045756,0.2719619977665037,True,True,False,1.191560461969804e-07,COMPLETE
6,0.09234625697135926,2025-04-17 17:23:33.533911,2025-04-17 17:23:40.848981,0 days 00:00:07.315070,0.6304143263316767,0.9695355457355883,8,0.13174568365199765,0.007178535636459025,0.020636958996383337,0.08942379495995977,0.04230940931397929,0.01418068571664221,0.00045059158078635214,8,71,0.089507824674145,0.17408088430565677,False,True,False,9.959964575108244e-07,COMPLETE
7,0.1473987579345703,2025-04-17 17:23:40.854386,2025-04-17 17:23:50.291299,0 days 00:00:09.436913,0.7061818245573344,0.3021313675901606,16,0.0903062355180845,0.11201997249633636,0.0042182567259575615,0.024863730860172295,0.04215563404441786,0.06728767480798477,0.0345370631257412,22,114,0.009019645137586522,0.11277515769096472,True,False,True,1.7476750557830653e-07,COMPLETE
8,0.09234625697135926,2025-04-17 17:23:50.296975,2025-04-17 17:23:59.498119,0 days 00:00:09.201144,0.6062380986514396,0.5120616449705971,8,0.11132777114412079,0.244226582410592,0.09295727088270592,0.05659058623191281,0.03064425795535988,0.0632316576588565,0.011558220684977112,19,39,0.0746743576957919,0.08394254902210424,True,True,True,0.0005435254195362037,COMPLETE
9,0.18809539973735812,2025-04-17 17:23:59.504058,2025-04-17 17:24:06.503665,0 days 00:00:06.999607,0.8101676146463452,0.6760967967522836,16,0.0833439758769853,0.2764704006224509,0.023321223272493957,0.060776876959125065,0.023104369455398423,0.07839596715540603,3.994726565808039e-05,8,64,0.06124958070722369,0.27988870933306287,False,True,True,1.4900735589808863e-08,COMPLETE
10,0.3040048539638519,2025-04-17 17:24:06.510182,2025-04-17 17:24:32.550643,0 days 00:00:26.040461,0.32425258400636825,0.6740750764335962,2,0.28613148279927125,0.17069842010642491,0.04334570395405083,0.010499589678576813,0.09714684201176216,0.03022041820400537,0.0001697493879096774,30,7,0.03823813819699118,0.00419761565025234,False,False,False,2.6583744009413057e-06,COMPLETE
11,0.2452026426792145,2025-04-17 17:24:32.557149,2025-04-17 17:24:57.930991,0 days 00:00:25.373842,0.3115276917097845,0.6789243799572162,2,0.298960984568276,0.1826046148317183,0.041804192967181394,0.0015096134815260932,0.09565957928886429,0.02872577026349198,0.00014098882978288602,29,9,0.03740105288229475,0.002428313392870231,False,False,False,3.2263574857543175e-06,COMPLETE
12,0.3343829154968262,2025-04-17 17:24:57.938189,2025-04-17 17:25:23.953620,0 days 00:00:26.015431,0.33917450983326636,0.6720014629686555,2,0.2985489582323002,0.15536051388190508,0.0429499261212369,0.0010479975142397568,0.06073395070178209,0.03625440745271955,0.0014278895009121294,30,31,0.029214126963018065,0.054822770287267765,False,False,False,3.2114745608070137e-06,COMPLETE
13,0.25521078109741213,2025-04-17 17:25:23.960891,2025-04-17 17:25:46.186423,0 days 00:00:22.225532,0.19094395625505856,0.7734874691602198,2,0.25332038411608676,0.1730089773633132,0.056132359341147846,0.02370727506420898,0.06823712064353898,0.031150080625158633,0.00010384694713940053,24,28,0.047343854106331,0.04859559625236822,False,False,False,6.69380993531741e-06,COMPLETE
14,0.337807047367096,2025-04-17 17:25:46.194118,2025-04-17 17:26:02.325763,0 days 00:00:16.131645,0.9793865156734165,0.8103513331773725,2,0.2949597102032458,0.12339076271344507,0.05608530132676435,0.0020100510024242436,0.08883079564231122,0.0350516895304377,0.001134820423250058,14,30,0.0263728020031248,0.046527498483518365,False,False,False,7.943061464734171e-07,COMPLETE
15,0.2353141486644745,2025-04-17 17:26:02.333517,2025-04-17 17:26:17.786485,0 days 00:00:15.452968,0.9925718079615548,0.8235779191407908,2,0.2336563659989816,0.12059213429613362,0.06069312920640626,0.030436029022932853,0.06070126322086773,0.0024604869324471867,0.0014004521292677325,13,92,0.022918970333575893,0.11464365940358984,False,False,False,1.538507093416499e-07,COMPLETE
16,0.33595962524414064,2025-04-17 17:26:17.796747,2025-04-17 17:26:25.891313,0 days 00:00:08.094566,0.9516579553661825,0.4311668108359125,16,0.18320692019039064,0.12630401937046692,0.08061795879134541,0.003100206138745889,0.0821389430431014,0.04003350140076352,0.0006438820454900869,14,35,0.01767556474411071,0.1878659941177745,False,False,False,3.109872015250171e-08,COMPLETE
17,0.34716942310333254,2025-04-17 17:26:25.899985,2025-04-17 17:26:33.930012,0 days 00:00:08.030027,0.9951411354816543,0.4402691738297337,16,0.17268039212421593,0.10143100377522124,0.09904550488327858,0.03368702590770891,0.08289075434744175,0.041699247826751794,0.0004835552720433045,14,41,0.011928154632210433,0.20427299125932752,False,False,False,1.0769087758221657e-08,COMPLETE
18,0.27034829258918763,2025-04-17 17:26:33.938688,2025-04-17 17:26:41.861327,0 days 00:00:07.922639,0.8640140033271879,0.0923428981817141,16,0.1482053906654025,0.05927441169328132,0.0894231720721326,0.03418641755451743,0.08351366055563239,0.017063306850833595,1.2208040790425232e-05,12,83,0.010392414909539741,0.21837895941025462,False,False,False,5.098817004927253e-08,COMPLETE
19,0.33371607065200803,2025-04-17 17:26:41.870532,2025-04-17 17:26:50.062436,0 days 00:00:08.191904,0.8997194910603501,0.4324114886749811,16,0.2502053921339563,0.089563815647618,0.07120745980439559,0.015340392309605502,0.08745432770464631,0.043790846876163914,0.003124933470227966,16,45,0.0017681741372262676,0.21888407584954042,False,False,False,5.646528561920167e-07,COMPLETE
20,0.11202159374952317,2025-04-17 17:26:50.071636,2025-04-17 17:26:57.649006,0 days 00:00:07.577370,0.8698895639874832,0.013964587703238163,16,0.003822742574626198,0.2163105869261147,0.09626578229116944,0.03706234117279204,0.05579416841906583,0.018188074766425543,0.09916856628402994,10,146,0.0527964303202011,0.13665007417722635,False,False,False,1.0104917615591288e-08,COMPLETE
21,0.33667243719100953,2025-04-17 17:26:57.658873,2025-04-17 17:27:05.854034,0 days 00:00:08.195161,0.995534855825652,0.3984892863837314,16,0.18293133580635582,0.125804134687754,0.0825013692513137,0.019537466232787584,0.07953352022366447,0.04320711268908853,0.0005165359227275147,16,23,0.01519864566029465,0.18984179188692404,False,False,False,2.5970813312838624e-08,COMPLETE
22,0.3390664279460907,2025-04-17 17:27:05.863962,2025-04-17 17:27:14.028757,0 days 00:00:08.164795,0.9451011548482504,0.4233518760008199,16,0.18777385085823076,0.0967677308204378,0.09943373413953428,0.01876701163307779,0.07318300538869484,0.04575848813212798,0.00028363631350287127,16,23,0.015090026580613203,0.19834052668522206,False,False,False,4.6237174325152544e-08,COMPLETE
23,0.35845271944999696,2025-04-17 17:27:14.039764,2025-04-17 17:27:22.291580,0 days 00:00:08.251816,0.9115610122433386,0.5254236944628431,16,0.2014053373508769,0.09278415823350669,0.0990759478400074,0.010877894297568776,0.0901114387362337,0.04810993756220133,0.00023604851761460923,16,17,0.028743788485640145,0.22528413286824575,False,False,False,5.1135425067425815e-08,COMPLETE
24,0.3780121982097626,2025-04-17 17:27:22.302120,2025-04-17 17:27:30.674641,0 days 00:00:08.372521,0.8220024754912305,0.5711119820602298,16,0.20538551255380363,0.08547854488288549,0.09969775786999802,0.02758488404965876,0.07398208326158064,0.04794583078376664,6.515610020366271e-05,17,19,0.03273865886313218,0.225229522843493,False,False,False,7.013839002579132e-08,COMPLETE
25,0.29619045853614806,2025-04-17 17:27:30.685794,2025-04-17 17:27:38.376309,0 days 00:00:07.690515,0.8259635735954328,0.5348089059181887,16,0.21992693020831278,0.0717764257623282,0.08821465445421998,0.029363246089039972,0.09947192474655647,0.06799882722231793,5.598428346096595e-05,11,47,0.02986277788648971,0.21858692237889876,False,False,False,6.7454711701672e-08,COMPLETE
26,0.4290938079357148,2025-04-17 17:27:38.387395,2025-04-17 17:27:46.842622,0 days 00:00:08.455227,0.671161166209307,0.5917936850099149,16,0.15332083997363,0.03884834218793263,0.08605554222656076,0.04258107736248975,0.06938020287420867,0.07447071133237916,6.844687175874096e-05,21,5,0.04561503899292197,0.24767638883021315,True,False,False,1.639931834636961e-07,COMPLETE
27,0.4281072854995728,2025-04-17 17:27:46.854272,2025-04-17 17:27:55.865164,0 days 00:00:09.010892,0.6679992320014114,0.5981648271787381,16,0.1448483739208983,0.03621521633803127,0.08714397476713072,0.07034267697225768,0.07066730884160313,0.09811680309999507,6.340165729882577e-05,22,16,0.04839059352020558,0.2524741296674395,True,False,False,2.1028534802837767e-07,COMPLETE
28,0.43349348902702334,2025-04-17 17:27:55.876891,2025-04-17 17:28:04.449908,0 days 00:00:08.573017,0.670738489887068,0.5978291539900259,16,0.13988514585995293,0.029983859314666697,0.08534785080095059,0.0734537152055268,0.06708522943918857,0.09916695183494745,7.832281520265837e-05,22,5,0.05030792472934713,0.24610121364707493,True,False,False,4.834175944210229e-07,COMPLETE
29,0.09234625697135926,2025-04-17 17:28:04.462156,2025-04-17 17:28:12.544997,0 days 00:00:08.082841,0.5290746945070305,0.6021559418110326,16,0.12939977300462827,0.031118608726999775,0.06984799692030334,0.0742017476288292,0.050412592625793416,0.09639228044912436,1.1456467551470896e-05,25,5,0.052449019470828064,0.2547585577303552,True,True,True,3.3890032713247957e-07,COMPLETE
30,0.42115096449851996,2025-04-17 17:28:12.558691,2025-04-17 17:28:21.520048,0 days 00:00:08.961357,0.672891237997675,0.7352657992903276,16,0.06851281566003989,0.03968971478445558,0.08463007287906898,0.07268592888119262,0.06539191209731028,0.09920903651419527,2.54817152554686e-05,22,14,0.06190030617899826,0.2559970595954784,True,False,False,3.0937952246800375e-07,COMPLETE
31,0.4228687345981598,2025-04-17 17:28:21.532819,2025-04-17 17:28:30.528117,0 days 00:00:08.995298,0.6771760767729255,0.7468459241759711,16,0.09708327627799397,0.03002078348597906,0.0843157883393956,0.07599646473946464,0.057714562855377495,0.09779766018988482,2.5727021442657274e-05,22,14,0.0619592207926494,0.2979769471463556,True,False,False,3.184265254792733e-07,COMPLETE
32,0.4132012486457825,2025-04-17 17:28:30.541230,2025-04-17 17:28:39.151098,0 days 00:00:08.609868,0.5167344351583217,0.8758080408786121,16,0.11319078295512094,0.021403517084583375,0.07583957481405382,0.08280067571172656,0.050189506314199446,0.08040316167697552,2.4963181421422845e-05,22,5,0.045152704714696075,0.29242311095878637,True,False,False,3.045781686253247e-07,COMPLETE
