number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.30083132386207584,2025-04-11 00:22:54.961378,2025-04-11 00:23:23.574916,0 days 00:00:28.613538,0.9897746723581893,0.8578557263626093,8,0.017955034763323628,0.16473554802978943,0.037929574220608296,0.06920536572129998,0.06888734058674457,0.02996021341095004,2.2145249212015857e-05,18,60,0.04501049873580694,0.09059093576092112,False,False,True,1.7289651438486166e-06,COMPLETE
1,0.33883612751960757,2025-04-11 00:23:23.579097,2025-04-11 00:23:47.873493,0 days 00:00:24.294396,0.35273069398382834,0.07988226373817134,16,0.22968216779912015,0.1895550748703409,0.0312926284666865,0.04838288573747437,0.07855109394869243,0.027107826613302386,0.0012172357631607485,17,21,0.00943073693165938,0.17331718020418732,True,False,False,7.220175936170602e-05,COMPLETE
2,0.12067320346832276,2025-04-11 00:23:47.877142,2025-04-11 00:24:23.105280,0 days 00:00:35.228138,0.23630348794954043,0.9002841136920829,8,0.13638401695155558,0.27267729052854117,0.09696548797270667,0.03642217458738397,0.012457750127109694,0.042095451399537256,0.0006498634002384224,27,94,0.09877573337223508,0.1525868723196996,False,False,True,6.189841910377775e-06,COMPLETE
3,0.09307204186916351,2025-04-11 00:24:23.109234,2025-04-11 00:24:41.381466,0 days 00:00:18.272232,0.045432075655674524,0.06257854143838931,16,0.20015911105241055,0.2328206792582987,0.011320132436859462,0.010292865994945163,0.023559930559215715,0.06646756638865105,0.00025223582130209465,10,50,0.017026641105925024,0.007676243637701437,False,True,True,2.93123908875349e-07,COMPLETE
4,0.09307204186916351,2025-04-11 00:24:41.385653,2025-04-11 00:25:07.012912,0 days 00:00:25.627259,0.0844523631841744,0.2039163795685178,8,0.09671055428078691,0.0842435082048212,0.05773039774976862,0.040096580951002755,0.04667388635155737,0.015367243818621673,0.009350075966832917,12,122,0.03948549767552482,0.291477607737511,True,True,False,9.510784533869555e-07,COMPLETE
5,0.15281150043010713,2025-04-11 00:25:07.017739,2025-04-11 00:25:55.519866,0 days 00:00:48.502127,0.7961463102063059,0.9783838919431059,2,0.20807288675050245,0.2646653221765245,0.0472175453765037,0.053054395552249056,0.0011116157800386904,0.04807198836825301,0.0035876497143976734,11,56,0.008308693840285524,0.12715438464758344,True,True,False,2.469991627902862e-05,COMPLETE
6,0.09389156997203828,2025-04-11 00:25:55.524683,2025-04-11 00:26:15.221385,0 days 00:00:19.696702,0.23604522020614804,0.8055637586415957,8,0.19107936288047836,0.06800788551636111,0.037177523526419426,0.041057834092108295,0.002253596221931005,0.017354453073643535,0.0032727577133213467,6,129,0.04705566647464279,0.04074934557083241,False,True,False,7.094840600048188e-06,COMPLETE
7,0.09335543662309648,2025-04-11 00:26:15.226733,2025-04-11 00:26:38.314143,0 days 00:00:23.087410,0.8365370999791786,0.17510910130482513,8,0.09747179000960161,0.19840259812839459,0.07997075974159887,0.020302859819537965,0.08662648015313305,0.04817045248064284,0.008756629604507585,10,86,0.006813560858884202,0.11258975580971246,True,True,False,2.560850140062568e-07,COMPLETE
8,0.11774777173995972,2025-04-11 00:26:38.319999,2025-04-11 00:27:24.961011,0 days 00:00:46.641012,0.5073835599586968,0.1754753620386825,2,0.017630689446790037,0.18003874516880727,0.09620383561926435,0.053289095142749966,0.033698892816798956,0.06736683007932484,0.0004112409248367679,10,145,0.03363148058524216,0.13326294850095724,False,True,False,4.929094328889333e-07,COMPLETE
9,0.33927921652793885,2025-04-11 00:27:24.966759,2025-04-11 00:27:54.399819,0 days 00:00:29.433060,0.19396412145460715,0.6146247779560049,16,0.026643049661432616,0.08000182379684768,0.06833171814260476,0.03155179756297567,0.01941172105900775,0.09318457653063532,0.028730972981228113,30,45,0.02752016326661771,0.05637502912396511,False,False,False,2.0382119403224262e-05,COMPLETE
10,0.23708459734916687,2025-04-11 00:27:54.406224,2025-04-11 00:28:19.757475,0 days 00:00:25.351251,0.5367567675698525,0.5572216800047969,16,0.06548213593539588,0.01974651669413685,0.07464284795174475,0.09662204219699941,0.05567185921071613,0.09799459311800995,0.08026786350635783,30,10,0.07213061279942688,0.2166844267039758,False,False,True,0.0005565001683063497,COMPLETE
11,0.34693180918693545,2025-04-11 00:28:19.764146,2025-04-11 00:28:45.723216,0 days 00:00:25.959070,0.3148710237797473,0.5058255630787125,16,0.2955389211980871,0.09650416218246534,0.014365982748436888,0.02423643194964335,0.09754669543088701,0.09795622158528142,0.08396469635174182,21,15,0.024247054928496634,0.2131096230219005,True,False,False,0.00015580960918660283,COMPLETE
12,0.3532475113868713,2025-04-11 00:28:45.730631,2025-04-11 00:29:12.802073,0 days 00:00:27.071442,0.34547892059181157,0.5010967342098692,16,0.2956505571357828,0.09419271319411504,0.0018960309410129498,0.021548535449490435,0.09735606548881065,0.09840689505803205,0.08888177329388415,23,31,0.02613478869918347,0.22772049702276917,True,False,False,1.7214611261133545e-08,COMPLETE
13,0.39823188781738283,2025-04-11 00:29:12.809467,2025-04-11 00:29:39.463502,0 days 00:00:26.654035,0.3961207524010074,0.4025052585842966,16,0.29404059043020614,0.12194419880706665,0.0036341057815958222,0.002829907541079431,0.09432389861842881,0.08246823213046671,0.09235737509755627,23,26,0.06603599425617439,0.24950047774466091,True,False,False,1.1876783701103634e-08,COMPLETE
14,0.4022730171680451,2025-04-11 00:29:39.470984,2025-04-11 00:30:07.082495,0 days 00:00:27.611511,0.4223361768945232,0.3580803163060009,16,0.29187730277584717,0.118043671623114,0.0023678065690960416,0.003086370436691223,0.09977668821284537,0.07645212553177283,0.03983952508201071,24,32,0.06643745925721,0.2894974833110993,True,False,False,2.418973686385323e-08,COMPLETE
15,0.4011670172214509,2025-04-11 00:30:07.090826,2025-04-11 00:30:34.678036,0 days 00:00:27.587210,0.6278393747791052,0.3382313673525204,16,0.24280012197093742,0.13152204969643352,0.02053621009196789,0.0021158562398793856,0.07172296338281475,0.07283413387319675,0.02244014452895692,24,33,0.06656530775149473,0.2944399880810624,True,False,False,1.365385438238814e-08,COMPLETE
16,0.37728666663169863,2025-04-11 00:30:34.686127,2025-04-11 00:31:04.984066,0 days 00:00:30.297939,0.6462576772052356,0.3584501381269134,16,0.2495366556639867,0.13516740274767758,0.02231646306010083,0.001142450211587688,0.0693703261662257,0.06982073142910598,0.022494126171220916,26,70,0.06458950629128346,0.2925259361468493,True,False,False,5.8670450741889e-08,COMPLETE
17,0.35665372610092166,2025-04-11 00:31:04.993455,2025-04-11 00:32:29.151526,0 days 00:01:24.158071,0.6372021842293796,0.343075699674472,2,0.25691793435358934,0.0317952986820219,0.02224148039293348,0.014007750846084424,0.07742849499258826,0.07824867195563295,0.00013121312908187318,19,103,0.08050177421727638,0.2630049804789444,True,False,False,6.69163763490788e-08,COMPLETE
18,0.11307092159986497,2025-04-11 00:32:29.160249,2025-04-11 00:32:54.660069,0 days 00:00:25.499820,0.6477799408075268,0.7106147598150041,16,0.1646257134342142,0.13448486228160447,0.023290198975808675,0.06991227353730506,0.06025051410304315,0.05873579915957807,0.021558540806558526,26,39,0.05538893373894486,0.18133594181219054,True,False,True,3.458173851936221e-08,COMPLETE
19,0.40132990479469305,2025-04-11 00:32:54.669681,2025-04-11 00:33:19.177632,0 days 00:00:24.507951,0.786782047189725,0.26334115641885414,16,0.2616140810061203,0.04441338112100185,0.0127374439636669,0.09712051316168688,0.04432800085527833,0.08333392851152321,0.0018877386915335328,15,68,0.08749836464040187,0.25523990704803345,True,False,False,9.561520225770998e-08,COMPLETE
20,0.3858709573745728,2025-04-11 00:33:19.187268,2025-04-11 00:34:25.843154,0 days 00:01:06.655886,0.8065207930979628,0.25658198525887266,2,0.2684281449353544,0.04662585579096582,0.009547471109275556,0.09910510661212467,0.041127975135038936,0.08657061693040433,5.3051177348427906e-05,14,78,0.08890021004416299,0.2536777026709952,True,False,False,1.0480754983969281e-07,COMPLETE
