number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.3904921054840088,2025-04-17 23:59:33.040236,2025-04-18 00:00:06.636745,0 days 00:00:33.596509,0.9762151324131862,0.3580768965057778,8,0.029840705214328096,0.16165759880936925,0.05046001567344215,0.07729214128626705,0.029157392130687156,0.06409894683757997,2.284858299815562e-05,20,13,0.07099178534952001,0.15186810059162142,False,False,False,3.877168982265635e-05,COMPLETE
1,0.32993742227554324,2025-04-18 00:00:06.643129,2025-04-18 00:00:32.546860,0 days 00:00:25.903731,0.7932714522302214,0.9279574878397703,16,0.2998277746334069,0.06816715384899402,0.03535568701916778,0.08913568386164555,0.06420634324539203,0.010064230037844183,0.005080055792447236,16,144,0.08399196712003651,0.1919011810392391,False,False,False,0.00010947351960024814,COMPLETE
2,0.09307204186916351,2025-04-18 00:00:32.550469,2025-04-18 00:00:57.789013,0 days 00:00:25.238544,0.3569065344966122,0.8673540886144844,16,0.11425875358242527,0.00888783164984803,0.04363967879909335,0.02292818951751587,0.055361741554140614,0.024919214855759538,6.540518357743825e-05,28,33,0.08153218307080079,0.012145174338462301,False,True,False,2.0137734119721787e-08,COMPLETE
3,0.19522813558578492,2025-04-18 00:00:57.792829,2025-04-18 00:02:25.078391,0 days 00:01:27.285562,0.39149444043892734,0.3252943569179535,2,0.06510067361493752,0.14030434494905053,0.05773907099126842,0.017966924565939617,0.03197832339146259,0.025406182071840994,9.483057684316266e-05,25,28,0.04596376438818623,0.1866050439326596,True,True,False,0.0006913814636206597,COMPLETE
4,0.343681538105011,2025-04-18 00:02:25.082696,2025-04-18 00:02:57.962478,0 days 00:00:32.879782,0.152526649304867,0.2548799961436876,8,0.020578583728019455,0.09235445008687666,0.08552456259694405,0.020100185135532876,0.053558750523203066,0.04035140617884398,7.70185820938364e-05,24,21,0.002936109198816681,0.23949992300845988,False,True,False,1.5235774553426252e-06,COMPLETE
5,0.09307204186916351,2025-04-18 00:02:57.966953,2025-04-18 00:03:25.147430,0 days 00:00:27.180477,0.19563600647085658,0.6951095393149063,8,0.026365483276390295,0.2942859523828055,0.013327165704312072,0.05529527267767027,0.05851504385917728,0.0630663300668702,0.0022462322365464174,16,35,0.06167728915893358,0.10730996436786286,False,True,True,0.00037453906376501916,COMPLETE
6,0.4029048085212708,2025-04-18 00:03:25.152561,2025-04-18 00:03:46.357832,0 days 00:00:21.205271,0.7178003924598372,0.901084134422699,16,0.09524191848985104,0.09276634495291022,0.0635670546208763,0.03655335227267197,0.07734974113369998,0.05452771861720499,0.0003591031783570999,7,68,0.08353349148012652,0.1069615933326832,True,False,False,1.3939971334768669e-05,COMPLETE
7,0.11774016618728639,2025-04-18 00:03:46.362946,2025-04-18 00:04:47.708395,0 days 00:01:01.345449,0.746094385210296,0.21791999162680203,2,0.186593644342922,0.044259303952357255,0.07005890507383765,0.06848694835407587,0.0519322599087894,0.010096690737116963,0.004028449812423376,15,77,0.09954296248595322,0.01861151916986964,False,True,True,0.00019291543252897633,COMPLETE
8,0.42000620365142827,2025-04-18 00:04:47.714061,2025-04-18 00:05:56.627691,0 days 00:01:08.913630,0.7042886138695693,0.5807792206502211,2,0.08464344880690523,0.05849197603197814,0.09026611469975483,0.050709511765010845,0.05402470096031634,0.007708910816103546,0.0025322774990277673,15,53,0.03224875851823138,0.23757378482321148,True,False,False,8.101961286502235e-05,COMPLETE
9,0.3506221413612366,2025-04-18 00:05:56.633461,2025-04-18 00:06:51.596315,0 days 00:00:54.962854,0.6165722809772307,0.9168163618544182,2,0.22759881298408657,0.14864530413698618,0.020006600015656517,0.0692859443124965,0.009859051723628814,0.08683428688511473,5.07085008076693e-05,10,97,0.022094254990962077,0.05352615912937673,True,False,False,1.72510564885879e-05,COMPLETE
10,0.15623489022254944,2025-04-18 00:06:51.602656,2025-04-18 00:07:39.820269,0 days 00:00:48.217613,0.980663510119306,0.01643609646455857,2,0.15570233818294166,0.2400210263039859,0.09945689670584727,0.04822496590649079,0.088477116403318,0.09209998367319946,0.09269445357831389,10,111,0.0410667516199116,0.2905358997058778,True,False,True,5.832078921977704e-07,COMPLETE
11,0.4081714808940888,2025-04-18 00:07:39.826973,2025-04-18 00:07:59.878419,0 days 00:00:20.051446,0.5994454117696665,0.5851511309802091,16,0.09800985011682999,0.10396543077529052,0.07776170211747561,0.04005120510196668,0.08529681779265205,0.052731827856876655,0.0005162393076374792,5,65,0.02915528247989001,0.0923860103125593,True,False,False,1.0136437211758777e-05,COMPLETE
12,0.09307204186916351,2025-04-18 00:07:59.885116,2025-04-18 00:08:18.920699,0 days 00:00:19.035583,0.49501334564132055,0.5975621176572775,16,0.10530680319064561,0.0063192122111065535,0.08210699181924848,0.002128566772878926,0.0894289307248812,0.03824932918420335,0.0005571680977432363,5,56,0.023489311119643294,0.2893250025424871,True,False,False,4.6019592525324374e-06,COMPLETE
13,0.4055740654468537,2025-04-18 00:08:18.927869,2025-04-18 00:09:12.519976,0 days 00:00:53.592107,0.5663991903682731,0.5136672832985796,2,0.15163739538064233,0.11735002547552124,0.09784539164997937,0.042155813929290235,0.09888156555307812,0.0785780431943394,0.019557926556610525,10,52,0.02636685656846031,0.09921715266680184,True,False,False,1.0044590055232325e-06,COMPLETE
14,0.09307204186916351,2025-04-18 00:09:12.527381,2025-04-18 00:09:41.424234,0 days 00:00:28.896853,0.8190516075953718,0.7437526023628618,16,0.06341577930521469,0.21101698070977218,0.07807264019770861,0.05846800507609622,0.07357404659846703,0.0039045037353270876,0.0009003119259569204,20,97,0.004386204864714194,0.22889869315436207,True,False,True,9.335257954748792e-08,COMPLETE
