number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.499257242679596,2025-04-06 20:53:05.041251,2025-04-06 20:53:14.416503,0 days 00:00:09.375252,0.7118932682673068,0.01992443042109884,8,0.04617134364768038,0.006605016318298776,0.07014250862417198,0.008223604106514494,0.03432861942644299,0.03401160295217342,0.014364671887477925,20,36,0.09159494698152292,0.2619290660672853,False,False,False,4.437127460803325e-05,COMPLETE
1,0.09159234166145325,2025-04-06 20:53:14.420672,2025-04-06 20:53:27.156695,0 days 00:00:12.736023,0.28214474816093293,0.6173009712773593,2,0.055805033849131463,0.2958751346314108,0.0366427383669623,0.09175304329080053,0.08928797478405066,0.040426146032992,1.4415089216772204e-05,12,84,0.015574192607252443,0.21472241809940867,False,True,True,2.8024971818539902e-08,COMPLETE
2,0.13279362618923188,2025-04-06 20:53:27.160436,2025-04-06 20:53:33.636747,0 days 00:00:06.476311,0.6037900869913239,0.6058188437563472,16,0.1590493363693879,0.07315226521404845,0.07804814005966446,0.05459353208759691,0.06945584498464695,0.0023078432182533594,0.033714566719434576,8,142,0.020857055219563346,0.2896843228100904,False,True,False,1.3670038104327666e-05,COMPLETE
3,0.09159234166145325,2025-04-06 20:53:33.643503,2025-04-06 20:53:54.742021,0 days 00:00:21.098518,0.8306619839022986,0.48092215448193415,2,0.06648678978430575,0.041490377949728964,0.09839064709076475,0.06051973233213619,0.09799393049469594,0.015039493324442751,0.000363808240625759,28,21,0.005798448165446474,0.13683050793788723,True,True,True,1.1734015359649037e-08,COMPLETE
4,0.18940371274948123,2025-04-06 20:53:54.746139,2025-04-06 20:54:01.810995,0 days 00:00:07.064856,0.9848843758901681,0.7934964389519329,8,0.02027117613450237,0.06515983615731878,0.008035640689088203,0.0797402793251326,0.0025330285545087953,0.05732452396618661,0.00032841096940069915,8,91,0.08453155924875098,0.001973959175739784,False,False,True,4.6185224303986286e-07,COMPLETE
5,0.29496725201606755,2025-04-06 20:54:01.815712,2025-04-06 20:54:11.091092,0 days 00:00:09.275380,0.42031215860100535,0.3108893306752375,8,0.09967790022579505,0.1118372657963724,0.05679746247937242,0.08493410283265956,0.03577993729988276,0.03482159452928371,2.7106771617439348e-05,23,68,0.05592949024717283,0.13973835894780148,True,True,False,1.6415848865028914e-07,COMPLETE
6,0.12671090960502623,2025-04-06 20:54:11.095857,2025-04-06 20:54:21.006433,0 days 00:00:09.910576,0.16018073220085047,0.6971890108850666,2,0.07438913966676865,0.2835874076885184,0.059319302908809476,0.04736915815313632,0.015858589608642674,0.03077090372235191,0.0006678325137303725,7,45,0.03725359233821956,0.01180753351037232,False,True,False,0.000937912755820021,COMPLETE
7,0.14082199335098267,2025-04-06 20:54:21.011936,2025-04-06 20:54:29.734966,0 days 00:00:08.723030,0.21259747100269122,0.9709252993458566,16,0.12300381416866339,0.22069034189223466,0.07466446302009815,0.045496337591422915,0.07275291215008178,0.09336348997498761,3.64262304037689e-05,30,136,0.04816584960438856,0.29806013378163343,True,True,False,0.00017366866823032955,COMPLETE
8,0.09159234166145325,2025-04-06 20:54:29.740415,2025-04-06 20:54:36.488435,0 days 00:00:06.748020,0.22103208773752897,0.7128308432168591,16,0.029869340882431063,0.013884065097005224,0.012381325535594213,0.07570589012904398,0.00424521829989328,0.09463785886645011,0.0015962974617409176,12,38,0.010795849389305303,0.10375886478844173,True,True,True,7.471349336057927e-06,COMPLETE
9,0.13727809786796571,2025-04-06 20:54:36.494485,2025-04-06 20:54:42.918850,0 days 00:00:06.424365,0.13002448920554083,0.9020673857870544,16,0.07292681916301932,0.28721585693932766,0.028245431511279687,0.0665653212675392,0.051209486116877936,0.03864430198170596,0.00027915650127626103,8,13,0.07529299377810336,0.09117072317968299,True,True,False,0.0008147661351894084,COMPLETE
10,0.3731809377670288,2025-04-06 20:54:42.925647,2025-04-06 20:54:52.384486,0 days 00:00:09.458839,0.6553533669802053,0.015802944952561265,8,0.24774121366346208,0.1689957558669584,0.09886716268376136,0.0028114942165739136,0.03086404235622738,0.06428195073885277,0.08393035096810932,19,105,0.09922268933826688,0.22423995370800293,False,False,False,3.8531946109575464e-05,COMPLETE
11,0.37647069692611695,2025-04-06 20:54:52.390996,2025-04-06 20:55:01.880773,0 days 00:00:09.489777,0.6838605694390673,0.01730062975499323,8,0.25316103019581,0.1733787268853969,0.09861617153852972,0.002289348902007828,0.036555557150263304,0.06866512081893518,0.0744621721127672,20,108,0.09734798422969292,0.22306168036081211,False,False,False,2.653811247894932e-05,COMPLETE
12,0.3620023548603058,2025-04-06 20:55:01.887987,2025-04-06 20:55:11.519857,0 days 00:00:09.631870,0.7601031767801121,0.02431944019513232,8,0.27100391133018936,0.172369302914931,0.07996727943474886,0.002559703728965915,0.04294201367214698,0.07033408165241639,0.014502143332716546,21,117,0.09875431907806818,0.2262927517228107,False,False,False,1.574267868436363e-06,COMPLETE
13,0.42894091010093693,2025-04-06 20:55:11.526966,2025-04-06 20:55:21.891235,0 days 00:00:10.364269,0.4798598407474358,0.20657028392723045,8,0.20634187626399342,0.12654960454972353,0.08501828133093778,0.022127338177368495,0.057467480450041554,0.07736176110288698,0.007826264131425495,25,60,0.07374952411280883,0.25634762221469776,False,False,False,5.939974422690497e-05,COMPLETE
14,0.4584798932075501,2025-04-06 20:55:21.898687,2025-04-06 20:55:32.216724,0 days 00:00:10.318037,0.46618869038139277,0.23038108389458936,8,0.1923771865317477,0.10500931844984845,0.06951905289929501,0.024905727634112564,0.059337333734661275,0.08268537152723279,0.005669602061046373,25,60,0.06887981028235078,0.2613032483485257,False,False,False,0.0001088207608873463,COMPLETE
15,0.09159234166145325,2025-04-06 20:55:32.224324,2025-04-06 20:55:40.746784,0 days 00:00:08.522460,0.3743555968881338,0.23959144916368538,8,0.17422434209740914,0.003312277859750503,0.061215750991170687,0.029055553635838144,0.021816050629492025,0.04927831060604778,0.005115238884032029,15,43,0.0680125942897639,0.17880525333735026,False,False,False,0.00017204306956436605,COMPLETE
16,0.4772401094436646,2025-04-06 20:55:40.755337,2025-04-06 20:55:51.035332,0 days 00:00:10.279995,0.5597674102456014,0.38879885577710666,8,0.20262716981800202,0.09411307418165306,0.042871049292302996,0.02227952966303475,0.06640646421388652,0.021498517547714494,0.0028151954018740557,25,27,0.08464650333002749,0.2680816460134707,False,False,False,4.587642709403695e-06,COMPLETE
17,0.4225189030170441,2025-04-06 20:55:51.043631,2025-04-06 20:55:59.763165,0 days 00:00:08.719534,0.9009946815573967,0.34387252974299076,8,0.12910749349946335,0.04622638398546063,0.041329980097901536,0.016330582561080498,0.07669830044189756,0.02136252787546786,0.0015828066379412241,17,5,0.08107374122667903,0.17725936842741738,False,False,False,2.5138444295370177e-06,COMPLETE
