number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.2895913600921631,2025-04-20 13:37:32.589152,2025-04-20 13:37:43.142819,0 days 00:00:10.553667,0.1792907708232006,0.6219328630139067,8,0.0021209650855241245,0.05988057954089848,0.07246597135047969,0.09904682734188298,0.04217134157019715,0.06151945669682562,0.006920503751938325,27,141,0.07815036890441329,0.07122722545243206,True,False,True,3.442954835168719e-06,COMPLETE
1,0.36008946299552924,2025-04-20 13:37:43.147023,2025-04-20 13:37:54.186716,0 days 00:00:11.039693,0.7616639671015112,0.6855619022347411,2,0.2908454291364529,0.14539008163535252,0.03128155189652658,0.0907244667715352,0.014802018463788556,0.09341396292775954,1.1990825000905652e-05,6,71,0.027743652798772417,0.283496652617824,True,False,False,0.0004674861002885443,COMPLETE
2,0.10810603201389313,2025-04-20 13:37:54.190392,2025-04-20 13:38:02.238884,0 days 00:00:08.048492,0.2935923556042789,0.06522082670745638,16,0.28135303650736493,0.26019020444110164,0.07499920838794431,0.09137703998283521,0.06111906658640964,0.011324331443366597,0.0017627727399617717,21,19,0.04335474299642651,0.06321535439916207,True,False,True,6.140643697765331e-05,COMPLETE
3,0.3604967057704926,2025-04-20 13:38:02.242989,2025-04-20 13:38:17.786132,0 days 00:00:15.543143,0.8787657229392837,0.34348140568796465,2,0.026047674631377072,0.18833588925486788,0.008909889703677905,0.0066006139423232385,0.009661134135454871,0.09328489411411649,0.0005130836764113759,16,26,0.07600842694020997,0.12206292881291794,True,False,True,2.8794702959363732e-05,COMPLETE
4,0.13877490758895875,2025-04-20 13:38:17.790545,2025-04-20 13:38:31.966854,0 days 00:00:14.176309,0.9228616656742636,0.20818105269703346,2,0.19260207493231907,0.20164394367619676,0.055620357442123736,0.0462485339036858,0.05202388713737426,0.04569204778534188,0.013629621759540415,14,43,0.08861417337051614,0.202083096230086,True,False,True,8.902644211777616e-07,COMPLETE
5,0.4154193937778473,2025-04-20 13:38:31.971303,2025-04-20 13:38:38.787721,0 days 00:00:06.816418,0.09346938303573094,0.1662424981068515,16,0.03018370764518794,0.24317105311954976,0.05004988644297152,0.04728719927096954,0.05576111776199754,0.09722922836786937,0.014748863649416437,5,145,0.033461678296541154,0.23274621085529082,True,False,True,1.7837564584955937e-05,COMPLETE
6,0.09159234166145325,2025-04-20 13:38:38.792531,2025-04-20 13:38:49.968009,0 days 00:00:11.175478,0.7104530432781831,0.5272593800614227,8,0.04460365040484547,0.007625403481878609,0.033904554150044466,0.09086821936263537,0.0030503995373136724,0.02001830735015474,0.00011108856697819872,27,128,0.038207861496652486,0.24697522242769634,True,False,False,3.929157802905227e-08,COMPLETE
7,0.4450116515159607,2025-04-20 13:38:49.973113,2025-04-20 13:39:00.547228,0 days 00:00:10.574115,0.4683372498868174,0.8669210468586321,8,0.02779718048411325,0.21707949821599842,0.01970935483138582,0.05447321190190579,0.07926388937334064,0.008814503950421847,0.039997490803369555,25,43,0.0941487982481267,0.2178747032435127,False,False,False,2.343478489984842e-05,COMPLETE
8,0.11709423661231995,2025-04-20 13:39:00.552555,2025-04-20 13:39:09.866559,0 days 00:00:09.314004,0.9502466975254025,0.7716084275395818,2,0.04323129121223711,0.1356230436742064,0.08391844326486053,0.03512460058549601,0.09446187902706799,0.010076755180492586,0.0037459821088632298,5,78,0.09566428373204401,0.05070661666764381,False,True,False,6.001440304972282e-05,COMPLETE
9,0.12070672512054444,2025-04-20 13:39:09.872230,2025-04-20 13:39:31.169463,0 days 00:00:21.297233,0.07052001698033146,0.5463221784282237,2,0.02936084258235666,0.20935279389165734,0.030967303537114833,0.04958952996555244,0.014009098528887046,0.07998927501482668,0.0008812698317512053,28,85,0.0838637950073519,0.20999069387034064,True,True,False,7.926861876553824e-05,COMPLETE
