number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.09029311388731004,2025-04-07 08:05:26.766293,2025-04-07 08:05:51.318869,0 days 00:00:24.552576,0.5612544640505762,0.6641305561073196,16,0.1593046053359611,0.15307849598528364,0.06809649804023421,0.011347917427005964,0.08260560111543112,0.08788273189698802,0.00023596191506445298,27,11,0.0032410892334412784,0.2963129802703361,True,False,True,1.8925163838789227e-07,COMPLETE
1,0.4794117212295532,2025-04-07 08:05:51.323000,2025-04-07 08:07:16.449142,0 days 00:01:25.126142,0.9760722921146323,0.705468275862408,2,0.14570373304799908,0.13225794939282343,0.08368414707568063,0.08672127606514794,0.04328217559420996,0.09334706266298085,0.03965110242766495,20,150,0.008528842085599585,0.07997180231064624,False,False,False,1.534849612236975e-07,COMPLETE
2,0.18615892231464387,2025-04-07 08:07:16.452975,2025-04-07 08:07:39.016984,0 days 00:00:22.564009,0.45463486422040483,0.5885779159149835,16,0.06846361543978913,0.21303378408376566,0.011230008388054085,0.02762946983360129,0.06462620075298618,0.06075265555671409,0.002198765864301387,19,41,0.02672023906039716,0.17327420202638408,False,False,True,1.6310505205780663e-06,COMPLETE
3,0.46667398214340217,2025-04-07 08:07:39.020823,2025-04-07 08:08:51.998951,0 days 00:01:12.978128,0.3018542909629261,0.7742370260139514,2,0.0716963919765653,0.1371655639978037,0.02833906952001702,0.0781349896988134,0.028924075682284757,0.057863758066477915,0.002450710646582348,16,146,0.057148139240262096,0.26034759869207386,False,False,False,2.7591771468525855e-08,COMPLETE
4,0.37561973333358767,2025-04-07 08:08:52.003038,2025-04-07 08:09:14.283145,0 days 00:00:22.280107,0.08612069633940922,0.6304651512036865,8,0.0016862087627965805,0.20088749146516205,0.06991059529621887,0.028564290285890286,0.035014947967114435,0.05302746899876241,0.023358753923280535,8,60,0.009420249284594777,0.24372933003717231,False,True,False,3.527409418950341e-05,COMPLETE
5,0.4424215316772461,2025-04-07 08:09:14.287554,2025-04-07 08:10:25.192851,0 days 00:01:10.905297,0.8170732210263448,0.6140668272641308,2,0.16046128922369993,0.29659677562996806,0.009815270777825139,0.05235385046250805,0.006693339556871202,0.03994765259586609,0.00020457516652677105,16,45,0.0473701985821696,0.29761192622264865,True,False,False,1.2466700245889337e-05,COMPLETE
6,0.27610165476799015,2025-04-07 08:10:25.197525,2025-04-07 08:10:43.876694,0 days 00:00:18.679169,0.6582325234643125,0.5073849963271364,16,0.038903626955687234,0.1308614664953433,0.013676868123452486,0.06363970126918077,0.01527940242884102,0.0835883376907074,1.3196117672600654e-05,7,78,0.035218038136693545,0.11903420765553432,True,True,False,0.00045430625905600947,COMPLETE
7,0.44106703996658325,2025-04-07 08:10:43.882103,2025-04-07 08:12:32.817983,0 days 00:01:48.935880,0.6879412663388108,0.2523324675822885,2,0.07801361761865228,0.14582777994642657,0.040755579740691106,0.08673612635314976,0.09519007249094352,0.007668971155829371,0.017919707426361876,27,7,0.05182766255447979,0.22981290486401462,True,False,False,3.6634919485072864e-07,COMPLETE
8,0.43744788169860843,2025-04-07 08:12:32.823268,2025-04-07 08:13:07.512659,0 days 00:00:34.689391,0.9530289900396658,0.7881815740940169,8,0.1666738835695958,0.04640906868326329,0.08059738462658188,0.006307861407530573,0.052455573185150026,0.09694444462303445,6.843256699448241e-05,21,67,0.06561317567487944,0.04342903164640071,False,False,False,1.3057639213628335e-07,COMPLETE
9,0.09069270193576813,2025-04-07 08:13:07.518619,2025-04-07 08:13:28.911361,0 days 00:00:21.392742,0.1860049804516477,0.8278143041201594,16,0.1776090420557722,0.08277343037200989,0.037046850552759594,0.09466621485053817,0.010114880599217637,0.09550555395163161,0.042948717776031216,15,144,0.08462722944936889,0.14660151507800284,False,True,True,1.8963016313290001e-06,COMPLETE
