number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.1648557871580124,2025-04-20 17:38:49.028267,2025-04-20 17:39:23.471400,0 days 00:00:34.443133,0.9889296946791947,0.36027733893001884,8,0.15424918205130847,0.25910980074038387,0.09371938777744339,0.0717871904585027,0.09278216168741933,0.05982116147622014,0.021751856111082688,22,118,0.08002204175854959,0.10586531531754367,True,False,True,5.9341787652661e-07,COMPLETE
1,0.09069270193576813,2025-04-20 17:39:23.475501,2025-04-20 17:39:52.798633,0 days 00:00:29.323132,0.17282815065315085,0.6531518755757992,16,0.25792576943944784,0.039872897420512636,0.03535597296419482,0.08312496781250905,0.06541654308240324,0.09111836343788675,1.1935940312793982e-05,29,90,0.02928602608785455,0.2333046639493891,True,True,True,5.498869601951288e-06,COMPLETE
2,0.13754232823848725,2025-04-20 17:39:52.802246,2025-04-20 17:40:14.988781,0 days 00:00:22.186535,0.17037225762685385,0.19330817506380316,8,0.26012642496725,0.05707361506001627,0.06490112129615713,0.0618833638888628,0.09400028066133398,0.03660104993740069,0.0016936980712327638,9,25,0.02727723231350776,0.1891591127826649,True,True,False,1.7002141769319514e-06,COMPLETE
3,0.09069270193576813,2025-04-20 17:40:14.992666,2025-04-20 17:40:42.616359,0 days 00:00:27.623693,0.059055871292913405,0.5361983466360382,16,0.277790487863221,0.151205040785802,0.0034162335983331004,0.020167147892958526,0.03979790574495256,0.06411965756410834,0.010411387509969745,30,118,0.0024920855790200097,0.12522512679194428,False,True,True,1.2150220284548324e-08,COMPLETE
4,0.11389653682708742,2025-04-20 17:40:42.620508,2025-04-20 17:41:21.110404,0 days 00:00:38.489896,0.6361779270861776,0.7885031175963171,8,0.2941966421425149,0.015207917006788379,0.053868483610339656,0.06273220705636896,0.055305150256874415,0.05818274089089116,0.001373419838268745,28,106,0.02790366303831132,0.2061601832352909,True,False,True,3.481242484247685e-06,COMPLETE
5,0.09074251204729081,2025-04-20 17:41:21.114901,2025-04-20 17:41:53.401361,0 days 00:00:32.286460,0.9682779841383099,0.17937550879094563,8,0.18889919488923246,0.007871881398941002,0.09103125948805374,0.06503665930167578,0.023803100915099577,0.06266244886095644,0.005627561070096232,20,105,0.015701204334726337,0.21589288553099037,True,True,True,0.0003034424044648867,COMPLETE
6,0.10664427876472474,2025-04-20 17:41:53.406064,2025-04-20 17:43:05.256158,0 days 00:01:11.850094,0.5172506018370951,0.6639358926663935,2,0.11759808706396989,0.11226356988592041,0.06673335408116253,0.007183876549445681,0.06306970422744382,0.02512787141028459,0.0006295211167100251,19,138,0.03212076100994673,0.078152898177951,False,True,True,2.2801528367121872e-05,COMPLETE
7,0.373518580198288,2025-04-20 17:43:05.261175,2025-04-20 17:43:27.212352,0 days 00:00:21.951177,0.9445111510037012,0.7887124797049205,8,0.032460980393636756,0.11550388532869232,0.07272513348858534,0.00584077434444611,0.04772685490045076,0.002580051202330251,0.023674765354185903,7,89,0.08981857353225366,0.1959083345820081,True,False,True,8.525287549948088e-06,COMPLETE
8,0.11386063396930696,2025-04-20 17:43:27.218195,2025-04-20 17:44:04.500639,0 days 00:00:37.282444,0.624172624798232,0.9839506256154525,8,0.27585512439653964,0.07524783770079059,0.071422290582761,0.019769124733754848,0.009743988743436172,0.040688295753471604,0.0020101464328366615,26,116,0.09880698287290905,0.28860807007947653,True,False,True,1.6964446899294052e-07,COMPLETE
9,0.11841502189636231,2025-04-20 17:44:04.506344,2025-04-20 17:44:25.336363,0 days 00:00:20.830019,0.1956273709533288,0.9754916352810021,16,0.16478079179756772,0.2423241985903466,0.019885509410339588,0.05583700487386657,0.05199211254962867,0.06730413137278615,5.868835739018359e-05,14,67,0.05345623949919972,0.08745200010968766,False,True,False,0.00024068745167447403,COMPLETE
10,0.436269474029541,2025-04-20 17:44:25.342744,2025-04-20 17:45:02.568080,0 days 00:00:37.225336,0.7260737906966859,0.4135623252699856,2,0.01117555251678445,0.17837969463674236,0.04111339599188242,0.03663754925377603,0.03128649325638304,0.0023088853415919345,0.08039087673698299,5,56,0.06509312601529965,0.011625642250673168,False,False,False,2.849378450564958e-05,COMPLETE
11,0.3204534947872162,2025-04-20 17:45:02.574415,2025-04-20 17:45:38.943993,0 days 00:00:36.369578,0.757391424410915,0.4154407801365742,2,0.00614578401335298,0.17335940350486725,0.044586153351769194,0.038520820997067266,0.035366312089886526,0.003460416934927606,0.07316080387483916,5,60,0.06947588333470629,0.0012122476958604522,False,False,False,3.9161246947978756e-05,COMPLETE
12,0.24222826957702637,2025-04-20 17:45:38.950684,2025-04-20 17:46:15.814385,0 days 00:00:36.863701,0.8542905062968023,0.7932708557520941,2,0.006085186975035575,0.20928470603018826,0.030575454094347018,0.0373530794589241,0.005769234453231166,0.00172550103740687,0.09095777617838613,5,40,0.09913760025700602,0.0012541005504636462,False,False,False,6.325362868777263e-05,COMPLETE
13,0.43024082779884343,2025-04-20 17:46:15.821467,2025-04-20 17:47:15.455769,0 days 00:00:59.634302,0.8067359337658078,0.33977253478738856,2,0.07335864073310724,0.11394838606033027,0.07860023699864147,0.004442851483866979,0.027351477083530265,0.016254185566092146,0.02565153729461413,12,9,0.07546406252439589,0.16348586961174957,False,False,False,1.3584296967120054e-05,COMPLETE
14,0.4384393334388733,2025-04-20 17:47:15.463060,2025-04-20 17:48:15.868750,0 days 00:01:00.405690,0.7257021755734082,0.03513772187763964,2,0.08017449068143165,0.29105657678032043,0.08299838972972534,0.03842199981255782,0.021437221902949565,0.02132438077455175,0.00019899366352688178,12,10,0.05921264606542301,0.1522115391283888,False,False,False,0.0009951644731908526,COMPLETE
15,0.4378836989402771,2025-04-20 17:48:15.876409,2025-04-20 17:49:18.672031,0 days 00:01:02.795622,0.4124113515321394,0.03571711989294024,2,0.07503919734735169,0.2983483986756631,0.05330577727751781,0.04123078083282559,0.016571908221089345,0.026470954461276855,0.0002862178319149257,13,44,0.05578966726407123,0.04666995666280438,False,False,False,0.0009074326376785566,COMPLETE
16,0.44630814790725715,2025-04-20 17:49:18.679957,2025-04-20 17:50:24.794627,0 days 00:01:06.114670,0.3790100942044182,0.024197099369167474,2,0.08967027871413502,0.2979329826211239,0.0853931476767398,0.04597170514277698,0.016399383279168504,0.0226123117636533,0.00020110079218716703,14,5,0.05008574647995369,0.06069585617448403,False,False,False,0.000882791479799757,COMPLETE
17,0.4476264774799347,2025-04-20 17:50:24.803415,2025-04-20 17:51:37.856361,0 days 00:01:13.052946,0.36775195792778337,0.04721503862849935,2,0.09869595037189546,0.2995022485967085,0.09877532974712948,0.09651110719007408,0.003249573358604112,0.018679861469783315,0.00013881112478754973,16,10,0.046824928800213474,0.1404709414827355,False,False,False,0.0008743617677227715,COMPLETE
18,0.4408552408218384,2025-04-20 17:51:37.864861,2025-04-20 17:52:49.971173,0 days 00:01:12.106312,0.3264353429537885,0.1565968676073926,2,0.11673625003104449,0.24901727349348357,0.0968119903820606,0.08943385510689,0.0019809277141008006,0.04175858484643038,5.344069689916721e-05,16,29,0.042465579255105926,0.05410978364624301,False,False,False,0.00019729822191317725,COMPLETE
19,0.4114816248416901,2025-04-20 17:52:49.979913,2025-04-20 17:54:27.916930,0 days 00:01:37.937017,0.37009314136556076,0.01057584841893876,2,0.219978608985058,0.2058308417990557,0.08606523753901438,0.07619938979609879,0.013497512774303009,0.014374029584573556,8.268345079910275e-05,23,21,0.044997576246732986,0.12507366659371685,False,False,False,0.00010576648321022173,COMPLETE
20,0.4343822419643402,2025-04-20 17:54:27.926093,2025-04-20 17:55:40.539132,0 days 00:01:12.613039,0.5057382727481702,0.24686101324234372,2,0.11687273450074585,0.27168404002825136,0.06007726817358642,0.09651034691215976,0.07501987654763105,0.032308983356156416,1.3201807965531451e-05,16,7,0.03989702907307286,0.2659032522041884,False,False,False,6.241479750722215e-08,COMPLETE
21,0.43656513094902044,2025-04-20 17:55:40.548660,2025-04-20 17:56:55.437805,0 days 00:01:14.889145,0.3118626382112095,0.13271637457907615,2,0.11257961808071683,0.23074941403778873,0.0992324338782156,0.09628726585185926,0.0021701778622295947,0.050074548264336535,5.114578274441209e-05,17,31,0.04130831865791271,0.0466452062021359,False,False,False,0.0002230297833744757,COMPLETE
22,0.4457869231700898,2025-04-20 17:56:55.447841,2025-04-20 17:58:06.543412,0 days 00:01:11.095571,0.2718421760280012,0.10675281570477242,2,0.052722936309455175,0.2765210923747758,0.0999735148699989,0.09012288682064401,0.0019228160941085093,0.04803317931922182,0.00016303293470847996,15,22,0.0482753196882302,0.0494028223784623,False,False,False,0.00047294910887018594,COMPLETE
23,0.44385460615158084,2025-04-20 17:58:06.553468,2025-04-20 17:59:01.010509,0 days 00:00:54.457041,0.25324465130608714,0.10245976660038711,2,0.045973259139272867,0.28218494910143976,0.08699258189045012,0.08134886511428727,0.01589261655742514,0.07410828159915826,0.00023830834748426443,10,17,0.06085455904460258,0.06664820273725806,False,False,False,0.0007935984656518571,COMPLETE
24,0.49543625116348267,2025-04-20 17:59:01.020777,2025-04-20 18:00:09.089524,0 days 00:01:08.068747,0.43107855710089643,0.30225295554507703,2,0.048431886205154484,0.22305533888930001,0.07792871222159699,0.08841204343361765,0.008626525762298855,0.047096334760131475,0.0005529663354204126,15,41,0.04974673727410451,0.10612228088955897,False,False,False,0.0004249094030620958,COMPLETE
25,0.42060543298721315,2025-04-20 18:00:09.100275,2025-04-20 18:00:34.371516,0 days 00:00:25.271241,0.44177950572422153,0.2717574667433217,16,0.09333403588947639,0.2149459853499483,0.0788130896356742,0.047345375310190965,0.011979099407772925,0.012318259795814059,0.0005348021647652923,19,42,0.035933837114523234,0.11323516747158863,False,False,False,0.00010045700365102916,COMPLETE
26,0.44592711329460144,2025-04-20 18:00:34.382384,2025-04-20 18:01:27.544508,0 days 00:00:53.162124,0.5778053539763323,0.2813126691330536,2,0.13933110517542588,0.26000861042214196,0.0773840839061739,0.09985494809990576,0.041179689511308626,0.030687979639396942,2.4136839639439096e-05,10,5,0.05087982635229081,0.1610677769549042,False,False,False,0.000422441948016036,COMPLETE
27,0.38638424873352056,2025-04-20 18:01:27.555587,2025-04-20 18:02:56.029693,0 days 00:01:28.474106,0.45331837483738247,0.5176462080569489,2,0.05576817696653141,0.29873285231002256,0.08985686320735181,0.02668619046552973,0.01908584955905064,0.08760435080094414,0.0006513962506403472,21,38,0.017084303845637715,0.08802526095824195,False,False,False,0.00010665818712618662,COMPLETE
28,0.43657125234603883,2025-04-20 18:02:56.041199,2025-04-20 18:04:33.015670,0 days 00:01:36.974471,0.07465436922995505,0.08821649041375518,2,0.030704504614457576,0.23214710279908862,0.06155812484449405,0.07355371993267674,0.00971066813730807,0.0792529048511906,0.00012396649640953613,24,52,0.06924087786298894,0.12835383024033462,False,False,False,0.00046512132841392223,COMPLETE
29,0.42920045256614686,2025-04-20 18:04:33.027830,2025-04-20 18:04:58.352570,0 days 00:00:25.324740,0.37381070281424744,0.34328751900434157,16,0.16292127318559513,0.26118743468354916,0.09311722152704204,0.050177020462404465,0.027525293264803893,0.054630852572403237,0.0003032738958566279,18,79,0.08259450355166512,0.02774522266618063,False,False,False,8.11914610205929e-07,COMPLETE
30,0.3843712627887726,2025-04-20 18:04:58.364739,2025-04-20 18:06:06.472345,0 days 00:01:08.107606,0.5776701720403787,0.23959121104942738,2,0.14033591088887715,0.19089662017939096,0.08348255156283377,0.06851578420167032,0.0076875086617203756,0.02003146652089686,0.0037826591830796173,14,15,0.01645792852920843,0.1779563854995481,False,False,False,5.942699601128083e-05,COMPLETE
31,0.4454856514930725,2025-04-20 18:06:06.484812,2025-04-20 18:06:59.889733,0 days 00:00:53.404921,0.5576168852090303,0.41289974048797135,2,0.13764731101679253,0.2597615692242738,0.07510098971580294,0.0979345314847239,0.08601456585975771,0.03154655454341491,2.5376855251128773e-05,10,7,0.054229661662882955,0.14199299865364998,False,False,False,0.0004860820947611091,COMPLETE
32,0.44504913687706,2025-04-20 18:06:59.902295,2025-04-20 18:07:55.999860,0 days 00:00:56.097565,0.46823587475894224,0.27769368121833016,2,0.09234310028883298,0.27204122592631935,0.0797628535021516,0.0887598133584603,0.04303212092487842,0.04598480086717636,2.3528534515171103e-05,11,30,0.04861434076927994,0.10320776522846338,False,False,False,0.0001889598903295316,COMPLETE
33,0.4353457629680634,2025-04-20 18:07:56.013155,2025-04-20 18:08:44.260067,0 days 00:00:48.246912,0.39246554287069174,0.21081144763007287,2,0.1001088798176944,0.24837999101556293,0.0912286019056638,0.0828926263585679,0.03351531204779953,0.03209723267279558,2.506786529821474e-05,8,17,0.037699214324423275,0.16137918866984075,False,False,False,0.00046459607141684277,COMPLETE
