number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.10812791287899018,2025-04-08 02:51:59.671515,2025-04-08 02:52:06.708545,0 days 00:00:07.037030,0.1490958928096643,0.0911688024881192,8,0.09216035818715736,0.07357850970504937,0.026216565046287266,0.09977558627285213,0.07863391586591481,0.08274736319392324,5.375410209770078e-05,6,56,0.05749985084512964,0.017895014955383287,True,True,False,7.60682623506047e-08,COMPLETE
1,0.2240349650382996,2025-04-08 02:52:06.712659,2025-04-08 02:52:16.088969,0 days 00:00:09.376310,0.5031003858509926,0.2193075767965074,16,0.0781335299460286,0.055607694797234396,0.08946154544457816,0.049369012107128955,0.014714263512968576,0.0754373569978462,0.074493863593997,26,103,0.013448046969141526,0.2837700769990751,False,False,False,1.24330017679815e-06,COMPLETE
2,0.14993211328983308,2025-04-08 02:52:16.092591,2025-04-08 02:52:28.856019,0 days 00:00:12.763428,0.6872191334072542,0.3120811011700054,2,0.18007105728464037,0.08028293307966193,0.07554652647432145,0.0899555406124434,0.040453718150136486,0.007455112439170556,0.007460128959459793,11,117,0.003457980936289395,0.2885751509349301,True,True,False,5.129806999402394e-06,COMPLETE
3,0.3691435813903809,2025-04-08 02:52:28.862092,2025-04-08 02:52:50.905453,0 days 00:00:22.043361,0.8474124799357647,0.5811671640699485,2,0.05793098720451058,0.22948877228484246,0.017001133283144725,0.07104182575028697,0.06205491839047677,0.007489170217893994,0.00408359738280928,24,6,0.002535216541678046,0.1319656537501523,False,False,False,0.00010937189677792894,COMPLETE
4,0.24677464962005616,2025-04-08 02:52:50.909628,2025-04-08 02:53:15.323634,0 days 00:00:24.414006,0.5885407373890463,0.06559808047819776,2,0.2622792780023507,0.018148646833531595,0.018014447263684008,0.023090956815077914,0.03131724186280654,0.08448899522409614,0.0707918691025293,28,76,0.03632704648210119,0.2852936094140094,False,False,False,0.0009425190478732715,COMPLETE
5,0.16921434402465824,2025-04-08 02:53:15.328415,2025-04-08 02:53:28.505468,0 days 00:00:13.177053,0.1307460316951733,0.8667125350268354,2,0.26959403168823937,0.025644917093285407,0.05159259949412621,0.06942395564741814,0.09357741660776454,0.04468558102823363,1.7524669506107882e-05,13,7,0.05373789243749862,0.14721716628017834,True,True,False,4.1288372219004e-06,COMPLETE
6,0.34554784893989565,2025-04-08 02:53:28.510305,2025-04-08 02:53:48.825771,0 days 00:00:20.315466,0.436267434559352,0.3504104850163822,2,0.1641514205644374,0.017928820951085264,0.01882627165946978,0.018003695097560092,0.060593244715784804,0.012260538971941272,0.001617917655199482,22,18,0.07279326508802687,0.21210365628243066,False,False,False,2.0513924823792405e-08,COMPLETE
7,0.09055355936288834,2025-04-08 02:53:48.830834,2025-04-08 02:53:58.162575,0 days 00:00:09.331741,0.4415404582044301,0.07545473836275945,8,0.15230264173346075,0.29958200345789066,0.04346276548502319,0.09255800623935757,0.020544297555327478,0.002362770814424354,0.0012443325062671904,23,34,0.0399402640743865,0.21714433420521603,True,True,True,0.0005832888624215751,COMPLETE
8,0.10674199610948563,2025-04-08 02:53:58.167993,2025-04-08 02:54:06.461439,0 days 00:00:08.293446,0.392332951745004,0.049892032024314414,8,0.28376204286566636,0.2861690251164652,0.032928782112468406,0.07914461273370448,0.037075855986767395,0.03142291247559633,0.050623912346673815,16,51,0.095618340161877,0.01915133462980481,False,True,False,1.5934586148563136e-07,COMPLETE
9,0.35359721779823305,2025-04-08 02:54:06.467079,2025-04-08 02:54:13.866155,0 days 00:00:07.399076,0.16310977286323577,0.09376647049617451,8,0.14054256914665594,0.15615752862307064,0.02416113493984864,0.009917706170691837,0.09955561933763354,0.07333497022332088,0.07439091295298439,9,34,0.071391613368625,0.29629802171717096,True,True,False,6.137324898176222e-06,COMPLETE
10,0.17161309719085696,2025-04-08 02:54:13.872633,2025-04-08 02:54:23.126983,0 days 00:00:09.254350,0.9618828936989074,0.6850238425251957,16,0.004864253467557866,0.21118910523904577,0.005278768267703876,0.050667567852590564,0.06056008819685881,0.029755546940432743,0.00023554460770256182,30,140,0.021904934116598197,0.11102649449321965,False,False,True,5.595142774176168e-05,COMPLETE
