number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.09055355936288834,2025-04-21 04:49:06.664229,2025-04-21 04:49:31.120017,0 days 00:00:24.455788,0.9719999603192163,0.5187278225543266,2,0.1638729515522987,0.09999555032749251,0.07917581897515262,0.010759799518640902,0.08848958778864614,0.023148016629513598,6.171713475589563e-05,30,102,0.015586062519298286,0.18262198395105114,True,True,True,0.0007554678864009329,COMPLETE
1,0.09055355936288834,2025-04-21 04:49:31.124129,2025-04-21 04:49:42.070723,0 days 00:00:10.946594,0.9515621649951146,0.07198160727376465,8,0.044042368372142725,0.1693134690014372,0.0848095868510552,0.06858890465152313,0.06615977593156051,0.0721500224464134,1.5129108081089707e-05,28,143,0.04439902120769148,0.1146566633461998,False,True,True,9.635202614285795e-08,COMPLETE
2,0.09768490940332414,2025-04-21 04:49:42.074335,2025-04-21 04:49:54.032740,0 days 00:00:11.958405,0.265792548438432,0.4894086008809853,2,0.28150012511813155,0.029471831160290847,0.03052068784354611,0.036259412885233135,0.06542798789546027,0.02610464707421313,0.0041310530776069825,9,136,0.01504897803924744,0.23652682996236551,False,False,True,6.361238168877352e-05,COMPLETE
3,0.30215797424316404,2025-04-21 04:49:54.036535,2025-04-21 04:50:01.859316,0 days 00:00:07.822781,0.5355051379398017,0.8594621133664785,16,0.07063055583201253,0.18730892584564204,0.051496582349029686,0.03972017739859153,0.07956335340913108,0.041413130055743465,0.05160389659752824,10,89,0.0327122536449225,0.19088371331892626,False,False,False,1.1843348784844555e-07,COMPLETE
4,0.2879984438419342,2025-04-21 04:50:01.864524,2025-04-21 04:50:15.409638,0 days 00:00:13.545114,0.9054697798500008,0.5762715956398724,2,0.07773222792037363,0.20356559599939394,0.06933700174035973,0.022212727586878745,0.004979718343703885,0.06261103362383046,5.5193808630030894e-05,13,10,0.09849951686310585,0.15520064331011849,True,True,False,6.486617523793555e-06,COMPLETE
5,0.21374136805534366,2025-04-21 04:50:15.414261,2025-04-21 04:50:25.790601,0 days 00:00:10.376340,0.412634343409312,0.4695336362081797,8,0.09661542958966589,0.025354682701687257,0.07075835017518482,0.08847931752560918,0.018731088720173473,0.08813104761092477,0.003307100696933305,27,25,0.05995651187496026,0.01201854858726054,False,False,True,3.950539867812975e-08,COMPLETE
6,0.3923324525356293,2025-04-21 04:50:25.795512,2025-04-21 04:50:34.090423,0 days 00:00:08.294911,0.13031490650558972,0.28941662713893396,16,0.12595248360890413,0.26636960787860237,0.06232855010348751,0.0572852773631634,0.08414531884674231,0.09163812537076815,0.0005453276357172351,19,6,0.009678019673854447,0.24575954214957801,False,False,False,2.6657733979320016e-05,COMPLETE
7,0.268649297952652,2025-04-21 04:50:34.095496,2025-04-21 04:50:43.497380,0 days 00:00:09.401884,0.8538784669836048,0.44071390288239215,2,0.08887186047747993,0.12262629665057492,0.008674384783856341,0.08065073067050321,0.08934830524273302,0.030340907358362864,0.00045917690184293084,5,12,0.062042815823817744,0.2990459433794987,False,False,True,5.8910227135872566e-05,COMPLETE
8,0.09055355936288834,2025-04-21 04:50:43.502728,2025-04-21 04:50:53.864670,0 days 00:00:10.361942,0.5018989327482297,0.1289091041580548,16,0.11058806592335806,0.2542415519445196,0.05798023510060567,0.06205067627012053,0.09123636318770727,0.0341288230021859,0.027551025947657928,25,123,0.09091807039549629,0.12487180640451737,True,True,True,2.2317892335453208e-08,COMPLETE
9,0.09055355936288834,2025-04-21 04:50:53.870239,2025-04-21 04:51:01.442705,0 days 00:00:07.572466,0.047193506349347616,0.4358107587838473,8,0.008314993812729184,0.012764492389097932,0.023120429741979052,0.007186662983698493,0.019156970311130225,0.068373285638842,0.025394005828277864,5,117,0.02206450297332197,0.2992281339386353,True,True,False,9.022746968970141e-05,COMPLETE
