number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.09301994591951371,2025-04-08 08:34:45.659577,2025-04-08 08:35:09.722168,0 days 00:00:24.062591,0.7984672634360864,0.4717893016558303,8,0.201233044069215,0.2042049350016259,0.012915790968469166,0.04347504262839471,0.03503110626705591,0.01862911492345305,0.00019540572075405865,8,148,0.03446774157150942,0.014063917418078383,True,False,True,1.4829382932612485e-08,COMPLETE
1,0.15103139877319335,2025-04-08 08:35:09.726377,2025-04-08 08:35:43.532962,0 days 00:00:33.806585,0.12479084133562737,0.14808430690274463,8,0.2734605209602656,0.008285053424852175,0.018276035098556527,0.03509260636068216,0.01757809893999648,0.036907562654186474,6.842294125918239e-05,24,49,0.021505685861778413,0.06195915583427025,True,False,True,9.612315726313556e-06,COMPLETE
2,0.25319201946258546,2025-04-08 08:35:43.536820,2025-04-08 08:36:02.022794,0 days 00:00:18.485974,0.0897604259343588,0.19825687241425347,16,0.05346818316085399,0.09818365701104935,0.0668722201691995,0.02908322594928494,0.012640797910050065,0.008906769254850358,0.018942412855924608,6,22,0.06583032877226794,0.2130931027950629,False,True,True,1.6534470726246486e-05,COMPLETE
3,0.09135908335447313,2025-04-08 08:36:02.026584,2025-04-08 08:37:24.389129,0 days 00:01:22.362545,0.1714125007899668,0.1977972651445524,2,0.21816545332289478,0.278752611485458,0.07346353588389487,0.05889782335434326,0.049554744166952755,0.04527922530477285,3.670427790364271e-05,23,73,0.01061804353515151,0.28676220454447476,False,False,True,7.781695377021627e-07,COMPLETE
4,0.17173809707164764,2025-04-08 08:37:24.393273,2025-04-08 08:37:43.454975,0 days 00:00:19.061702,0.13774658325921046,0.9570893051178126,16,0.22883438960030347,0.045770633246322065,0.07173369077873533,0.04662970901842503,0.08133452045460961,0.017254957345561286,0.014347904512504346,12,10,0.03608066446271638,0.03918824164009219,False,True,False,4.3068481955903326e-08,COMPLETE
5,0.14388339817523957,2025-04-08 08:37:43.459769,2025-04-08 08:38:12.273158,0 days 00:00:28.813389,0.99186983981329,0.5712544907996462,8,0.15750010817386467,0.01149272506165971,0.08326698260663362,0.05210514527825979,0.05257536364791285,0.06387176058348688,5.1756631171833606e-05,17,68,0.0807753644433929,0.06946481547600654,True,True,False,3.75053904757695e-05,COMPLETE
6,0.38762469291687013,2025-04-08 08:38:12.277940,2025-04-08 08:38:38.155207,0 days 00:00:25.877267,0.08796610860695878,0.4095211838902253,16,0.22206217116339236,0.12918998322736486,0.07127703145547434,0.05404886775177634,0.048407230921402,0.06350596774625522,0.0027600695281624022,20,15,0.04899295384108329,0.1804564049182172,True,False,False,5.310994205711411e-07,COMPLETE
7,0.09188934862613678,2025-04-08 08:38:38.160278,2025-04-08 08:39:01.413571,0 days 00:00:23.253293,0.03675227297553705,0.33698656481330563,16,0.10790035808600232,0.009025151640745827,0.02811753760516344,0.082208881578631,0.016425704510210214,0.08414898476596498,0.06620799347120207,20,55,0.019984353892491917,0.23975574350613832,False,True,False,6.648072980658259e-08,COMPLETE
8,0.43148016929626465,2025-04-08 08:39:01.419444,2025-04-08 08:39:32.890969,0 days 00:00:31.471525,0.7859106569684683,0.34597433573173186,16,0.008207833931246817,0.13344400471401244,0.04773839561109944,0.06646207399483689,0.03678676246557626,0.001743140021074213,0.003959461549625256,26,83,0.08587406951788909,0.235224023317365,True,False,False,0.000927617242653934,COMPLETE
9,0.43628114461898804,2025-04-08 08:39:32.896693,2025-04-08 08:40:11.565235,0 days 00:00:38.668542,0.8079137937122337,0.6580878034097877,8,0.2774427505234126,0.29062688496423095,0.01052791732428282,0.06234979306147476,0.061605626444459695,0.0984942978852681,0.00032915479146138456,25,49,0.0674730626890085,0.20719262332577137,True,False,False,0.0006186187218710987,COMPLETE
