number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.09188934862613678,2025-04-19 12:59:16.424044,2025-04-19 12:59:55.258606,0 days 00:00:38.834562,0.611540821143044,0.3366719258154766,2,0.04807553563174544,0.20121589187022748,0.018182162232374132,0.015456644028086122,0.05353236438173055,0.05595136167175323,2.1904579757103706e-05,7,95,0.08603303665502275,0.23705822745899713,True,True,False,4.052240136504121e-06,COMPLETE
1,0.15325015485286714,2025-04-19 12:59:55.263011,2025-04-19 13:00:29.401490,0 days 00:00:34.138479,0.9627251723927349,0.014623850981090895,8,0.17091925871933952,0.17839546269393758,0.03426866483648222,0.01678898237153215,0.055486967250399415,0.01382984852376893,0.00011703275675678908,23,119,0.07203098408410416,0.032693541956079514,False,False,True,4.674623576991302e-05,COMPLETE
2,0.14753497242927552,2025-04-19 13:00:29.405085,2025-04-19 13:00:59.774678,0 days 00:00:30.369593,0.9609215014093119,0.22033913181755493,8,0.28931106891743646,0.19673480184019487,0.021712801737430103,0.05895909103956475,0.06746320191372666,0.034314754651516385,0.0036575920105638665,20,36,0.06977559398717145,0.10680857678382297,False,True,False,0.0006068161511806863,COMPLETE
3,0.1646474987268448,2025-04-19 13:00:59.778590,2025-04-19 13:02:11.467419,0 days 00:01:11.688829,0.3520286481072905,0.9597345619389848,2,0.1642592689859086,0.10921280057372598,0.08262012932954095,0.026272902075763098,0.05384145506187009,0.001856870519161281,0.0006207233015534896,19,31,0.0019589593969851784,0.20548840116716607,True,False,True,2.3547346231225318e-07,COMPLETE
4,0.24225014448165894,2025-04-19 13:02:11.471612,2025-04-19 13:02:35.395811,0 days 00:00:23.924199,0.6348549069518434,0.6695234377613631,16,0.13538634086258583,0.13405109326324977,0.05380544344999823,0.008523270369844859,0.06137430240268392,0.06868600081391607,0.014218794700939329,21,47,0.07449999440665292,0.1799240250581162,False,False,True,8.957599655881891e-06,COMPLETE
5,0.09188934862613678,2025-04-19 13:02:35.400556,2025-04-19 13:04:09.361452,0 days 00:01:33.960896,0.7507521842104022,0.7317756932589238,2,0.24733160208345048,0.27626051396080126,0.05349926789638556,0.07509310909737119,0.07083038690908725,0.03014926811030968,0.000774153993922311,25,109,0.06807092319318217,0.19911724662441344,True,True,True,0.00012933676114150328,COMPLETE
6,0.41195946335792544,2025-04-19 13:04:09.366196,2025-04-19 13:05:45.692875,0 days 00:01:36.326679,0.4873680393254994,0.3060721756739883,2,0.1017150955805181,0.19448329511415743,0.02320708497007348,0.02093294421507476,0.03863324720629822,0.019661957607113464,0.012694926345940502,23,119,0.07300402344244845,0.1694407269088392,False,False,False,5.7374367806277443e-08,COMPLETE
7,0.09541803300380708,2025-04-19 13:05:45.697951,2025-04-19 13:06:22.728975,0 days 00:00:37.031024,0.2967430374705781,0.40133105958303394,8,0.0570215673775687,0.08486651057053124,0.02962157343280627,0.043743570967949626,0.03717863342027739,0.02812953257745955,0.015161857751607798,27,59,0.06657560872270105,0.1052116172711388,True,True,False,1.6252996598039906e-06,COMPLETE
8,0.43236742019653324,2025-04-19 13:06:22.734301,2025-04-19 13:06:51.306577,0 days 00:00:28.572276,0.9511032439853847,0.6841146090657795,16,0.2232436234207217,0.09034978083697823,0.07491838980511321,0.05951664846824803,0.0816600408190544,0.09115133371754514,0.003508582616874063,22,44,0.0845377231091375,0.2219957494006195,True,False,False,3.7689324611815814e-06,COMPLETE
9,0.22455382347106936,2025-04-19 13:06:51.312651,2025-04-19 13:07:13.223580,0 days 00:00:21.910929,0.6414827452807862,0.6703869338126434,8,0.04003816975252445,0.014737254652587182,0.038527697320999754,0.08478672848805358,0.030876023017768667,0.08848025346383208,0.001641517361986727,7,94,0.00769959469331307,0.19319641273798954,False,False,True,2.601005381491374e-07,COMPLETE
