number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.2820645451545715,2025-03-31 19:24:29.728046,2025-03-31 19:24:43.113931,0 days 00:00:13.385885,0.3758528355474387,0.2489762839295593,2,0.04545974785606075,0.2082297350459283,0.055528995960364265,0.0811549271534115,0.004996992625448428,0.05035086690564745,0.009301554173355273,14,64,0.06122292631450523,0.20048668657984806,False,True,False,2.524912723494865e-08,COMPLETE
1,0.2815818369388581,2025-03-31 19:24:43.121976,2025-03-31 19:25:02.491971,0 days 00:00:19.369995,0.6606068689266645,0.810807664711047,2,0.2526555628863157,0.15686722684376286,0.052393949750913396,0.03578472012832841,0.08185707634504086,0.036109583312551256,0.03640845571792399,26,29,0.013377469304052658,0.29047885061632706,False,False,True,0.0004129500794605795,COMPLETE
2,0.40195963382720945,2025-03-31 19:25:02.495999,2025-03-31 19:25:08.147703,0 days 00:00:05.651704,0.26076899327145003,0.6118978199445535,16,0.10034553620572653,0.1476455596296107,0.0674764908593078,0.007651466393569225,0.007576744273091379,0.05209993267960963,0.002030950406063484,6,90,0.08914947408952287,0.11830134394675774,False,False,True,2.0532692614081464e-05,COMPLETE
3,0.4117398262023926,2025-03-31 19:25:08.151685,2025-03-31 19:25:14.767018,0 days 00:00:06.615333,0.9581239757623226,0.6941644652539908,16,0.2270465183481403,0.25990025994688465,0.03639502615650358,0.024852649191993533,0.028662762171141012,0.08587842254821094,5.314669453621783e-05,12,99,0.014189778865002674,0.2969965523169718,True,False,False,1.265646394812603e-07,COMPLETE
4,0.30364089608192446,2025-03-31 19:25:14.771242,2025-03-31 19:25:23.539694,0 days 00:00:08.768452,0.40281387386212547,0.8559365049175327,8,0.20048803612987204,0.07118597516198144,0.09246521058577961,0.041624214592842455,0.04464635298090887,0.04650142433533579,1.4688873832044798e-05,25,63,0.08860441250188113,0.08249585561181727,True,True,False,0.0008093369026885975,COMPLETE
5,0.30832558274269106,2025-03-31 19:25:23.544248,2025-03-31 19:25:30.445923,0 days 00:00:06.901675,0.5503539406815087,0.339747030133123,8,0.18282868458943605,0.2426777506283969,0.006555486996198202,0.07738682113699945,0.08995485299993917,0.08874377823624106,9.272862569832742e-05,12,74,0.06117437358564835,0.1142563850792356,True,False,True,4.128226644238526e-06,COMPLETE
6,0.32618216276168827,2025-03-31 19:25:30.450680,2025-03-31 19:25:39.541266,0 days 00:00:09.090586,0.3595136309782388,0.9100166010524801,8,0.15622740939793525,0.24308801710811145,0.04893922471869617,0.019686640044642868,0.05465466526967623,0.011519280640345828,0.0005312837335937364,28,126,0.066674978947384,0.10206426330514529,False,True,False,3.641813365380429e-08,COMPLETE
7,0.28286103010177616,2025-03-31 19:25:39.546605,2025-03-31 19:25:45.452415,0 days 00:00:05.905810,0.048109689581651995,0.708850858182549,16,0.1974717762452287,0.2357067219800741,0.016624516078352122,0.0898131135181219,0.007671595646097269,0.08176421990926637,0.0014358259740341577,9,60,0.09539015847693907,0.2969886299779908,True,True,True,3.8403512748908827e-08,COMPLETE
8,0.3928898096084595,2025-03-31 19:25:45.457750,2025-03-31 19:25:53.387869,0 days 00:00:07.930119,0.4189675340981138,0.9432820716730907,8,0.16751054439864896,0.1823954770140073,0.08049779809541717,0.048906790880989655,0.023209619695107597,0.07555896045731793,1.8848518076027048e-05,15,64,0.06666704122151004,0.0418954119987602,False,False,False,2.1551920481568837e-06,COMPLETE
9,0.28286103010177616,2025-03-31 19:25:53.393645,2025-03-31 19:25:59.119147,0 days 00:00:05.725502,0.8774735286379041,0.1019544741423982,16,0.2999735747009828,0.18584514842851527,0.09042998566021387,0.04596846855650503,0.08175052610288558,0.020593375339213627,0.004716189743798973,7,134,0.06424430439188644,0.1797600870385936,False,True,True,1.7318095385646046e-05,COMPLETE
10,0.38613227605819705,2025-03-31 19:25:59.125929,2025-03-31 19:26:06.638174,0 days 00:00:07.512245,0.9756246499940195,0.47318781242038305,16,0.00933532968543474,0.2911925566396604,0.03260513384226235,0.06498026869925165,0.03675134451834049,0.09962708955925444,0.00017000126468250042,19,104,0.0036700140643076574,0.23470387478662647,True,False,False,3.6686983710878544e-07,COMPLETE
11,0.5106402635574341,2025-03-31 19:26:06.644671,2025-03-31 19:26:12.256779,0 days 00:00:05.612108,0.16271883063415932,0.6278343834499904,16,0.09397999043022744,0.08263736313167766,0.06776659830945392,0.0014848838876589734,0.023466768534537073,0.06638614747244768,0.0007165854152222206,5,97,0.031208614404340966,0.0038038353333506303,True,False,True,6.127489113653209e-05,COMPLETE
12,0.28286103010177616,2025-03-31 19:26:12.263648,2025-03-31 19:26:19.564980,0 days 00:00:07.301332,0.04639571696969408,0.5456009592494204,16,0.10965783782815046,0.01220881234225965,0.03756331811480196,0.003683171505458431,0.027766922642321702,0.06913461604338385,8.516077601564401e-05,19,109,0.029933085760044928,0.02144939316524166,True,False,False,3.109565374877909e-07,COMPLETE
13,0.28286103010177616,2025-03-31 19:26:19.572307,2025-03-31 19:26:25.542510,0 days 00:00:05.970203,0.7340601324487676,0.7087944023387535,16,0.08296980153946694,0.09947037723662366,0.027710964433821168,0.020439053011357105,0.06157590200953599,0.06337415183844354,0.0003642774526985253,10,36,0.03360394615446275,0.2386175288894523,True,False,True,8.192735353293183e-05,COMPLETE
14,0.3959824204444885,2025-03-31 19:26:25.550536,2025-03-31 19:26:31.512040,0 days 00:00:05.961504,0.19885996562473252,0.4103003881142865,16,0.24444045912119008,0.09225468309592913,0.06922977994861837,0.02399509724346185,0.021554056476837388,0.09861688352307868,3.957127238618819e-05,5,97,0.031027201006785826,0.0024082059404540905,True,False,False,3.943924737322523e-07,COMPLETE
15,0.36061803102493284,2025-03-31 19:26:31.519769,2025-03-31 19:26:38.354744,0 days 00:00:06.834975,0.810316931498545,0.7029803282400349,16,0.12703608005936542,0.028066844586727244,0.0681183942163454,0.0014648360058777438,0.03501412893868421,0.06402355088723813,0.05162288394896237,16,149,0.019131953895185832,0.06023350981865277,True,False,True,9.410724763517103e-05,COMPLETE
16,0.3045629978179932,2025-03-31 19:26:38.362837,2025-03-31 19:26:49.616936,0 days 00:00:11.254099,0.5867208257219527,0.5968399546153265,2,0.2402354429639039,0.2910956385922154,0.04131597473393037,0.028496197341337116,0.0654475341209923,0.0845447981761073,0.0002959141933083329,10,119,0.0011023580661006435,0.1514135909570168,True,False,True,2.1530838940150306e-06,COMPLETE
17,0.3930698037147522,2025-03-31 19:26:49.625439,2025-03-31 19:26:57.316312,0 days 00:00:07.690873,0.1691873069739011,0.7926388774606359,16,0.06311125053883837,0.12428822999025627,0.024012026395941223,0.013977818059117653,0.01822592353586796,0.07128821759511716,0.004559091421684036,23,45,0.04581374524096689,0.2532571565090321,True,False,False,1.2534297986854297e-07,COMPLETE
18,0.3833851218223572,2025-03-31 19:26:57.325159,2025-03-31 19:27:03.841860,0 days 00:00:06.516701,0.9890279201118106,0.9872271942312829,16,0.13943513756993833,0.05756085591988486,0.06003762043202306,0.06075393217653484,0.04438629033536928,0.03622663973788513,4.754505019896302e-05,12,12,0.04505814966477674,0.1625221838238927,True,False,False,1.0997193372835641e-08,COMPLETE
19,0.3212205529212952,2025-03-31 19:27:03.850770,2025-03-31 19:27:13.902335,0 days 00:00:10.051565,0.8434463392925251,0.2835143714169154,2,0.2757582666374542,0.1311380406944027,0.003705527468235645,0.031519719061234464,0.032797770575012465,0.058396356517844,0.0007733896314014677,8,81,0.018086791648033982,0.2071716517575059,True,False,True,1.097330167906123e-05,COMPLETE
20,0.38143270015716557,2025-03-31 19:27:13.911944,2025-03-31 19:27:21.579405,0 days 00:00:07.667461,0.6434898138301062,0.45570504541562756,16,0.20979828285385121,0.04599061413416476,0.07623926460370148,0.014398179311938531,0.014916921677542253,0.09135591021103302,0.01544977335588758,21,87,0.03851991031130355,0.12839400636640302,True,False,False,0.0001288123920786535,COMPLETE
21,0.37189452052116395,2025-03-31 19:27:21.588946,2025-03-31 19:27:27.191783,0 days 00:00:05.602837,0.22676411657314105,0.6308989115191312,16,0.1027481295511216,0.15497713729487347,0.044196657508418634,0.006132209605824976,0.012214887465138845,0.038424065398056734,0.001958520850961557,5,91,0.08334032863016577,0.06670676129190009,False,False,True,2.6064161271399013e-05,COMPLETE
22,0.47100971937179564,2025-03-31 19:27:27.201832,2025-03-31 19:27:32.852031,0 days 00:00:05.650199,0.27790957383457293,0.620527059465271,16,0.046799599936295656,0.10273808282788736,0.06186067889671932,0.011141778085985399,0.001211148825207363,0.05580048852861771,0.0021537464238959086,6,115,0.02325151498788625,0.13605594958348285,False,False,True,6.462379231227309e-06,COMPLETE
23,0.4219536900520325,2025-03-31 19:27:32.862080,2025-03-31 19:27:39.052616,0 days 00:00:06.190536,0.28477413369841903,0.7401557510903407,16,0.026635094645846555,0.10196106916039874,0.06094893172272862,0.013664385745524114,0.027015490056189584,0.07797278148753412,0.0002067344582849673,12,111,0.024610899769960955,0.27167360448469624,False,False,True,5.600774321718614e-06,COMPLETE
24,0.4401222348213196,2025-03-31 19:27:39.063072,2025-03-31 19:27:44.912445,0 days 00:00:05.849373,0.11798394207274865,0.7821423609367623,16,0.0009940762056767222,0.08451054396843509,0.0833421859238814,0.012203502860731819,0.04219745715236256,0.07709736252654223,0.0008781922763500101,8,115,0.02329195112509247,0.26616148217210434,False,False,True,6.078788288183985e-06,COMPLETE
25,0.4546653985977173,2025-03-31 19:27:44.923355,2025-03-31 19:27:50.777475,0 days 00:00:05.854120,0.12122226015906484,0.5132428552267932,16,0.047910953791877195,0.0821418199625159,0.08335292557876156,0.010924984831935096,0.002221994251535661,0.05467741246536025,0.0008820705927175711,8,138,0.038622231278010476,0.20846047172375168,False,False,True,1.1278083139001311e-06,COMPLETE
26,0.28286103010177616,2025-03-31 19:27:50.788344,2025-03-31 19:27:56.359118,0 days 00:00:05.570774,0.12490744324552105,0.5302517886230391,16,0.06305847140077597,0.11589367876155246,0.09813098619562576,0.0012021975802041767,0.002943815639534627,0.042259397251262105,0.004577884028414097,5,136,0.052759554300097926,0.1943873618011596,False,True,True,1.1185792769295951e-06,COMPLETE
27,0.43626312017440794,2025-03-31 19:27:56.370491,2025-03-31 19:28:02.157169,0 days 00:00:05.786678,0.47580644652329507,0.36859693515937175,16,0.037545730562960906,0.039485433310585086,0.0738010893073645,0.03739177629782454,0.0027276568898039503,0.02572289544000554,0.002702626935495808,7,150,0.037916362582499155,0.21686877274290028,False,False,True,4.469409674784703e-05,COMPLETE
28,0.386126184463501,2025-03-31 19:28:02.168769,2025-03-31 19:28:08.795951,0 days 00:00:06.627182,0.30690223064283145,0.564540789332415,8,0.07030183143293513,0.0021904559627596437,0.08539121620509302,0.019773571563349655,0.013334495999648935,0.05757241208776231,0.015137093480968242,10,134,0.05329554669403491,0.1734986153154431,False,False,True,9.482397052685673e-07,COMPLETE
29,0.39646825790405277,2025-03-31 19:28:08.808000,2025-03-31 19:28:18.299886,0 days 00:00:09.491886,0.1102136686144986,0.1303288332350705,2,0.049809462162743276,0.06701053880005811,0.059393029327781934,0.05788408324234537,0.0011207406762858748,0.05410507544644483,0.0005946519444336353,7,122,0.011116936964078925,0.09053186165501356,False,True,True,0.0002870345624780595,COMPLETE
