number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.28286103010177616,2025-04-21 12:40:36.546427,2025-04-21 12:40:55.396791,0 days 00:00:18.850364,0.2955893364015373,0.6923965510379291,2,0.23577537047788916,0.10539586319476527,0.030132660239338645,0.08157954720368409,0.08921419372841974,0.08074613508393468,0.01860367472418927,25,65,0.0782771543390274,0.09578642071061726,False,True,False,7.645217377492771e-05,COMPLETE
1,0.39634159803390506,2025-04-21 12:40:55.400965,2025-04-21 12:41:04.196593,0 days 00:00:08.795628,0.15074829169881593,0.06025322837944278,8,0.2445351055234528,0.07908070238565422,0.04348348381510979,0.09508415299407304,0.03932981975598442,0.013802362765386128,0.003779084714664316,25,11,0.07629084946775216,0.20451550767682766,False,True,False,1.5160947962232107e-08,COMPLETE
2,0.28286103010177616,2025-04-21 12:41:04.200212,2025-04-21 12:41:15.073966,0 days 00:00:10.873754,0.27372954869566934,0.0897638492643116,2,0.06231414876397948,0.21773726184633835,0.07985179098988296,0.011073734737948478,0.008804558303615345,0.021406255987026758,0.007679077890234193,9,136,0.08503870109648001,0.01348863743519774,True,True,False,1.1140816053299415e-08,COMPLETE
3,0.3834221601486206,2025-04-21 12:41:15.077831,2025-04-21 12:41:23.674544,0 days 00:00:08.596713,0.6592331572971862,0.7305720435332183,8,0.1690538559284281,0.2092462814811735,0.003422296425249615,0.029990732518487186,0.09058166805586008,0.08786940740528022,0.007388010737498046,17,7,0.001762500792897449,0.13848306814439573,True,False,False,1.5625753651964157e-06,COMPLETE
4,0.409553062915802,2025-04-21 12:41:23.678710,2025-04-21 12:41:30.653525,0 days 00:00:06.974815,0.6903655163705318,0.3130289827804541,8,0.12952246759933203,0.22078010807531784,0.07615256040007128,0.02509323847537387,0.08873580560724363,0.0016692744973797987,0.00014458817627285262,8,30,0.055718655049040305,0.10375857401972552,False,False,False,0.0002196807503454927,COMPLETE
5,0.3998603463172913,2025-04-21 12:41:30.658381,2025-04-21 12:41:46.843797,0 days 00:00:16.185416,0.33479141463990886,0.7843583811733951,2,0.063777916795536,0.0986336932323927,0.03085263239037416,0.0415061444470404,0.0609037850647202,0.051757577600414766,0.0038198480091557237,16,42,0.040896243482859904,0.2646227027826166,True,False,False,0.0005923331811863729,COMPLETE
6,0.38642091751098634,2025-04-21 12:41:46.848542,2025-04-21 12:42:01.253341,0 days 00:00:14.404799,0.7925265158925949,0.39113879425466,2,0.003946779812002835,0.26820355716042443,0.04182864509727561,0.06555721034431515,0.042999988848421516,0.08914577899823563,0.002567525170911777,16,58,0.01512312358597261,0.20104657730193404,False,False,True,0.0008067715777831213,COMPLETE
7,0.4780036687850952,2025-04-21 12:42:01.258317,2025-04-21 12:42:14.129211,0 days 00:00:12.870894,0.09049967699112342,0.4883853469389626,2,0.12341183755618088,0.07168862707422474,0.06016983855173219,0.00672857266418513,0.06217997136361233,0.051631286574847654,0.0004546428316458551,13,128,0.032893775734472545,0.21871177563358907,False,False,True,1.4745942366192474e-05,COMPLETE
8,0.3855001926422119,2025-04-21 12:42:14.134544,2025-04-21 12:42:23.721399,0 days 00:00:09.586855,0.757936852580723,0.10657027742486551,8,0.06513129234655606,0.10424130663480397,0.057557101864798677,0.07761233341921661,0.008291145760348805,0.07863557272210482,0.00042799034355513736,30,30,0.0982516769775063,0.16836826992437742,False,False,True,2.1060427133322885e-07,COMPLETE
9,0.28286103010177616,2025-04-21 12:42:23.726981,2025-04-21 12:42:29.951533,0 days 00:00:06.224552,0.011767786564080304,0.9011378345598884,16,0.26166772843651454,0.06494531550193094,0.08345112245326845,0.008379851809596734,0.048668984800298715,0.017303002720376184,0.004992060263670191,11,135,0.0203350695349075,0.15153611082002663,False,True,False,2.119988205235472e-08,COMPLETE
10,0.2973271131515503,2025-04-21 12:42:29.957976,2025-04-21 12:42:35.814139,0 days 00:00:05.856163,0.9830806530811176,0.5186484359494917,16,0.16823234709715357,0.007367985044865175,0.09951618618463273,0.05612768079155599,0.07117313759624097,0.04588900085528444,4.623309378323394e-05,5,102,0.04942478671403017,0.28889789073433947,True,False,True,1.8325768478467576e-05,COMPLETE
11,0.2953623592853546,2025-04-21 12:42:35.820632,2025-04-21 12:42:42.683022,0 days 00:00:06.862390,0.5223870220465632,0.3393646061904828,8,0.1214564021507153,0.1786169684560767,0.06612892563971805,0.02791479091966965,0.07748958729931824,0.04660039368848204,0.00023566352233547183,10,103,0.03594602504024774,0.06426860710180869,False,False,True,3.487876066911957e-05,COMPLETE
