number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.34062222838401796,2025-03-31 23:59:54.172072,2025-04-01 00:00:13.086425,0 days 00:00:18.914353,0.17871206283567723,0.8480636588700392,16,0.2705030700238479,0.07872245262520543,0.013770579334463628,0.09303009191396577,0.069696480961342,0.05238427098451911,0.03287752250179233,19,73,0.07244678525873814,0.18886736409409738,False,True,True,0.0009153335399654457,COMPLETE
1,0.2797684073448181,2025-04-01 00:00:13.090657,2025-04-01 00:00:29.954536,0 days 00:00:16.863879,0.5052678597394672,0.3635320989928934,8,0.28425700681210053,0.24158027867996054,0.030924300322053996,0.011023296147547598,0.07210894920898682,0.056727095063838925,0.0001653592550895287,6,98,0.04169432762322554,0.1551623812630023,True,True,True,0.000246458616759631,COMPLETE
2,0.4250128388404847,2025-04-01 00:00:29.958339,2025-04-01 00:00:49.086048,0 days 00:00:19.127709,0.0375591750547212,0.6360852593701526,8,0.04771221468413233,0.22630811922018793,0.09691691494684644,0.02622638209378185,0.01491410742125122,0.05720790396602386,0.018089844819503244,10,75,0.012964853797424142,0.06723081936038437,False,False,True,3.70502108172488e-05,COMPLETE
3,0.2824764728546143,2025-04-01 00:00:49.089996,2025-04-01 00:01:11.259843,0 days 00:00:22.169847,0.40780884466790374,0.35274800303362436,16,0.2559460390900057,0.17319297106467044,0.0584217996579716,0.09801526442448301,0.025179667412762143,0.01283618669559436,0.011303284460954065,26,57,0.05518488466056994,0.1566201836726485,True,True,True,0.0009537638198726782,COMPLETE
4,0.33703912496566774,2025-04-01 00:01:11.264045,2025-04-01 00:01:33.695314,0 days 00:00:22.431269,0.2845739714816018,0.05670704129684591,16,0.15315036494903264,0.18355309383052162,0.04985093233093873,0.01696535883979169,0.08608919602652372,0.007704077475922061,3.315154801928212e-05,27,53,0.06641998746646545,0.25545052132392176,True,True,False,0.00010290119839356183,COMPLETE
5,0.31631652116775516,2025-04-01 00:01:33.699845,2025-04-01 00:02:01.528059,0 days 00:00:27.828214,0.3342645284216639,0.4748213974109454,8,0.19411602719058446,0.0794898769950636,0.05525045870447513,0.0025884014479308206,0.03462771153968978,0.09078135758081592,0.015445100603141531,23,9,0.08383370922315964,0.2524806564508902,False,True,True,2.588969696836515e-07,COMPLETE
6,0.2797684073448181,2025-04-01 00:02:01.532921,2025-04-01 00:02:21.375309,0 days 00:00:19.842388,0.049203559142972045,0.8337957503246249,8,0.19943600433970812,0.2885683698567442,0.04938105322373775,0.002327904384531454,0.03765215250596206,0.021660688314728418,0.004556262875055949,11,68,0.08639191290545833,0.2607322574884498,False,True,False,0.0003125112753756119,COMPLETE
7,0.32753687500953677,2025-04-01 00:02:21.380588,2025-04-01 00:03:24.842859,0 days 00:01:03.462271,0.6855079539298863,0.8648602566047203,2,0.2920284843284583,0.1259932496263964,0.01466621578845475,0.053061609291227635,0.09381048894716983,0.059392110972716794,0.04442377247957086,18,53,0.07145920745055798,0.2567905962130686,True,False,True,0.0007666297651118176,COMPLETE
8,0.28434489965438847,2025-04-01 00:03:24.848423,2025-04-01 00:03:45.051522,0 days 00:00:20.203099,0.25165326468283156,0.9720200705514409,16,0.18903184026222172,0.14048965774319752,0.07579175486444481,0.03913372583211142,0.06355705718270094,0.04041268531973045,0.001629716359507648,17,99,0.06277749359525023,0.07804062653159922,True,True,True,8.798961243427611e-06,COMPLETE
9,0.33715212941169737,2025-04-01 00:03:45.057294,2025-04-01 00:04:02.467903,0 days 00:00:17.410609,0.06827932120342123,0.8560244390247563,8,0.029894638624260964,0.2591527104954893,0.06937647414362612,0.07788173577854973,0.06261555722670059,0.041419835864599575,0.00015857418730303222,8,30,0.09049567147417611,0.2770875161497547,False,True,False,2.660899092467104e-07,COMPLETE
10,0.2797684073448181,2025-04-01 00:04:02.474484,2025-04-01 00:04:58.619359,0 days 00:00:56.144875,0.8253982847207432,0.6244935189559627,2,0.03726723630162203,0.00018490971768736486,0.09829173970323961,0.036967854379737854,0.001862077041931743,0.08575251162098163,0.0010922802019830255,12,150,0.005229938727208797,0.0068457176282009854,False,False,False,1.9895533647214307e-08,COMPLETE
11,0.43312075138092043,2025-04-01 00:04:58.625879,2025-04-01 00:05:17.449913,0 days 00:00:18.824034,0.13527309542456217,0.6814818288338134,16,0.07480714861554666,0.06301012824550367,0.009802292396986531,0.06724982026699823,0.0014453385725642434,0.07294770381876184,0.01959809386003227,18,102,0.0269395640041093,0.08885421151872638,False,False,True,2.0777971966707993e-05,COMPLETE
12,0.5228569746017456,2025-04-01 00:05:17.457288,2025-04-01 00:05:34.424442,0 days 00:00:16.967154,0.012973932372257663,0.6538160849406434,16,0.07890186297974841,0.015403272824771441,0.09790610864929022,0.0631880590862748,0.002546157788718767,0.07257656427308024,0.09694972485273455,13,117,0.019132931807974606,0.08096108351939454,False,False,True,1.8478126113038806e-05,COMPLETE
13,0.30324289798736576,2025-04-01 00:05:34.431738,2025-04-01 00:05:52.426721,0 days 00:00:17.994983,0.5616673471181052,0.6654336624712612,16,0.0913001055240797,0.006104930496422967,0.031840868882124035,0.06793200415002291,0.0021999422847693816,0.07659634986909727,0.06774574128537116,15,132,0.025676359462627786,0.08687609501340415,False,False,True,4.14514903542091e-06,COMPLETE
14,0.27987414598464966,2025-04-01 00:05:52.434271,2025-04-01 00:06:12.870470,0 days 00:00:20.436199,0.9888959864810922,0.5182523397808361,16,0.09311907932909395,0.050791140064388514,0.081782965970334,0.0638539335499805,0.018398039170436024,0.07272056618896572,0.08355933130644927,22,105,0.03042243704199571,0.02694160040885528,False,False,True,2.2173167564203265e-05,COMPLETE
15,0.39105507731437683,2025-04-01 00:06:12.878210,2025-04-01 00:06:30.408617,0 days 00:00:17.530407,0.17160151860129425,0.7290202707660564,16,0.08960626576788022,0.04396930103598655,0.005405736808340111,0.0766468098609077,0.04707308947900418,0.07224719721010964,0.004752752147332102,14,122,0.0252311421764358,0.11314331087971961,False,False,True,8.52069294263659e-07,COMPLETE
16,0.44177160263061527,2025-04-01 00:06:30.416988,2025-04-01 00:07:48.579451,0 days 00:01:18.162463,0.16113847494528327,0.0726839674519082,2,0.12653788503326557,0.10310361066473772,0.03352565291691839,0.05157977976659965,0.011469859748126084,0.09379933454604925,0.00521831243488761,23,118,0.042066896571801904,0.041468122025925536,False,False,True,1.796376496128766e-06,COMPLETE
17,0.44681069850921634,2025-04-01 00:07:48.588265,2025-04-01 00:09:27.809077,0 days 00:01:39.220812,0.3876390993040514,0.0857624229492237,2,0.13326393248856772,0.10603537835180907,0.033107588973661034,0.05137547663277799,0.012452479575031225,0.09518851549274043,0.004568620138938145,30,127,0.04323091598477864,0.043532826271220654,False,False,True,1.3729935355427529e-06,COMPLETE
18,0.44508453607559206,2025-04-01 00:09:27.817852,2025-04-01 00:11:22.488677,0 days 00:01:54.670825,0.6499016959356783,0.19739819531134517,2,0.0023335294893311043,0.032171796501926614,0.04209791918188005,0.040096235495633986,0.028870212016498586,0.09740352277658862,0.00019065313580471686,30,149,0.012833763929647682,0.11765970960689179,False,False,False,4.7872244448437426e-08,COMPLETE
19,0.44359531402587893,2025-04-01 00:11:22.498019,2025-04-01 00:12:58.734532,0 days 00:01:36.236513,0.3841295720596598,0.24417817033743464,2,0.13266645445907033,0.10729140642008017,0.02371130881511099,0.05395487952526269,0.04201878000146903,0.08409735684237724,1.1038898679968214e-05,29,135,0.04129149804302719,0.04207964179835188,False,False,True,4.6214895095817044e-07,COMPLETE
20,0.32359665632247925,2025-04-01 00:12:58.743988,2025-04-01 00:13:28.011242,0 days 00:00:29.267254,0.8126952814096853,0.17240343721844192,2,0.15970550516166537,0.17464255153074004,0.08724472015004142,0.08447096166098296,0.022578620881872975,0.09926673136324747,0.00034887323578798086,5,116,0.05092499424288453,0.12993144729909217,False,False,True,8.482796962788218e-08,COMPLETE
21,0.2797684073448181,2025-04-01 00:13:28.021791,2025-04-01 00:15:22.399666,0 days 00:01:54.377875,0.6339854266097192,0.1757840602962685,2,0.0002026449541903193,0.029420705042662074,0.03905508342666035,0.03968391214339626,0.028137722859092613,0.09911780972047145,0.0003714162481484196,30,147,0.011492852518960525,0.11718548309248804,False,False,False,1.355219747147434e-08,COMPLETE
22,0.4137489378452301,2025-04-01 00:15:22.409575,2025-04-01 00:17:07.194097,0 days 00:01:44.784522,0.7176983928341735,0.02841210851513687,2,0.003331651198647889,0.03387766820570136,0.04133027163719491,0.027058345534727357,0.011120096811337077,0.08140848799153559,5.132811746387668e-05,27,135,0.001144443974335399,0.19675582883553272,False,False,False,6.985066464783186e-08,COMPLETE
