number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.4319324374198914,2025-04-21 16:51:02.430970,2025-04-21 16:51:22.355708,0 days 00:00:19.924738,0.32376239387607914,0.9766700228838195,16,0.06990051879230984,0.010054695785742708,0.050568204292045754,0.07204073182084954,0.008954371816289029,0.022396357298605004,4.016974545496777e-05,22,20,0.09883502488968049,0.17588115683491987,True,True,False,0.00023109982423558613,COMPLETE
1,0.3684224486351014,2025-04-21 16:51:22.359892,2025-04-21 16:51:41.401998,0 days 00:00:19.042106,0.8362496976670007,0.4333144883802394,8,0.21062279088397348,0.17088800216022423,0.014434941339327004,0.06677522400753745,0.010925092592455752,0.05027739915490982,0.0034857571516445566,9,34,0.020471446971823477,0.14136477330039224,True,True,False,0.00014785637583497144,COMPLETE
2,0.2950481414794922,2025-04-21 16:51:41.405597,2025-04-21 16:52:29.522878,0 days 00:00:48.117281,0.8995866625882364,0.18949045376757523,2,0.23846233688627988,0.26075131094132376,0.014170180450000625,0.06658924885545726,0.024278078175890703,0.013610278060995743,0.0034963733274845535,12,44,0.030132112987290207,0.2553588201228683,False,False,True,3.143093424060288e-05,COMPLETE
3,0.34216454625129705,2025-04-21 16:52:29.526726,2025-04-21 16:52:54.338490,0 days 00:00:24.811764,0.6078800785902585,0.906793527996207,8,0.047054161733184045,0.03662378424775425,0.053776786436083746,0.016489103192927696,0.013679015622139922,0.03771647351199075,0.0011330728644423427,17,112,0.002431010694724653,0.26017476341041834,False,True,False,1.6791281710293393e-06,COMPLETE
4,0.3301840364933014,2025-04-21 16:52:54.342802,2025-04-21 16:53:12.475991,0 days 00:00:18.133189,0.6946157599098748,0.1996923115018376,8,0.16011306392175448,0.14828443905129166,0.08258712539627372,0.09334801428121076,0.017719885958872937,0.026800062869941466,0.09553348574232147,8,104,0.05489570134481666,0.13241300163236913,False,True,False,5.820471114899113e-06,COMPLETE
5,0.2797684073448181,2025-04-21 16:53:12.480369,2025-04-21 16:53:38.846704,0 days 00:00:26.366335,0.19002189063292707,0.6135917683835713,16,0.0047976907049774795,0.1712036430651084,0.09025429126581114,0.0644311928774745,0.021513446469619463,0.07346187516265433,0.09709230476579687,29,137,0.09525363973738434,0.023560745426100677,False,False,False,0.000902669677136503,COMPLETE
6,0.2797684073448181,2025-04-21 16:53:38.851439,2025-04-21 16:53:58.113488,0 days 00:00:19.262049,0.6770014425554017,0.7176025612254711,16,0.2794224941728641,0.22672914535593136,0.0053768427845476835,0.09151249411764738,0.00911608584161806,0.02103841905927313,0.04492231146487125,18,112,0.009011411564762418,0.016620383495003964,False,True,True,1.599365832591089e-05,COMPLETE
7,0.27955852150917054,2025-04-21 16:53:58.118555,2025-04-21 16:54:30.203179,0 days 00:00:32.084624,0.3224680933647848,0.5139803527625351,8,0.253735692748848,0.015873156385305523,0.07030729340321616,0.08048784922401629,0.08863185546494542,0.08595422985235686,2.8647193129972767e-05,27,106,0.015660540213176154,0.1343231378523027,False,False,True,0.00011298770134113765,COMPLETE
8,0.2797684073448181,2025-04-21 16:54:30.208443,2025-04-21 16:55:03.020897,0 days 00:00:32.812454,0.6515204192220355,0.5146733705745218,8,0.1499328230377574,0.11871594526479518,0.032582307408819004,0.06443426133999672,0.05429869686769436,0.0757675279098299,0.011427938694459657,28,95,0.008128928617019252,0.2869232702668777,False,True,True,1.8903707811113227e-05,COMPLETE
9,0.28003885149955754,2025-04-21 16:55:03.026463,2025-04-21 16:55:21.009294,0 days 00:00:17.982831,0.8164900996606608,0.9399174408069351,16,0.09601801128270804,0.01236648928212824,0.07557703624143756,0.018716260517345137,0.004585997730739791,0.0054951578288762355,0.012668041533921716,8,149,0.03393253410298864,0.08504467203049397,True,True,True,2.5171636250822048e-05,COMPLETE
