number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.2887604355812073,2025-04-01 13:50:25.786735,2025-04-01 13:50:41.611228,0 days 00:00:15.824493,0.4541272957907776,0.5521716623886015,2,0.1598370418345434,0.08109571377556529,0.03700660329102249,0.04891440674976727,0.022510296641428472,0.07312557548494161,0.00016548216056184615,18,150,0.002409096233367036,0.11914122038642053,False,True,True,2.835205002616585e-08,COMPLETE
1,0.3803593635559082,2025-04-01 13:50:41.617765,2025-04-01 13:50:48.476383,0 days 00:00:06.858618,0.7317193271305635,0.5070420766649213,16,0.0537495244263593,0.09704298916293885,0.049214456488374615,0.02402581278851817,0.05722592874171403,0.06093535729132745,0.00010349197552922888,13,110,0.05294251504070097,0.07977865189469635,True,False,True,5.8737242183648444e-05,COMPLETE
2,0.30535101890563965,2025-04-01 13:50:48.480098,2025-04-01 13:50:55.007558,0 days 00:00:06.527460,0.3279160167224946,0.28659915837037725,16,0.11116665398398701,0.18462975135601084,0.021176825520579135,0.03895916667790471,0.01687564499159194,0.02101052829471791,1.6840477407298388e-05,9,136,0.0870175194001577,0.006470891067092012,True,False,True,1.1406384653673278e-08,COMPLETE
3,0.2887604355812073,2025-04-01 13:50:55.011758,2025-04-01 13:51:01.157454,0 days 00:00:06.145696,0.5873979860764484,0.5933671082688051,8,0.09439887374078765,0.2866736823880889,0.07710150361298318,0.01453408832151341,0.062230215936915106,0.015101264070710285,0.016916814129649634,7,46,0.09224217050470557,0.1936281341898502,False,True,False,0.0004221198627182153,COMPLETE
4,0.3742350697517395,2025-04-01 13:51:01.161662,2025-04-01 13:51:07.361148,0 days 00:00:06.199486,0.8846911906029831,0.8396612554116293,16,0.23195120108771589,0.07645681139292729,0.057350488890244876,0.024819812955019487,0.004064445681777935,0.06430208645182783,8.74340479032344e-05,8,41,0.02044131436060819,0.26251316076028636,False,False,False,1.5831208407616998e-06,COMPLETE
5,0.384723961353302,2025-04-01 13:51:07.365711,2025-04-01 13:51:20.328292,0 days 00:00:12.962581,0.5888752391762164,0.8521644603456968,2,0.01722506772769244,0.06902160976476437,0.048512872037608235,0.08714593330668133,0.04762054032997407,0.08796928359020927,0.08768409929633762,11,78,0.04109928483176879,0.23690093840013113,False,False,False,2.90527570230802e-08,COMPLETE
6,0.2887604355812073,2025-04-01 13:51:20.333508,2025-04-01 13:51:28.668263,0 days 00:00:08.334755,0.33530479301666116,0.606345517666719,8,0.22985820745654928,0.28474460054074907,0.02082816468197183,0.08420291328410785,0.04823586657939789,0.07912259162371427,0.00031081504567143927,22,33,0.012563821312167399,0.23794802757713676,False,True,True,0.00019525566761242698,COMPLETE
7,0.3855293273925781,2025-04-01 13:51:28.673608,2025-04-01 13:51:52.591874,0 days 00:00:23.918266,0.9261898686194912,0.7602412615094212,2,0.06330344959361725,0.2149396136720749,0.06305075947172105,0.02938211751191659,0.021787018064132586,0.030926984291154147,2.7914541350810842e-05,29,30,0.0397407918104641,0.24791563421316412,True,False,False,5.575097846841268e-08,COMPLETE
8,0.2887604355812073,2025-04-01 13:51:52.597689,2025-04-01 13:52:00.979709,0 days 00:00:08.382020,0.6129349810454034,0.017293052362021406,8,0.1161340071860103,0.19806461452111068,0.09111997367718153,0.014914319919699395,0.01978531968899622,0.058427827022205024,0.0001913625406652709,21,35,0.0552483213940875,0.11172112065801541,True,True,True,0.0003125523217176149,COMPLETE
9,0.29307289719581603,2025-04-01 13:52:00.985533,2025-04-01 13:52:08.686026,0 days 00:00:07.700493,0.5965368497405499,0.2510225889078298,16,0.2506084703802813,0.11648652397860165,0.023197831951350154,0.006453127709830321,0.038152913968614595,0.012503570672532143,0.00014046862291058158,28,65,0.013603938593775677,0.15742078966317352,False,True,False,0.00019119678058004706,COMPLETE
10,0.38123348951339725,2025-04-01 13:52:08.692672,2025-04-01 13:52:34.149899,0 days 00:00:25.457227,0.017268253350531837,0.9381437016596574,2,0.1700964426260126,0.013877527657925548,0.0015357237284694056,0.06721063486840916,0.091956845032297,0.035351997374867425,0.003017593260392763,30,10,0.07177088124066117,0.2920080898602911,True,False,False,4.2843433792128586e-07,COMPLETE
11,0.38246089220047,2025-04-01 13:52:34.156814,2025-04-01 13:52:49.472275,0 days 00:00:15.315461,0.9683363959586716,0.7966252092115649,2,0.024214327819625202,0.22678508262431812,0.06581034098735543,0.09554823314014399,0.0797220190392761,0.09811282742807509,0.06110848207513913,14,96,0.03630988148649914,0.22246151998436586,True,False,False,9.372465953926717e-08,COMPLETE
12,0.2887604355812073,2025-04-01 13:52:49.479303,2025-04-01 13:53:10.912637,0 days 00:00:21.433334,0.8646493914991529,0.7522480069841085,2,0.012435857368600693,0.013460732050776927,0.07454338546924634,0.0712928721512395,0.036214405038504274,0.04133934683397578,0.0025903672112792776,25,76,0.03524521420430424,0.1910845598920879,False,False,False,1.4352082210329582e-07,COMPLETE
13,0.3716126561164856,2025-04-01 13:53:10.919821,2025-04-01 13:53:25.591652,0 days 00:00:14.671831,0.7567293272158337,0.9951069954328329,2,0.062029308084078985,0.1455381439799117,0.047421825716537684,0.05862899325183386,0.06830904331371082,0.09875834197067714,2.3876183671189667e-05,13,96,0.038151742582914365,0.2845700675960613,True,False,False,1.6474876768950904e-05,COMPLETE
14,0.37573544979095463,2025-04-01 13:53:25.599026,2025-04-01 13:53:41.878492,0 days 00:00:16.279466,0.10559693812793647,0.7127811304741187,2,0.007611532191730025,0.2478358927781792,0.09346509928616833,0.03814909960110596,0.03659544164382115,0.030944902638096704,0.08804989926338914,16,9,0.06751578395703726,0.22583115913698906,False,False,False,1.6438870546920821e-06,COMPLETE
15,0.3858034133911133,2025-04-01 13:53:41.886272,2025-04-01 13:53:51.208844,0 days 00:00:09.322572,0.7420297528518659,0.887944157536683,2,0.06104105135587433,0.15784148068340387,0.0343890577828791,0.09911047164672708,0.001815185667562138,0.046269582492269326,0.001048737509183545,5,63,0.04357497890361531,0.17461405029565724,True,False,False,6.455254375539313e-08,COMPLETE
16,0.38752570152282717,2025-04-01 13:53:51.216850,2025-04-01 13:54:13.001461,0 days 00:00:21.784611,0.7937925519920628,0.3670027699059595,2,0.06695851335373328,0.16114471314006285,0.033497606116732095,0.04045785571304928,0.002383906095656874,0.003108023626252149,0.0011556632269534377,25,55,0.024141585092848424,0.1556849117028106,True,False,False,3.769011273687518e-07,COMPLETE
17,0.38359309434890754,2025-04-01 13:54:13.012001,2025-04-01 13:54:22.344782,0 days 00:00:09.332781,0.7531003304525737,0.3552115051468545,2,0.19053415983251398,0.15719458894561894,0.03291257552689428,0.04928999329386545,0.0030336171512068705,0.005570166455251834,0.0010878843987521683,5,52,0.026261473738212096,0.055793407949715365,True,False,False,4.305779991179788e-07,COMPLETE
18,0.38393516540527345,2025-04-01 13:54:22.354024,2025-04-01 13:54:44.178309,0 days 00:00:21.824285,0.8081039975386416,0.39521883697110116,2,0.29111177798809523,0.1563356088052598,0.01135729615239615,0.07371223186773604,0.009320459972442623,0.0014410519428055654,0.005805140899402538,25,65,0.06279852779724447,0.16592776032047094,True,False,False,9.864727590187515e-06,COMPLETE
19,0.38192325830459595,2025-04-01 13:54:44.187218,2025-04-01 13:54:54.661942,0 days 00:00:10.474724,0.6800487362927738,0.02933245887256991,8,0.13092634551286375,0.12802119276251822,0.04068992141099433,0.09984096564724515,0.0010593235607262107,0.04731194575976238,0.0006244022026751692,25,96,0.02736759000627941,0.12827681111851236,True,False,False,3.3315248290430534e-07,COMPLETE
20,0.3758279919624329,2025-04-01 13:54:54.673581,2025-04-01 13:55:12.750222,0 days 00:00:18.076641,0.440396262435802,0.158380165324054,2,0.08099135296514748,0.05087310455980351,0.031935490001091346,0.05968337399827829,0.02923522773556304,0.053042291657427895,0.015338357392803481,19,60,0.07815371751691462,0.07346665664000424,True,False,False,3.2271440846604437e-06,COMPLETE
21,0.3812771320343018,2025-04-01 13:55:12.760557,2025-04-01 13:55:37.084215,0 days 00:00:24.323658,0.965774905059474,0.677283021642849,2,0.044665145638678454,0.19467716588700212,0.06206107702689596,0.03970268928085279,0.01283526660390635,0.025178679450630428,0.0007684449707968696,30,23,0.04679010941792377,0.16452119351071418,True,False,False,7.732065148998437e-08,COMPLETE
