number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.38883700370788576,2025-04-22 01:05:32.305723,2025-04-22 01:05:48.978547,0 days 00:00:16.672824,0.7081790007856855,0.5378468657314563,2,0.23329634605103172,0.28396360866399495,0.006078330338176289,0.07705055336868909,0.00731706212439437,0.04329568948851666,0.03177079623044105,16,128,0.05184915175727465,0.04128123600271379,False,False,False,0.0006923351637215436,COMPLETE
1,0.3142933189868927,2025-04-22 01:05:48.983511,2025-04-22 01:05:56.131361,0 days 00:00:07.147850,0.6324539982336288,0.4593728571715529,16,0.14846029995786916,0.18329830108982453,0.08304368445609107,0.09398129381182109,0.048579360308692206,0.04040986077770254,1.1011695840096592e-05,18,42,0.04335594639685124,0.2973735588517571,False,False,True,4.343542410776044e-06,COMPLETE
2,0.37631696462631226,2025-04-22 01:05:56.134958,2025-04-22 01:06:02.530320,0 days 00:00:06.395362,0.7980242381236248,0.7976226628639627,8,0.053210072760380756,0.2530874761433563,0.05618043971802007,0.057989560726049674,0.09149388461871451,0.038787605824122155,0.007569022167874316,5,137,0.08552418285459328,0.08585736270806381,False,False,True,1.8620559794294916e-08,COMPLETE
3,0.2887604355812073,2025-04-22 01:06:02.534170,2025-04-22 01:06:19.515454,0 days 00:00:16.981284,0.16340683088095953,0.3157073948634982,2,0.06507254853236559,0.11436955804154234,0.008110281995749187,0.07188892082332603,0.017690059376990287,0.06440305495131,0.0017254386861296571,21,9,0.07768259716980674,0.10772443350161105,False,True,True,2.079499507920651e-07,COMPLETE
4,0.3738355875015259,2025-04-22 01:06:19.519867,2025-04-22 01:06:30.001949,0 days 00:00:10.482082,0.7252851164783787,0.991531787715525,16,0.04390506361438181,0.16857489040441037,0.0773542469010685,0.06567036427065301,0.0985181127614565,0.019535478757760783,2.1292100064075585e-05,24,149,0.022026325482679514,0.06069908985490788,True,False,False,2.194095352160163e-05,COMPLETE
5,0.29986435174942017,2025-04-22 01:06:30.006426,2025-04-22 01:06:45.240429,0 days 00:00:15.234003,0.27536974688054566,0.3005140403256028,2,0.22277008829778214,0.04336165455844735,0.059733257792376024,0.03627213563229243,0.006066747237860432,0.02846190759439171,2.2588652420689516e-05,15,140,0.0211898645392317,0.05843549628047641,True,False,True,1.3527184597695903e-07,COMPLETE
6,0.331887823343277,2025-04-22 01:06:45.245283,2025-04-22 01:06:51.568290,0 days 00:00:06.323007,0.012911876508808519,0.6444432497091754,16,0.2418330961548156,0.08429800927507973,0.0605843123059397,0.0056194695054440184,0.043044135346304975,0.016859693818856984,0.0030692510408971718,10,19,0.09868122369132329,0.054873599922098004,False,True,False,0.00020315057940719424,COMPLETE
7,0.37832787036895754,2025-04-22 01:06:51.573380,2025-04-22 01:07:07.557205,0 days 00:00:15.983825,0.3093448654265468,0.6914700259068427,2,0.008108178450618996,0.17406116141104572,0.013898569052164817,0.007405784149436785,0.029373376926543328,0.08833793478551197,0.03064717245850314,19,7,0.04419242792183713,0.1822240092080362,False,True,False,5.694239477188879e-05,COMPLETE
8,0.38393508791923525,2025-04-22 01:07:07.562464,2025-04-22 01:07:21.615287,0 days 00:00:14.052823,0.9316606685558412,0.2546213749001171,2,0.07927289849965835,0.17667267713264992,0.03677232886464784,0.02326862436712819,0.057461377026690776,0.05492603922964839,1.2487640776003971e-05,13,127,0.08512147214302755,0.2785629835622243,True,True,True,0.000301435697783254,COMPLETE
9,0.38302851915359504,2025-04-22 01:07:21.620891,2025-04-22 01:07:29.727904,0 days 00:00:08.107013,0.013607174758080876,0.18514205904159595,16,0.1730228183535025,0.11939285897144346,0.0980944900668863,0.0705073008721546,0.043165035407522825,0.037916874531307564,0.04410916127769011,23,54,0.0010483620418491309,0.06135469420159932,False,False,False,6.638065198937686e-07,COMPLETE
10,0.3909515142440796,2025-04-22 01:07:29.734301,2025-04-22 01:07:42.056893,0 days 00:00:12.322592,0.48691142494230916,0.0868182437024988,8,0.2978851722396576,0.26875963561998967,0.030920464346864792,0.09933873925142295,0.07578180864883424,0.07884391845674497,0.00027608900221053306,29,100,0.06287949427062779,0.009951358104578034,True,False,False,0.000555034925030718,COMPLETE
11,0.38266414403915405,2025-04-22 01:07:42.063504,2025-04-22 01:07:54.502959,0 days 00:00:12.439455,0.4963484130678093,0.045878306508225164,8,0.280552553623919,0.297181274142495,0.028901465666668097,0.09942237703626548,0.07765793511354287,0.07734528773562838,0.0002870808149387419,29,102,0.0620459772415358,0.01041368313969995,True,False,False,0.0006688358901191571,COMPLETE
12,0.3642470359802246,2025-04-22 01:07:54.511731,2025-04-22 01:08:06.994445,0 days 00:00:12.482714,0.4845174561386987,0.5119420597089345,8,0.28075005474208814,0.24701412263928038,0.025990157011360728,0.08336041435447177,0.07066367753637603,0.09632030412911959,0.00017329851165625413,30,99,0.0608522970408395,0.007385850042863101,True,False,False,2.783308208018502e-05,COMPLETE
13,0.3840001463890076,2025-04-22 01:08:07.001429,2025-04-22 01:08:18.979202,0 days 00:00:11.977773,0.6143795290182358,0.4457251593576021,8,0.2964806093400195,0.2929661849443624,0.0015222993314382071,0.0805585990310396,0.06691303773377917,0.0705215219746789,0.0002821499327216357,27,104,0.061290363678694865,0.16511247607738305,True,False,False,0.0007911776963917979,COMPLETE
14,0.37486207485198975,2025-04-22 01:08:18.986601,2025-04-22 01:08:31.829660,0 days 00:00:12.843059,0.9654132077577955,0.08259270088551024,2,0.21585437282576608,0.23033126869861537,0.04061010910064353,0.0439437505000579,0.08360826338981342,0.05602496411611899,0.009064101165715079,10,86,0.03217074874620925,0.11916094650500887,False,False,False,8.024011122559725e-05,COMPLETE
