number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.38241783380508426,2025-04-01 20:05:09.324935,2025-04-01 20:05:40.832809,0 days 00:00:31.507874,0.18426713471415485,0.8923585633012221,2,0.021578230327696755,0.18274208018085675,0.05324601752471859,0.03043725827538339,0.06954348684430316,0.02088128150175847,0.0036981448576027375,6,21,0.01055181121850697,0.059287672312007066,False,False,True,3.5689435281709426e-08,COMPLETE
1,0.4352301716804505,2025-04-01 20:05:40.837140,2025-04-01 20:06:03.175032,0 days 00:00:22.337892,0.8863344330229158,0.7280557462313321,16,0.21043920392828303,0.29449724415162226,0.0071649864610214475,0.023250501696779044,0.06864185694609046,0.043314561038866835,0.07923925808258987,22,29,0.06839964039657716,0.2837187031594854,False,False,False,1.6033594517493545e-05,COMPLETE
2,0.2804898262023926,2025-04-01 20:06:03.178757,2025-04-01 20:06:21.045651,0 days 00:00:17.866894,0.7720886658397358,0.8435046437008498,16,0.06384410595073674,0.06070255564097279,0.07687635401271307,0.04927443293226112,0.02692802171660185,0.06523048224170028,0.05703141307281669,16,73,0.0930953639876156,0.21202873236182956,False,True,False,9.226960622532e-08,COMPLETE
3,0.3196984827518463,2025-04-01 20:06:21.049658,2025-04-01 20:07:55.605948,0 days 00:01:34.556290,0.7888560123549955,0.7231371819208307,2,0.14609006272962743,0.07379081755702697,0.0858342667568115,0.04233727600893939,0.08796651660222603,0.04520538213685529,0.002316387022873772,28,117,0.08978798656433629,0.052363141510080286,True,True,False,5.8939174500354277e-05,COMPLETE
4,0.28287032842636106,2025-04-01 20:07:55.610445,2025-04-01 20:08:27.663889,0 days 00:00:32.053444,0.2853556384922926,0.6555422345144195,2,0.2702814334645848,0.17751581717225873,0.027546412939304987,0.0947359395973218,0.005689377132528662,0.09518003696822726,0.0032841934788265183,6,124,0.015247656241387686,0.10444427562429207,False,False,True,0.000765272698412574,COMPLETE
5,0.3334142446517945,2025-04-01 20:08:27.668499,2025-04-01 20:08:58.037085,0 days 00:00:30.368586,0.6365666442854944,0.4748014575306399,8,0.19799869235793954,0.15287299210569652,0.01256202684875974,0.010595408258890236,0.00916425983667354,0.0061905542506408935,0.04253712731054016,26,13,0.07501087506233035,0.07854160177162599,True,False,True,3.096943339805375e-05,COMPLETE
6,0.33346447348594666,2025-04-01 20:08:58.042010,2025-04-01 20:09:16.161980,0 days 00:00:18.119970,0.5893807826478475,0.9809545158892939,8,0.14883748162872007,0.2495206686556463,0.0486371346931381,0.045159670192826594,0.018801797220666595,0.03751771465360777,0.00010268258620645963,8,49,0.09546970167389929,0.15587850720192056,False,True,True,1.590787155926892e-07,COMPLETE
7,0.2834445536136627,2025-04-01 20:09:16.167161,2025-04-01 20:10:14.681857,0 days 00:00:58.514696,0.6950066164948997,0.6102110900325342,2,0.15150217420209983,0.018769305883377198,0.05518463655184719,0.04526107993069293,0.016921651299534178,0.040999106713125295,0.0046724084356067124,16,43,0.07122010738012163,0.18966834649238984,False,True,False,3.8022733087660925e-05,COMPLETE
8,0.4261276721954346,2025-04-01 20:10:14.687799,2025-04-01 20:10:33.791608,0 days 00:00:19.103809,0.6917156854991113,0.23488025004903126,16,0.29532936002204246,0.1640260967149617,0.08383952968054462,0.02648694711911282,0.0425766714609681,0.057794979984994437,0.00165571770361585,12,52,0.05677549449173791,0.24718098291597373,True,False,False,0.00014113923207423622,COMPLETE
9,0.4315437078475952,2025-04-01 20:10:33.797747,2025-04-01 20:12:18.991057,0 days 00:01:45.193310,0.27218256277886643,0.060822299090980574,2,0.07488532612186005,0.20653424141382118,0.006513824474296716,0.04883189339196052,0.05770736318442431,0.05213754480376605,0.0003652454319193076,27,126,0.04884160687436855,0.23535292766854973,False,False,False,4.878337815700001e-07,COMPLETE
