number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.2804898262023926,2025-04-22 13:06:14.898071,2025-04-22 13:06:34.648428,0 days 00:00:19.750357,0.27293483962747517,0.481753957872203,16,0.2029193748010295,0.017878511563873073,0.03128509134722432,0.014076398314039795,0.04358619540685664,0.08983249118578616,0.0019123707794394043,12,136,0.03082461390606669,0.17721340780615938,False,False,False,1.822408065089779e-05,COMPLETE
1,0.2815515398979187,2025-04-22 13:06:34.652606,2025-04-22 13:06:53.985429,0 days 00:00:19.332823,0.2461072925722905,0.48336908039218124,8,0.23413728476176104,0.10511574642964668,0.0750763507390111,0.06206302183606652,0.0031653644806111042,0.07058240692908375,0.002440983601551425,10,6,0.028651331122941184,0.22275415503139678,True,True,False,2.927059599372228e-08,COMPLETE
2,0.37088325023651125,2025-04-22 13:06:53.989006,2025-04-22 13:08:04.524722,0 days 00:01:10.535716,0.44649157192514427,0.9709415878178503,2,0.1765755063485242,0.21558839870937002,0.010001907955652482,0.04438246799980832,0.0353804870781676,0.07871539629577136,0.0003744073099914881,16,149,0.07179068146211903,0.23248872898686448,False,False,False,0.00010982749612541323,COMPLETE
3,0.43437412977218626,2025-04-22 13:08:04.528990,2025-04-22 13:08:19.923893,0 days 00:00:15.394903,0.6816022289115492,0.283709407420923,16,0.06637890603826697,0.09285302068597967,0.07495391055687274,0.04064896311269936,0.029240049503874294,0.0016934083157597,0.00023003469648309334,5,23,0.08177869403771094,0.08560880482341927,True,False,False,0.00012997267739088002,COMPLETE
4,0.34372109174728394,2025-04-22 13:08:19.928217,2025-04-22 13:08:37.134013,0 days 00:00:17.205796,0.35543952490142816,0.8743305464449613,8,0.28970206395577847,0.10828717695171186,0.07374913919925245,0.03170005450634765,0.0528816093465541,0.09405494209930894,0.0010795243725016414,6,96,0.03597583182230161,0.04689277566463837,False,True,False,1.9203535080179671e-07,COMPLETE
5,0.2804898262023926,2025-04-22 13:08:37.138472,2025-04-22 13:10:06.709040,0 days 00:01:29.570568,0.10996167568765647,0.7534966282853107,2,0.1724159400840536,0.18080512013417818,0.05697444557050757,0.0020643860704112546,0.035108015229804106,0.08394980842994042,6.0819037132637787e-05,25,138,0.04751151420291578,0.12431048541377653,True,True,False,1.7455952045023827e-07,COMPLETE
6,0.2804329037666321,2025-04-22 13:10:06.714176,2025-04-22 13:10:37.554564,0 days 00:00:30.840388,0.24966680653175588,0.6911007511036751,2,0.21495842232602233,0.08778818356451122,0.06182141690295994,0.05201042892629579,0.08017369006001925,0.027815895313308223,0.017102935195772637,5,131,0.05143653595158967,0.165532422866089,True,True,False,6.981632274237227e-05,COMPLETE
7,0.347506058216095,2025-04-22 13:10:37.559589,2025-04-22 13:11:03.166592,0 days 00:00:25.607003,0.2374688746478935,0.1276536997062092,8,0.1335525374986318,0.09582791173822294,0.006607984482780699,0.08209195959799544,0.09522960951360208,0.09993420390882488,3.480281067254114e-05,16,68,0.013558753715697824,0.060641945654636265,True,True,False,0.0004261467977342988,COMPLETE
8,0.3994835138320923,2025-04-22 13:11:03.172045,2025-04-22 13:11:27.810756,0 days 00:00:24.638711,0.5392856768884057,0.7880412508182139,16,0.16861519271592068,0.1516666549806067,0.00906179959707637,0.05926161349658014,0.09793775287571817,0.024641815117990278,1.4175359868336796e-05,21,121,0.05693274129688179,0.02561731418888224,False,False,False,3.9080415317959937e-07,COMPLETE
9,0.41361315250396735,2025-04-22 13:11:27.816427,2025-04-22 13:12:58.325871,0 days 00:01:30.509444,0.6317417617722225,0.8206827370081325,2,0.13600921771797322,0.0846321434885315,0.032365293539463005,0.09515233872348704,0.08282913010633003,0.09620937924251871,0.01524834472625541,22,93,0.03211668817132684,0.037936937392639855,True,False,False,2.978272990769808e-06,COMPLETE
10,0.39623910188674927,2025-04-22 13:12:58.332245,2025-04-22 13:13:20.013092,0 days 00:00:21.680847,0.950689069186283,0.15668081802817457,16,0.03210999430001405,0.25058359975952993,0.09765046154272436,0.02850306287672038,0.008864531226379237,0.0029422479094799656,0.08430394554715008,27,8,0.0962968184619441,0.28874705678587087,True,False,True,6.044799912097685e-06,COMPLETE
11,0.37698948383331304,2025-04-22 13:13:20.019486,2025-04-22 13:14:57.224533,0 days 00:01:37.205047,0.6921130908484593,0.31452139028858445,2,0.08188808979547843,0.013142759014488734,0.03893502555407155,0.09100072738581405,0.06592027695874696,0.05043607615623775,0.0002275362894065643,30,47,0.08860286702222975,0.09680921514957236,True,False,True,1.721090394712728e-06,COMPLETE
12,0.407453453540802,2025-04-22 13:14:57.231169,2025-04-22 13:15:18.353374,0 days 00:00:21.122205,0.7219380650535605,0.31750779782498834,16,0.08843102324053023,0.060047627294239875,0.03377613204035679,0.0988210745846062,0.022794624729599238,0.05939229736774398,0.01097532390264306,21,37,0.07481095946566618,0.08369265884156371,True,False,True,0.0009004269440261981,COMPLETE
13,0.42591657638549807,2025-04-22 13:15:18.362476,2025-04-22 13:16:46.193074,0 days 00:01:27.830598,0.7217876731122345,0.6095211187837798,2,0.025168841178762856,0.049591839995198006,0.09594283712521405,0.07530764716552231,0.06502854077046409,0.03886014579792106,0.010323714429869593,21,95,0.0012413064952614995,0.01092734511432214,True,False,False,2.7109768870992414e-06,COMPLETE
14,0.2804898262023926,2025-04-22 13:16:46.200380,2025-04-22 13:17:04.227036,0 days 00:00:18.026656,0.8668766149624221,0.5906925905381375,16,0.0014558480219650366,0.048454100995155534,0.0988872846371476,0.07348499087068942,0.060922816171625704,0.005462030077173677,0.0003336054435822371,11,67,0.013392150819294254,0.001741643009616609,True,False,True,2.42173160200822e-05,COMPLETE
15,0.4277472376823426,2025-04-22 13:17:04.234526,2025-04-22 13:18:22.278625,0 days 00:01:18.044099,0.7873620824862236,0.30577730927530583,2,0.05806524391864627,0.14294624861760394,0.08203299376412868,0.073131692216707,0.020470468935707583,0.03416188588386712,0.005348710638029838,18,107,0.0031415897739221765,0.12415240024762346,True,False,False,1.1554612392843603e-06,COMPLETE
16,0.4295474767684937,2025-04-22 13:18:22.286449,2025-04-22 13:18:47.683475,0 days 00:00:25.397026,0.8314697117086678,0.01221257066814152,16,0.08169101190558559,0.1481196594237837,0.0808159984285573,0.04157339933675096,0.0158635987235795,0.017943603380399274,0.00011367586616794993,14,113,0.07448907619973046,0.13011060098140811,True,False,False,2.0789654258944015e-08,COMPLETE
17,0.43469393253326416,2025-04-22 13:18:47.691738,2025-04-22 13:19:04.961743,0 days 00:00:17.270005,0.9868209849517241,0.014376891412685774,16,0.08648381535507667,0.156461906770125,0.08322890316751573,0.03847103949670122,0.01753101448741698,0.014743184962121595,9.984577064623437e-05,8,32,0.07779549216020608,0.1341986807500871,True,False,False,1.2762772429738834e-08,COMPLETE
18,0.389939558506012,2025-04-22 13:19:04.970182,2025-04-22 13:19:19.690799,0 days 00:00:14.720617,0.9635620879418124,0.012136221517437373,16,0.10440613313247815,0.2980595819954307,0.06481755750803249,0.026364627838463987,0.02955468221473877,0.0147704444698776,1.1466834841847715e-05,7,30,0.0847206154258454,0.08716541806116748,False,False,True,1.1132053987973423e-08,COMPLETE
19,0.4237180471420289,2025-04-22 13:19:19.699570,2025-04-22 13:19:36.658275,0 days 00:00:16.958705,0.5695597886911891,0.19105248842459432,16,0.05195662299532878,0.18958147691941643,0.08692142627748374,0.01742218352989468,0.04378474278845733,0.012584637978809234,0.00011798289929986702,8,27,0.06288589777635459,0.1994164923416425,True,False,False,7.928794648224935e-08,COMPLETE
20,0.43428630828857423,2025-04-22 13:19:36.667152,2025-04-22 13:19:55.267043,0 days 00:00:18.599891,0.99422011359075,0.3914966961605961,16,0.11181115306669792,0.12877299737172213,0.046842026076793816,0.040993598550798906,0.007985889836915464,0.04449743974713139,0.000564780614909701,9,56,0.09658440068959305,0.1518911841299335,True,False,False,0.00023607590874489173,COMPLETE
21,0.43519506454467777,2025-04-22 13:19:55.276480,2025-04-22 13:20:13.928913,0 days 00:00:18.652433,0.9833139894045662,0.4028662631199295,16,0.11248323941918012,0.13034550164359426,0.047474519149211754,0.03822956533614668,0.0013402745235480728,0.044351965236205416,0.00048707035569977057,9,53,0.09741470560666349,0.14395997294451468,True,False,False,0.00029974497892366853,COMPLETE
22,0.43057852983474737,2025-04-22 13:20:13.938639,2025-04-22 13:20:32.707386,0 days 00:00:18.768747,0.8692952727237838,0.20754708674105943,16,0.05634585764141307,0.18161060114653477,0.05040978417005366,0.033438908462922204,0.012720691061365506,0.0015251425174287096,0.00013841155603631637,13,20,0.0824731077957154,0.11202834649696018,True,False,False,5.030694645589148e-05,COMPLETE
23,0.43235632181167605,2025-04-22 13:20:32.717449,2025-04-22 13:20:48.769268,0 days 00:00:16.051819,0.904905165623741,0.4055836449821308,16,0.12178357412702026,0.12633079914665685,0.06742351915611342,0.05068214413687236,0.0015244072677701379,0.05641746351880432,3.8724608588154234e-05,5,47,0.09968513304498866,0.18294811245645623,True,False,False,9.09539683654813e-06,COMPLETE
24,0.42553808689117434,2025-04-22 13:20:48.779692,2025-04-22 13:21:05.520709,0 days 00:00:16.741017,0.7809959175338923,0.08932616243614894,16,0.09121544422958423,0.21789314490978964,0.09061411903573524,0.05939439560793385,0.027048477194125703,0.02138990923534676,0.0009425228168157523,8,17,0.06728819094933956,0.06373708528270101,True,False,False,0.00016317692629359284,COMPLETE
25,0.4287284255027771,2025-04-22 13:21:05.531493,2025-04-22 13:21:24.050574,0 days 00:00:18.519081,0.4608020704837479,0.24395809457396606,16,0.15481451541805946,0.16824141494527925,0.018296400170286282,0.018424010064378916,0.01764093327566569,0.010255555702606962,6.68030043443956e-05,10,44,0.0895850935591685,0.14894478742974215,True,False,False,0.0009511035600654139,COMPLETE
26,0.4296234011650086,2025-04-22 13:21:24.061273,2025-04-22 13:21:41.804986,0 days 00:00:17.743713,0.6212567419791457,0.4020895730480891,8,0.03587085452554976,0.07361661321434854,0.056398499844578065,0.036565102089689674,0.031462260370928315,0.02786463339648968,0.0005156631184527896,7,63,0.08107459449653978,0.10099534674161219,False,True,True,0.0003134388177031647,COMPLETE
27,0.29155474305152895,2025-04-22 13:21:41.816188,2025-04-22 13:22:04.423155,0 days 00:00:22.606967,0.9932197379522781,0.5771075081529631,16,0.00289685597860298,0.1281490790921401,0.0426987289390703,0.023544172775367588,0.010955554992382599,0.03509720635058124,0.0001874963103264482,15,77,0.09133003669213385,0.1461707853381578,True,False,False,3.9634522149838375e-05,COMPLETE
28,0.43541558980941775,2025-04-22 13:22:04.434730,2025-04-22 13:22:20.121183,0 days 00:00:15.686453,0.9037693393855811,0.08118088642254832,16,0.06307596815742407,0.21405824800638404,0.07317869383346118,0.006159904147323231,0.04127052684047339,0.008164155643881172,2.432867029228703e-05,5,35,0.07868750250626558,0.07569494023886594,True,False,False,1.166289128873929e-05,COMPLETE
29,0.4280957579612732,2025-04-22 13:22:20.133066,2025-04-22 13:22:39.070353,0 days 00:00:18.937287,0.9329869284759048,0.08055122319549984,16,0.09893679918107502,0.21174972167193512,0.0226311839857129,0.008029140862118988,0.043756260262196985,0.06739506042691204,2.3353143229208592e-05,12,57,0.06299509540957167,0.19399112111565514,False,False,False,1.6674441034285657e-05,COMPLETE
30,0.431462824344635,2025-04-22 13:22:39.082415,2025-04-22 13:22:58.191847,0 days 00:00:19.109432,0.7929054608463924,0.09517652694464646,16,0.14632989184918516,0.2511057909702588,0.06851062282492788,0.007725320867090397,0.05218472215848823,0.04420419470784232,6.798767119751173e-05,12,35,0.07630768586573414,0.07130458291983967,True,False,False,1.0728750968890682e-06,COMPLETE
31,0.41113535165786746,2025-04-22 13:22:58.204120,2025-04-22 13:23:13.757429,0 days 00:00:15.553309,0.8993820575241748,0.27008765105478144,16,0.07724482793039669,0.16128200540200738,0.07793757803745331,0.04629276519895252,0.03869658236774905,0.007876260156730992,2.483685862153752e-05,5,19,0.07907307686914158,0.11006260755264037,True,False,False,9.166498781185039e-06,COMPLETE
32,0.4361784458160401,2025-04-22 13:23:13.770352,2025-04-22 13:23:31.540716,0 days 00:00:17.770364,0.839051022806201,0.4680325392065545,16,0.06811026289310013,0.24892047069504197,0.08817183832337785,0.02182599593145651,0.02605101708085262,0.01783958250385781,0.0016313406865470902,9,40,0.0919458978148165,0.0791689121314969,True,False,False,9.838523925591594e-05,COMPLETE
33,0.43374065160751346,2025-04-22 13:23:31.554088,2025-04-22 13:23:49.587449,0 days 00:00:18.033361,0.8377063597894107,0.5083760779935738,16,0.04737704313165404,0.24925556132014262,0.08732478456096246,0.021893959668269788,0.00412817896817679,0.016083749706555038,0.001953802717167704,10,41,0.09172610693533059,0.220427378815992,True,False,False,7.988075791124895e-05,COMPLETE
34,0.4321102380752564,2025-04-22 13:23:49.601964,2025-04-22 13:24:10.715739,0 days 00:00:21.113775,0.9425379709846169,0.5006321795783463,8,0.1163652485115744,0.2775816641014551,0.09209862054946116,0.01124518903112674,0.02262060855116077,0.021017603293363236,0.004445101487992948,8,55,0.06952012274753927,0.16341166394867224,True,False,False,0.0004932593889235343,COMPLETE
35,0.37364413142204284,2025-04-22 13:24:10.729310,2025-04-22 13:24:26.136395,0 days 00:00:15.407085,0.01033622765362291,0.45401904476506466,16,0.06937044947780709,0.20889456048649482,0.07202571096373395,0.012950021301031865,0.03972860324221773,0.029340406577002195,0.0008581295557744102,9,9,0.09987693152104676,0.05165656206405632,True,True,False,2.0130523029308312e-05,COMPLETE
36,0.431684422492981,2025-04-22 13:24:26.150428,2025-04-22 13:24:42.622542,0 days 00:00:16.472114,0.9005084829056785,0.0361481063640637,16,0.017785501805893722,0.22300187664481125,0.05829720688622089,0.03438233951194649,0.047949040437331586,0.009419590705765854,0.003319856418385897,7,79,0.08615759921229338,0.13013316084313978,False,False,False,0.00017630020135974935,COMPLETE
37,0.3020620346069336,2025-04-22 13:24:42.636716,2025-04-22 13:25:03.170234,0 days 00:00:20.533518,0.7574161909088187,0.6530628912355043,8,0.2747526717203045,0.23562088984931026,0.08600870880321218,0.0033185579736087468,0.02664997320218594,0.07540443011763134,0.0014253164002208042,11,34,0.04219645943416179,0.26504258156339433,True,True,False,5.146413346314976e-07,COMPLETE
38,0.40951176881790163,2025-04-22 13:25:03.184505,2025-04-22 13:25:26.076015,0 days 00:00:22.891510,0.9977229820289701,0.36627135515276643,16,0.19583306077733145,0.19819803907791253,0.072718835978639,0.017185629023413626,0.033123951290917206,0.020436795988918177,0.0003552644489901571,18,50,0.06552157948551901,0.0793015021945384,True,False,False,5.802546492852884e-08,COMPLETE
39,0.3909461259841919,2025-04-22 13:25:26.090549,2025-04-22 13:25:40.246361,0 days 00:00:14.155812,0.847361739496232,0.2102962835633543,16,0.06847326612745216,0.2709523655276045,0.05304516087315292,0.028519518777222554,0.015282362637184077,0.031752493381698346,0.0006672261185252376,6,27,0.09338167618468997,0.17504662271572913,False,True,False,0.00010180457458263716,COMPLETE
40,0.36656118631362916,2025-04-22 13:25:40.261627,2025-04-22 13:26:07.528138,0 days 00:00:27.266511,0.3672301839203583,0.964629643873467,8,0.1343360387586317,0.11197972952746849,0.08066693535667002,0.03733032293028696,0.0038206369055174983,0.039948920412944365,4.51099587859084e-05,14,74,0.057414595493080756,0.03631143947067984,True,False,False,3.521775649923533e-05,COMPLETE
41,0.43831380605697634,2025-04-22 13:26:07.545027,2025-04-22 13:26:23.602257,0 days 00:00:16.057230,0.6459119156863888,0.14926278929618336,16,0.0434420104724854,0.10840953343474098,0.07692880619032617,0.04485343623859558,0.03699262084885157,0.005562402371038722,8.668965471419575e-05,6,25,0.08514858355641135,0.11300375550150454,True,False,False,0.00012824747057620152,COMPLETE
42,0.4207625508308411,2025-04-22 13:26:23.618915,2025-04-22 13:26:39.310134,0 days 00:00:15.691219,0.6320327423179182,0.15990846123408026,16,0.045366948285386975,0.10624896981502427,0.062396918859378814,0.05361807725966382,0.03709959975402808,0.013301892553628632,1.7932913375108535e-05,6,16,0.07970717238321309,0.13858025172512461,True,False,False,0.00043620793579103736,COMPLETE
43,0.4356370091438294,2025-04-22 13:26:39.327818,2025-04-22 13:26:57.638971,0 days 00:00:18.311153,0.9265295266209781,0.05584225925830853,16,0.09962582482468436,0.16685112713032874,0.07676903697493244,0.04756260977299848,0.025110073115966927,0.006202177849939115,8.717493326133959e-05,10,38,0.08614153655783736,0.11684344860822217,True,False,False,0.00010740996084245748,COMPLETE
44,0.4362084031105042,2025-04-22 13:26:57.655567,2025-04-22 13:27:15.917137,0 days 00:00:18.261570,0.8193838241689387,0.10363170964389368,16,0.10416062578121749,0.13730091304357234,0.07518490058923732,0.04723105846220897,0.05912202011145813,0.004927798314770965,0.00019383282183263277,10,38,0.08768779147854178,0.11316909861202108,True,False,False,6.410788309471213e-05,COMPLETE
45,0.4347816705703736,2025-04-22 13:27:15.933962,2025-04-22 13:27:34.519649,0 days 00:00:18.585687,0.749251858435291,0.13313057663480599,16,0.038772199962493745,0.17383289904105034,0.07725303926726625,0.044722504165324396,0.05625632529134945,0.005994409668352164,5.255119578994118e-05,11,39,0.08597178954459214,0.11016990304359554,True,False,False,6.31191120956003e-05,COMPLETE
46,0.4125028014183045,2025-04-22 13:27:34.536755,2025-04-22 13:28:05.951033,0 days 00:00:31.414278,0.6714067371676419,0.08084688984397169,2,0.02056406985457271,0.2369749016370821,0.09275529887095124,0.06848951407643149,0.07545930224177148,0.002841648875142985,3.057935863942529e-05,6,5,0.07231355249254746,0.09842256062734867,True,False,True,0.00012156501752007052,COMPLETE
47,0.4348405718803406,2025-04-22 13:28:05.968716,2025-04-22 13:28:23.764090,0 days 00:00:17.795374,0.819491567767821,0.06165137394279913,16,0.09744268419043432,0.192537045542013,0.0697350016165469,0.0644938208741682,0.04938346035596587,0.023762440329059834,0.00021372455091463616,10,24,0.09293007413938623,0.06937355205792184,True,False,False,1.1123626743613044e-05,COMPLETE
48,0.4284159660339356,2025-04-22 13:28:23.781627,2025-04-22 13:28:37.715199,0 days 00:00:13.933572,0.5410745395797241,0.13369732559699798,16,0.06519614892449285,0.14061044496128403,0.07687763530331344,0.055906119661323875,0.0572429949059539,0.0064779656975968245,8.185510229596015e-05,5,11,0.08636338034805194,0.05196644748481945,True,True,False,4.78941644193686e-06,COMPLETE
49,0.33827702999114995,2025-04-22 13:28:37.733262,2025-04-22 13:29:37.378495,0 days 00:00:59.645233,0.6783322094081563,0.2347638152538733,2,0.12409947466687274,0.0016260622383319073,0.07447854676189625,0.04694672636470362,0.07206115342919994,0.010875298435117278,0.07001241899319559,16,43,0.022396747471862703,0.09205783461780276,True,False,True,3.5953032801759857e-05,COMPLETE
50,0.4360328435897828,2025-04-22 13:29:37.396672,2025-04-22 13:29:56.519926,0 days 00:00:19.123254,0.7237505511183331,0.17012274673834205,16,0.07266213588380963,0.11721496803176053,0.06509051008631461,0.004857667185811539,0.02511662246000684,0.0024288086029122086,0.0001660922386781561,13,62,0.08210591538312544,0.11836911496806422,False,False,False,2.6743634037779034e-05,COMPLETE
51,0.4363269805908203,2025-04-22 13:29:56.538552,2025-04-22 13:30:16.039189,0 days 00:00:19.500637,0.7223399276053445,0.15050125648931015,16,0.07596556948752163,0.11469595076296839,0.06409341129139588,0.002195815822841058,0.02507835225620972,0.0011121421312887104,0.00017616519741981806,13,60,0.08321412072019589,0.12062676782851295,False,False,False,1.5789998148384137e-05,COMPLETE
52,0.4384675979614258,2025-04-22 13:30:16.058079,2025-04-22 13:30:35.743451,0 days 00:00:19.685372,0.7264805593319613,0.17201885903595496,16,0.08517700167224604,0.09322861625181128,0.06511863121620218,0.002726287883571349,0.024430798193965566,0.0012637130902087492,0.00016298588822568236,13,86,0.08842955697359899,0.1181459505847409,False,False,False,7.792813305299572e-05,COMPLETE
53,0.44189163446426394,2025-04-22 13:30:35.762655,2025-04-22 13:30:55.705350,0 days 00:00:19.942695,0.7202855162328231,0.16928739442310659,16,0.07618433363587868,0.0786867544367446,0.06294170195894831,0.0011872992289792654,0.035470200470358274,0.0018198266288562486,0.00014671909532677703,13,88,0.0829024923135265,0.1254649101900813,False,False,False,3.0212316031084987e-05,COMPLETE
