number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.3322628378868103,2025-04-03 20:58:02.636431,2025-04-03 20:58:10.237378,0 days 00:00:07.600947,0.7875929055562663,0.1636795323919778,16,0.0034056605781414015,0.10794917445513794,0.012325758313525604,0.09543794204621103,0.004176070929643434,0.03095364599423732,0.009183672223128003,22,48,0.09552359790786881,0.28430729413931133,False,False,False,2.4741044733106685e-07,COMPLETE
1,0.29631375670433047,2025-04-03 20:58:10.241690,2025-04-03 20:58:16.503612,0 days 00:00:06.261922,0.7410027021548444,0.9506146725833395,16,0.02740671669102161,0.26423173557292,0.009864038091574587,0.0025385523966541946,0.08388050895011805,0.07054901623881851,0.09356360591416686,11,114,0.08676160418107333,0.17625893420372787,True,True,False,0.00012159784402779932,COMPLETE
2,0.3210398435592651,2025-04-03 20:58:16.507937,2025-04-03 20:58:26.245043,0 days 00:00:09.737106,0.915856075741962,0.3647152013643631,8,0.16319161919854877,0.2813843759328896,0.006133610167762574,0.09834587337608222,0.007724343472728137,0.02671633970896392,0.04436452734053662,28,141,0.08826616997852994,0.16057109874594708,True,False,True,5.5881381022605815e-08,COMPLETE
3,0.357292103767395,2025-04-03 20:58:26.249223,2025-04-03 20:58:41.105218,0 days 00:00:14.855995,0.4976133402806262,0.34411561333969926,2,0.14222582825840405,0.02219411665305779,0.09174683182051384,0.014344153211878066,0.056358872385139425,0.08170258242018247,0.023119504313296183,17,36,0.009012812272963938,0.03955967586297707,False,True,False,4.5971088208251654e-05,COMPLETE
4,0.29631375670433047,2025-04-03 20:58:41.109463,2025-04-03 20:58:49.412951,0 days 00:00:08.303488,0.7336308402864229,0.2609438995252323,8,0.14154618971651892,0.20806890530311292,0.056569529330803,0.09868917096943355,0.027232037884419517,0.09895483993504352,0.0009687648144133521,21,10,0.02816560475901539,0.23523557860899996,False,True,True,0.0007219343008105312,COMPLETE
5,0.382945853471756,2025-04-03 20:58:49.417708,2025-04-03 20:58:57.527745,0 days 00:00:08.110037,0.3345531498784248,0.2737980828769034,8,0.2665596454183508,0.08383509658630972,0.0797970936135596,0.08258063656408193,0.07132399584698167,0.08038956190926101,0.03832659221975947,19,81,0.032941675236817784,0.2782613371107669,False,False,True,0.00017294875139207356,COMPLETE
6,0.4346308827400208,2025-04-03 20:58:57.532604,2025-04-03 20:59:05.138813,0 days 00:00:07.606209,0.767367443608016,0.9740291801271357,16,0.047309497946297505,0.27375795334784897,0.03641638720182748,0.058573317619937976,0.06032348710639869,0.06104864933664165,0.0036649235174892256,25,25,0.04151315489428137,0.039543950922033326,True,True,True,7.21997486950416e-06,COMPLETE
7,0.5125267386436463,2025-04-03 20:59:05.144058,2025-04-03 20:59:17.774503,0 days 00:00:12.630445,0.12466553204546285,0.7754734825410053,2,0.15360686394379278,0.2952449203060207,0.04423475698240783,0.024014846377740286,0.026606241630364326,0.023768053393996316,0.00016006380257596703,10,112,0.034214077285849916,0.0844685294773634,True,False,False,7.429010238710933e-07,COMPLETE
8,0.3717219471931458,2025-04-03 20:59:17.779925,2025-04-03 20:59:30.595826,0 days 00:00:12.815901,0.5044547006865089,0.9902189136812353,2,0.030076814641068747,0.06254682173826204,0.0880015411445474,0.03478817873055195,0.049854574929031434,0.026824759228971262,1.2506007662284486e-05,13,84,0.04669419175642401,0.08192666538717953,False,True,True,2.539923991951502e-06,COMPLETE
9,0.29832832217216493,2025-04-03 20:59:30.601846,2025-04-03 20:59:37.483476,0 days 00:00:06.881630,0.6707483253729654,0.22030043059006738,8,0.26578718948617513,0.2705838617669238,0.03232999074652527,0.015673310515075697,0.032094256066278845,0.012951168445518423,0.000793815829786718,10,121,0.03761177117655083,0.1680804839492357,True,True,False,1.909858835327552e-06,COMPLETE
10,0.3727214574813843,2025-04-03 20:59:37.490019,2025-04-03 20:59:46.979995,0 days 00:00:09.489976,0.05348795643200423,0.6766266181601156,2,0.20221764832105793,0.18543772477480394,0.062351843520798506,0.03834579509785302,0.09801501374377117,0.0462938438817892,7.312813278833489e-05,5,104,0.06719596768932115,0.09698238212470099,True,False,False,2.6329991057833347e-08,COMPLETE
11,0.4039734423160553,2025-04-03 20:59:46.986554,2025-04-03 20:59:54.949703,0 days 00:00:07.963149,0.12684603121087057,0.7393167553290523,16,0.08644683543911336,0.22201086796479508,0.03676580522108882,0.0640066425277897,0.03837812484904854,0.05297864182632622,0.0001869265010450241,29,46,0.05992397203986987,0.013994137306817478,True,False,True,1.0252542034389328e-05,COMPLETE
