number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.34619247913360596,2025-04-23 10:07:42.685564,2025-04-23 10:08:04.048340,0 days 00:00:21.362776,0.036762870200457834,0.4972154141913606,2,0.06763069284657841,0.21337588844065813,0.013441484305418597,0.03757079125778357,0.08657366656098055,0.055971222705212396,0.014570878398007919,24,44,0.08502522748290624,0.09343582086573932,True,False,False,2.1479080375752138e-05,COMPLETE
1,0.29631375670433047,2025-04-23 10:08:04.053309,2025-04-23 10:08:23.828866,0 days 00:00:19.775557,0.738928892428426,0.76973705342685,2,0.27715013404953737,0.17786090084602404,0.04009606600344631,0.05471952812050678,0.08416458314117214,0.02109506687411731,0.0005659366561153366,25,131,0.09245061945614622,0.13324983427930454,False,True,True,3.265136186010533e-07,COMPLETE
2,0.3942308843135834,2025-04-23 10:08:23.836803,2025-04-23 10:08:34.020193,0 days 00:00:10.183390,0.21106585910596207,0.5171141028798278,8,0.04511064956973031,0.20777404612859285,0.05715935152950233,0.03810439922610532,0.0815929673489719,0.031270332222489365,6.875620025141277e-05,25,129,0.041211902066229815,0.023579576491392393,False,False,False,0.00013584711690431113,COMPLETE
3,0.29631375670433047,2025-04-23 10:08:34.026301,2025-04-23 10:08:40.503284,0 days 00:00:06.476983,0.5823250966991057,0.4837219445796734,8,0.012026993466502602,0.025490028272887037,0.030288197791662776,0.06589591270350317,0.016604730275285026,0.062420162056488426,0.004472545868566274,6,102,0.030386682112514815,0.14448248794685398,False,True,False,2.026195905958403e-05,COMPLETE
4,0.3972537100315094,2025-04-23 10:08:40.507551,2025-04-23 10:08:47.685620,0 days 00:00:07.178069,0.199204145845243,0.506876201000467,16,0.045990294580355785,0.13973369148133513,0.047875848196899544,0.03930569092539604,0.05899466708658026,0.025823421340679883,3.2089087481988176e-05,11,92,0.007900033842846321,0.07000255309003173,True,False,False,0.00012758494572724476,COMPLETE
5,0.3361273467540741,2025-04-23 10:08:47.690341,2025-04-23 10:08:56.442208,0 days 00:00:08.751867,0.7380596965997966,0.885211082223608,8,0.29289384771594845,0.28362335106238507,0.06053975775633959,0.0739021374677089,0.07464193613786944,0.06665386921212049,6.549983667517091e-05,21,61,0.06016850794821227,0.19141014574666662,False,False,True,3.182346226734945e-05,COMPLETE
6,0.29631375670433047,2025-04-23 10:08:56.447064,2025-04-23 10:09:11.687978,0 days 00:00:15.240914,0.8486888766221128,0.87772156994989,2,0.29862074342200157,0.16799981168900122,0.09152251416090405,0.0757635122701294,0.09157541823153456,0.03947671002617851,0.013363170821380709,17,46,0.015117466327401095,0.10913890547617654,True,True,False,0.00011775698318249422,COMPLETE
7,0.31586067080497743,2025-04-23 10:09:11.693074,2025-04-23 10:09:24.397399,0 days 00:00:12.704325,0.38033370485456786,0.9473832148047054,2,0.20571414222221004,0.21950556219215336,0.06700728133235542,0.03558489293668965,0.04028538572474588,0.0638339986399583,0.00020329285344278982,12,96,0.049262877920453446,0.0281242132002966,False,True,False,1.0025153404145397e-08,COMPLETE
8,0.2850671410560608,2025-04-23 10:09:24.402856,2025-04-23 10:09:34.493221,0 days 00:00:10.090365,0.5029247923232095,0.7770186839530837,8,0.2563682044432518,0.28931361800580857,0.06135969045227591,0.03887175246508103,0.05673427327734849,0.08618853962865394,0.02092579324534177,29,42,0.029054441724190073,0.2806815735531957,False,False,True,6.394144165023342e-05,COMPLETE
9,0.2800386488437653,2025-04-23 10:09:34.499108,2025-04-23 10:09:43.568171,0 days 00:00:09.069063,0.782495209805556,0.5577522504044522,2,0.15424486929785292,0.03168386696246335,0.04548981387948417,0.01711474298346251,0.03853779742514243,0.004001285587741869,0.03246127204436672,5,98,0.016174775515628646,0.09155248404094105,True,False,True,1.0328081039819836e-07,COMPLETE
10,0.4590821743011475,2025-04-23 10:09:43.574556,2025-04-23 10:09:50.924895,0 days 00:00:07.350339,0.016971298560040288,0.10654892786599635,16,0.1080464353969276,0.09531299206003943,0.08544120799013535,0.09738158666018928,0.00232570358527312,0.008231729284167062,2.145639337741961e-05,12,150,0.07004925809838758,0.20978117734555118,True,False,False,0.0005082994895595862,COMPLETE
11,0.40650454759597776,2025-04-23 10:09:50.931628,2025-04-23 10:09:58.261879,0 days 00:00:07.330251,0.01650079965279508,0.0298914361938184,16,0.09965954890751091,0.09285206272714353,0.09622706443195447,0.0999964489351714,0.005734818288645645,0.00525673207608004,1.6428142723104344e-05,13,11,0.0684910628265682,0.21819476938478513,True,False,False,0.0006320918217782611,COMPLETE
12,0.4092982172966003,2025-04-23 10:09:58.268677,2025-04-23 10:10:05.740894,0 days 00:00:07.472217,0.03449816505822554,0.02657687337946929,16,0.1173368231979398,0.09340516596105945,0.09804592435310518,0.09961347150979212,0.0035448286042178015,0.004063912102540386,1.0401313326937638e-05,14,10,0.06975661581471389,0.21603105533076977,True,False,False,0.0006142115278242623,COMPLETE
13,0.39836528301239016,2025-04-23 10:10:05.748476,2025-04-23 10:10:13.554733,0 days 00:00:07.806257,0.1943648469358871,0.017248803226984948,16,0.13028538221794378,0.09740436909467093,0.08119265649763009,0.09991665225777682,0.0016595627365923707,0.012657587542241767,1.1552971916905795e-05,16,145,0.07183989315696113,0.23293143282935547,True,False,False,0.000592966015470295,COMPLETE
14,0.34567668437957766,2025-04-23 10:10:13.562116,2025-04-23 10:10:20.379119,0 days 00:00:06.817003,0.32709378544734313,0.17350932454193274,16,0.16887293148986124,0.07761501972755015,0.07810034968040026,0.08598083956218891,0.021191770823853432,0.04141954189022269,0.0003221582151277225,8,7,0.078972864262015,0.28151145220421947,True,False,False,3.7897337613075452e-06,COMPLETE
15,0.3881487309932709,2025-04-23 10:10:20.386782,2025-04-23 10:10:27.956428,0 days 00:00:07.569646,0.09210550921843608,0.27287804148915007,16,0.10242832015105965,0.1261981177855093,0.09923226603951849,0.08749906192257267,0.02637400002474968,0.016328320234833306,8.553327005568561e-05,15,69,0.09812327744973173,0.20056593635628223,True,False,False,0.0009101601576248117,COMPLETE
16,0.29631375670433047,2025-04-23 10:10:27.964310,2025-04-23 10:10:34.837737,0 days 00:00:06.873427,0.963369026970778,0.21789311561547942,16,0.19115981558806372,0.00018614081774218083,0.08093918154534926,0.08670919485204487,0.012237227615555351,0.0011876569978486046,0.002493743500223767,10,31,0.05893659905978414,0.17699517358648512,True,False,False,3.88587317855887e-06,COMPLETE
17,0.3960782945156098,2025-04-23 10:10:34.846274,2025-04-23 10:10:43.012231,0 days 00:00:08.165957,0.3489784811971695,0.3364893903928947,16,0.11312561899191409,0.06083110739009159,0.0734006431200926,0.0037460913626381695,0.030983727400644246,0.08791931304944528,0.09303177409690555,20,120,0.06718240702636395,0.2487647090223981,True,False,False,9.62483237038453e-07,COMPLETE
18,0.29631375670433047,2025-04-23 10:10:43.021241,2025-04-23 10:10:50.673558,0 days 00:00:07.652317,0.10692405266895222,0.12331520024299922,16,0.07651612491697696,0.11519870724276293,0.09274497681289699,0.05693563593906858,0.010739621999257536,0.03589568999506599,1.0931885842650094e-05,19,148,0.08484530504118848,0.16934242339689126,True,True,True,0.00031516526413980655,COMPLETE
19,0.45789020061492924,2025-04-23 10:10:50.682507,2025-04-23 10:10:58.078664,0 days 00:00:07.396157,0.5331011142548588,0.3123218330311447,16,0.2340051212601601,0.05623737378951579,0.08570249000064815,0.09280639626711629,0.04563144485906693,0.012066828007993986,3.056792991335669e-05,14,80,0.04807615863530517,0.2463660083128859,True,False,False,6.5426141407727286e-06,COMPLETE
20,0.3843310832977295,2025-04-23 10:10:58.088007,2025-04-23 10:11:04.875811,0 days 00:00:06.787804,0.5638635919215315,0.36791962122037597,16,0.2319761769563875,0.047190555768988285,0.0015042921957352726,0.07672728280041975,0.09948567603545025,0.04520409062318871,0.001263356506646365,8,83,0.045597500281038914,0.2561856783137954,True,False,False,5.852817285224789e-08,COMPLETE
21,0.3831264913082123,2025-04-23 10:11:04.886404,2025-04-23 10:11:12.236894,0 days 00:00:07.350490,0.45256284430658805,0.1173798244341285,16,0.13326459739240296,0.07079959658706023,0.08680866612313143,0.09260985791560512,0.04479575274771797,0.0120850168185406,2.6667396390347003e-05,14,25,0.05715691790129181,0.2087928296000527,True,False,False,5.848292275159541e-06,COMPLETE
22,0.4774514615535736,2025-04-23 10:11:12.246779,2025-04-23 10:11:19.324319,0 days 00:00:07.077540,0.6224273694361593,0.06648282825845503,16,0.18267000792275176,0.10347027391500492,0.07217940513823987,0.09461446721511411,0.06667174877860092,0.020956782472130987,2.858799482776541e-05,10,114,0.037620582300087586,0.29679924367502125,True,False,False,0.0002931489989539593,COMPLETE
23,0.3742793440818787,2025-04-23 10:11:19.334495,2025-04-23 10:11:26.277341,0 days 00:00:06.942846,0.5991216578157654,0.37099605568408367,16,0.22730343337410824,0.11345733061415869,0.06972423553925242,0.06682760972259133,0.06765128781389534,0.025535021377186114,0.0001591685295813021,9,112,0.024415319349128814,0.29974751200118077,True,False,False,1.1039328667287404e-05,COMPLETE
24,0.4816212356090546,2025-04-23 10:11:26.287997,2025-04-23 10:11:33.496945,0 days 00:00:07.208948,0.656982868168121,0.24325505103341036,16,0.19335964782169698,0.15590175091640548,0.08524736356737186,0.09090027990275852,0.05406820860024163,0.018036138165910133,3.3251230920970216e-05,11,133,0.03829778761873069,0.2615994213434843,True,False,False,6.543716808397753e-07,COMPLETE
25,0.5004843831062317,2025-04-23 10:11:33.508117,2025-04-23 10:11:40.249823,0 days 00:00:06.741706,0.6555624533986629,0.11402511548721228,16,0.18106366561131054,0.16276871312927327,0.07738937370127723,0.08249689486102946,0.06481735876482217,0.02035172667249617,4.1644728280239015e-05,7,135,0.03843352267150437,0.2696127397824499,True,False,False,1.2056379915291046e-06,COMPLETE
26,0.29631375670433047,2025-04-23 10:11:40.261763,2025-04-23 10:11:46.544508,0 days 00:00:06.282745,0.6530359094087205,0.23354161114813438,16,0.18593062320721554,0.1796881566208436,0.07441048118957032,0.08168878442679567,0.0632032763060744,0.03125152555031121,0.00010614714905844874,7,137,0.03740637956380141,0.2749160234370724,True,True,True,1.2571805578664373e-06,COMPLETE
27,0.4759935200214386,2025-04-23 10:11:46.556102,2025-04-23 10:11:53.100219,0 days 00:00:06.544117,0.6753805749224084,0.16385032083612452,16,0.1638579190782144,0.15415187236435385,0.06642120355290325,0.06584349397151122,0.07176720351258485,0.04917034524932137,3.822616097909468e-05,5,117,0.03582722690924886,0.2657926125350092,True,False,False,9.695645306528628e-07,COMPLETE
28,0.3590340852737427,2025-04-23 10:11:53.111804,2025-04-23 10:12:00.210230,0 days 00:00:07.098426,0.9003906799001975,0.08022658330550239,16,0.20350769198239357,0.2404438204821693,0.05284903494187124,0.08098737661928233,0.05140578899126943,0.02021112455998538,0.0004348043251485281,10,127,0.0016121024457461455,0.29767300930611895,True,False,False,2.926746823440117e-07,COMPLETE
29,0.34588646292686465,2025-04-23 10:12:00.222398,2025-04-23 10:12:07.570682,0 days 00:00:07.348284,0.6658244910550226,0.19318427144052816,8,0.18197873174851328,0.20320587345354943,0.03755853219900884,0.09078601968732901,0.05328846230042492,0.029001931596150773,0.00015883852314600158,7,109,0.02091259803268278,0.2358663750102534,True,False,False,2.912762187322595e-07,COMPLETE
30,0.3401888728141785,2025-04-23 10:12:07.583279,2025-04-23 10:12:20.607564,0 days 00:00:13.024285,0.4495300310443641,0.4370901134141516,2,0.21426838231365014,0.14494094927773193,0.027646048821966078,0.07034544509706378,0.07736307800007655,0.054365059556715466,4.801819176639648e-05,10,137,0.032990833676564774,0.26595217852033476,True,False,False,1.5711771311974885e-06,COMPLETE
31,0.48890529870986943,2025-04-23 10:12:20.620633,2025-04-23 10:12:27.179526,0 days 00:00:06.558893,0.6565370611839044,0.16198494490121948,16,0.157642598238488,0.16643022495904525,0.06638635665888012,0.06172399153735812,0.07054807703461707,0.09715374769820746,4.6475357429209776e-05,5,118,0.03919427291955173,0.2656378863688214,True,False,False,6.646695210884309e-07,COMPLETE
32,0.3662149786949158,2025-04-23 10:12:27.192555,2025-04-23 10:12:33.824839,0 days 00:00:06.632284,0.77074504056793,0.2504984107934667,16,0.14094553744945784,0.192217069168705,0.07324093767858127,0.05559124011584603,0.061763696486056674,0.07389332479222688,0.0008502626854747074,5,123,0.042244508170473025,0.2898198791677444,True,False,False,4.5752473507893315e-07,COMPLETE
33,0.44293571114540103,2025-04-23 10:12:33.838627,2025-04-23 10:12:40.786153,0 days 00:00:06.947526,0.7194195155733594,0.6171916591409311,16,0.2593949789166518,0.1622854771901419,0.06450686977543738,0.08151345554794909,0.06752618196847872,0.09808118292586368,5.3236251194454346e-05,8,133,0.05302890704045934,0.23254816635259282,True,False,False,9.653447924342243e-08,COMPLETE
34,0.32639406919479375,2025-04-23 10:12:40.800849,2025-04-23 10:12:47.064583,0 days 00:00:06.263734,0.6278154743908139,0.08294535537045064,16,0.17694772328854014,0.13268608336012677,0.05470444697315165,0.06048180308043397,0.08624984198362,0.020978095980729083,2.026369585228687e-05,7,106,0.026496223632038768,0.2560039427016663,False,True,False,6.167929111912306e-07,COMPLETE
35,0.38715497851371766,2025-04-23 10:12:47.079070,2025-04-23 10:12:54.282563,0 days 00:00:07.203493,0.8366393947780242,0.16103119284203565,16,0.14997927612027728,0.24218994280638,0.07848327887372183,0.051690268377310784,0.07896634601875967,0.03580921505518398,0.0002489605050655542,11,139,0.04019558683815907,0.27470962034250934,True,False,False,2.1827337026344615e-06,COMPLETE
36,0.38444501161575323,2025-04-23 10:12:54.296709,2025-04-23 10:13:00.902210,0 days 00:00:06.605501,0.6916888492110955,0.4220322532617792,8,0.1950259467895087,0.17950877381208613,0.06084502955274751,0.047960362732315284,0.07102899525192492,0.07353115866744754,0.00012439786457806007,6,89,0.03377088570913123,0.12918998779935875,False,False,True,1.7818352890113295e-07,COMPLETE
37,0.33544095754623415,2025-04-23 10:13:00.918340,2025-04-23 10:13:09.494059,0 days 00:00:08.575719,0.49052286593014605,0.28971501624995927,16,0.16190857235397874,0.1515984801142082,0.08890316281542972,0.07277987270798725,0.05664083314251194,0.02626656868847344,7.122837747767411e-05,24,115,0.04429652766238315,0.2321339778757135,True,False,False,2.8940115898704243e-08,COMPLETE
38,0.3399773180484772,2025-04-23 10:13:09.510144,2025-04-23 10:13:20.479707,0 days 00:00:10.969563,0.8148109159058832,0.06439407015725374,2,0.2528717967642933,0.22430698260254206,0.07041154575840526,0.02972310104611373,0.09206374915035921,0.01575339663646973,4.716091053250283e-05,9,127,0.05355776021478341,0.049577569516410264,False,True,False,3.1500766744586246e-05,COMPLETE
39,0.37507347464561464,2025-04-23 10:13:20.495413,2025-04-23 10:13:28.060955,0 days 00:00:07.565542,0.5883620885235338,0.14046020666644365,8,0.0028831474263748824,0.11903932553795679,0.056448439063873784,0.045045025916034945,0.06487033615576777,0.05855262645426817,0.006401144753732607,12,103,0.018923922540381177,0.17213742655046904,True,False,True,1.801070785133331e-05,COMPLETE
40,0.32135310769081116,2025-04-23 10:13:28.077160,2025-04-23 10:13:37.516791,0 days 00:00:09.439631,0.9075926946147561,0.6203131014035452,2,0.2158506671012508,0.1693034212133436,0.049304726314544176,0.0615659752596433,0.08260928400601482,0.022769749946653157,1.7633138410853307e-05,6,141,0.010313114542512283,0.28830515656756506,False,True,False,5.895322838271241e-07,COMPLETE
41,0.47149655222892767,2025-04-23 10:13:37.533359,2025-04-23 10:13:44.081526,0 days 00:00:06.548167,0.7138968562207585,0.19476284235345334,16,0.16776684741667258,0.19548739053467024,0.06681622815662688,0.06258372091563608,0.07242747872821051,0.07817352848429826,3.6738736142895874e-05,5,121,0.03884293255984287,0.2651634723207566,True,False,False,2.2710356039793056e-06,COMPLETE
42,0.40139952898025516,2025-04-23 10:13:44.098706,2025-04-23 10:13:50.715372,0 days 00:00:06.616666,0.6320004204847438,0.15547493084082462,16,0.14656724944151317,0.15053444210518535,0.07687419928234122,0.06936324566903918,0.05938229931434638,0.04586237052006532,3.838880713682846e-05,6,118,0.03418737320359622,0.001053415448496492,True,False,False,9.329536032336778e-07,COMPLETE
43,0.4446876645088196,2025-04-23 10:13:50.732581,2025-04-23 10:13:57.727484,0 days 00:00:06.994903,0.7769805947238942,0.07123113184162654,16,0.17090003162613607,0.16128800490619016,0.06432785368670768,0.07770901090384055,0.07152649701963665,0.05054523148257875,7.735214190668008e-05,9,133,0.03000668379066798,0.2682613428716613,True,False,False,2.848114566037987e-07,COMPLETE
44,0.4743745803833008,2025-04-23 10:13:57.744305,2025-04-23 10:14:04.290262,0 days 00:00:06.545957,0.5447204118391364,0.25018771196053396,16,0.15971275586438996,0.1330941665518786,0.04269151302176065,0.09394526933793343,0.07638180600310658,0.03541516371721996,2.824953956250347e-05,5,112,0.025173308703251743,0.25499478837483996,True,False,False,1.2565722664418925e-07,COMPLETE
45,0.41312528252601627,2025-04-23 10:14:04.308235,2025-04-23 10:14:11.125643,0 days 00:00:06.817408,0.6743195890378737,0.010053538144741553,16,0.2007179373523309,0.18185914507976592,0.08251295103603756,0.0830844112778512,0.04580097132681887,0.09873290716953444,1.5028555256289436e-05,7,96,0.03697712348771691,0.28478999509738756,True,False,False,8.019843136198549e-07,COMPLETE
46,0.34638280868530275,2025-04-23 10:14:11.144196,2025-04-23 10:14:20.410637,0 days 00:00:09.266441,0.739004939535835,0.20493381600438915,16,0.12974632833775973,0.15479422663279307,0.05851223795211169,0.08956426602947615,0.06797888384797147,0.06862190662179227,5.996598263997674e-05,30,129,0.04853158465523083,0.24566206652904438,True,False,False,1.5006674882510516e-06,COMPLETE
47,0.3913158595561982,2025-04-23 10:14:20.428446,2025-04-23 10:14:27.931361,0 days 00:00:07.502915,0.5958477325226366,0.12439000931560562,8,0.08633571788772947,0.10476567480986892,0.09187565502333549,0.0956361452951907,0.05448055796247572,0.017645993060257742,0.00010862069434034928,11,65,0.030733834199022553,0.2214131354030442,True,False,True,4.337919231416402e-07,COMPLETE
