number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.350697523355484,2025-04-04 03:08:25.135147,2025-04-04 03:08:58.151837,0 days 00:00:33.016690,0.3125530250275194,0.5821932170554948,8,0.14746373194065562,0.2800545561071605,0.015746203484778187,0.09613504686914119,0.06688457508686727,0.019776096411987583,3.0710769461786926e-05,28,25,0.019937952438575098,0.0380452720496239,True,True,False,2.063128912849077e-06,COMPLETE
1,0.37863270044326786,2025-04-04 03:08:58.156088,2025-04-04 03:09:32.159579,0 days 00:00:34.003491,0.7188842262244451,0.622347684035134,8,0.21358560490965453,0.24377484143804107,0.04982898724330584,0.04758683611638349,0.07228715342951757,0.08137630959644346,0.003896654428888723,20,144,0.019710853202769496,0.11206683842295144,True,False,False,5.65962041759488e-05,COMPLETE
2,0.37562572956085205,2025-04-04 03:09:32.163522,2025-04-04 03:09:48.283828,0 days 00:00:16.120306,0.6035699278032325,0.541929132358308,16,0.2881540196400458,0.14636580559885692,0.06316183843334408,0.012446962836356955,0.03582531843789999,0.058191087643244876,0.00013147959147741096,5,47,0.0764782084074851,0.2346760652116506,False,False,False,0.000693441721526485,COMPLETE
3,0.4082581698894501,2025-04-04 03:09:48.287897,2025-04-04 03:10:05.269811,0 days 00:00:16.981914,0.06601101941124711,0.06284563673506117,16,0.03548311325156997,0.06879631220532646,0.07894677182361184,0.09591446582752011,0.07412893164074835,0.04725451517357811,0.012899451023237125,11,82,0.07691870679208677,0.2709958279121598,False,False,True,6.257077037383147e-06,COMPLETE
4,0.398559045791626,2025-04-04 03:10:05.274152,2025-04-04 03:10:21.501178,0 days 00:00:16.227026,0.6979340732406321,0.769871404984147,16,0.13030995776525436,0.08327366137540719,0.08534953341179924,0.09807709836728694,0.06580238242063814,0.08503155520188144,0.00023703574202981517,5,131,0.005897670164914806,0.01867865776626713,True,True,False,1.864725059688635e-06,COMPLETE
5,0.29645872116088867,2025-04-04 03:10:21.506078,2025-04-04 03:10:53.450044,0 days 00:00:31.943966,0.10830426477489635,0.3843707899992239,8,0.162235153756962,0.14372724094426823,0.06864415391384909,0.04206534043339286,0.06393053795314148,0.00746612708271782,0.0004526133590323771,28,8,0.007517380291683063,0.19092189129290088,False,True,False,2.542369268621823e-08,COMPLETE
6,0.29052439928054813,2025-04-04 03:10:53.454995,2025-04-04 03:12:14.200783,0 days 00:01:20.745788,0.4619291428890794,0.5856277747025127,2,0.02071511547735787,0.2194031981355522,0.05780719457606229,0.030102209353674338,0.08413300943393087,0.07951995549329523,2.999594143860909e-05,23,121,0.08472885887912396,0.0021247519312677906,True,True,False,4.86704740337811e-05,COMPLETE
7,0.37912329435348513,2025-04-04 03:12:14.206064,2025-04-04 03:12:35.725625,0 days 00:00:21.519561,0.09054711006144782,0.7763074350238511,16,0.11323336977797058,0.09786325996031346,0.08634234519292044,0.07703749810927885,0.010807845055912216,0.056978004130570435,0.061062606244413786,16,120,0.017099439613599072,0.22175610820967534,False,False,False,1.0316899152641807e-05,COMPLETE
8,0.29052439928054813,2025-04-04 03:12:35.731542,2025-04-04 03:12:57.431529,0 days 00:00:21.699987,0.6567531584273236,0.16972726805977334,16,0.11956136152014456,0.2988781473042243,0.01937037474047548,0.09659787842552255,0.06791472618145615,0.04831444061123013,0.09395721139361697,26,11,0.02040403068042481,0.06434652096124978,False,True,True,1.3353766277422852e-06,COMPLETE
9,0.38871554136276243,2025-04-04 03:12:57.438815,2025-04-04 03:13:19.127361,0 days 00:00:21.688546,0.6024597557948567,0.05138810489597056,16,0.12573761315719093,0.25130544450602654,0.02263157453787339,0.09913598421742442,0.0032221024952367662,0.0064628011514613354,1.0377188580454953e-05,16,126,0.0358732135090281,0.05275599686581895,False,False,False,1.3765039634954651e-07,COMPLETE
10,0.3758527219295502,2025-04-04 03:13:19.133861,2025-04-04 03:14:05.810900,0 days 00:00:46.677039,0.9855502971246755,0.21117707319958978,2,0.0008205092913157186,0.008823383860862927,0.09674029461110792,0.0719026637029426,0.09569603330838547,0.032597176315265514,0.006285837900797099,11,84,0.0659808498424749,0.2890992983826554,False,False,True,2.033715962960295e-07,COMPLETE
