number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.30699655413627625,2025-04-23 12:58:33.329237,2025-04-23 12:58:52.242749,0 days 00:00:18.913512,0.5590018449266224,0.06264514888072062,16,0.19575935347878157,0.22376337629885892,0.06933435766962946,0.02977704868779186,0.0840196138490964,0.04475965912128198,0.05515239991269153,15,91,0.020728943573509233,0.2998927351294298,False,True,False,0.0004056206428879438,COMPLETE
1,0.35550153255462646,2025-04-23 12:58:52.246947,2025-04-23 12:59:15.510869,0 days 00:00:23.263922,0.9572255003319007,0.6740574531488168,16,0.04813023269897894,0.1649309845190366,0.04443032014093174,0.005510831991975485,0.035921034993378606,0.05545588756922949,2.248541475562207e-05,27,27,0.07781518166464593,0.1457907184876737,True,True,False,3.4944654093379087e-07,COMPLETE
2,0.366980654001236,2025-04-23 12:59:15.515114,2025-04-23 12:59:46.229079,0 days 00:00:30.713965,0.37246420930792523,0.3677499561611435,8,0.17921771901609954,0.2467922085054608,0.03991302927469398,0.09183425382524936,0.03426385761397439,0.08447250896231001,0.003838198834585354,17,105,0.009277447478261567,0.03129098841743977,True,False,False,3.82916338417732e-08,COMPLETE
3,0.4777939319610596,2025-04-23 12:59:46.233049,2025-04-23 13:00:44.384242,0 days 00:00:58.151193,0.12325624785222478,0.41914893957627763,2,0.09273286490110731,0.06835878560671681,0.08413302714176273,0.0279911081347081,0.06908811272958748,0.08075398288294913,0.0006327787546862907,15,59,0.07641805031676933,0.02707792629271759,True,False,True,6.204453042129046e-05,COMPLETE
4,0.29052439928054813,2025-04-23 13:00:44.388484,2025-04-23 13:01:09.992989,0 days 00:00:25.604505,0.4882863831501109,0.9763996543482965,8,0.1731411896978453,0.17751425984511646,0.010272088907561917,0.06295293291284186,0.015704461091654458,0.04509384711609509,0.0011484023499029879,16,147,0.006254759196812389,0.2050753950628276,False,True,True,0.0009572176031558463,COMPLETE
5,0.3770357668399811,2025-04-23 13:01:09.997447,2025-04-23 13:01:45.170854,0 days 00:00:35.173407,0.549747077427558,0.6698359960562681,8,0.27878488607227314,0.29620529082283925,0.0426306677014568,0.028333071797280094,0.013038500097924136,0.0597623897578989,0.00012014386069742999,25,12,0.066327297898117,0.04678414332411518,True,False,False,1.19458318357039e-08,COMPLETE
6,0.2829533994197846,2025-04-23 13:01:45.176014,2025-04-23 13:02:42.638912,0 days 00:00:57.462898,0.8715592950632461,0.36726072474508104,2,0.24182549641501,0.17597108170336728,0.03386264537972472,0.08816565932546602,0.024309340489082936,0.05590169704878006,0.0004937620236007301,15,62,0.07540336209775839,0.06987089816331299,True,False,True,2.2072288884032362e-08,COMPLETE
7,0.40434315204620364,2025-04-23 13:02:42.644056,2025-04-23 13:02:59.859638,0 days 00:00:17.215582,0.2695074441589075,0.833976158097572,16,0.00036134517737439783,0.17194960320669753,0.025148558828530135,0.08376856791529691,0.0016818539209513092,0.04431002275554272,0.0009525156304725661,7,107,0.08922398702263322,0.19512758526229113,True,False,True,0.0003446450117197779,COMPLETE
8,0.3788965344429016,2025-04-23 13:02:59.865080,2025-04-23 13:03:35.922318,0 days 00:00:36.057238,0.41747944474920773,0.7407742464925434,8,0.10428015440654127,0.02382083514831563,0.05825715686154804,0.06424364294865202,0.03278878269420621,0.01912210666944042,0.00329873265431627,29,85,0.07760869904767446,0.28901305604066074,True,True,True,1.5429135417042083e-08,COMPLETE
9,0.36882747411727906,2025-04-23 13:03:35.928071,2025-04-23 13:04:13.922198,0 days 00:00:37.994127,0.9241780268665416,0.5087248322166469,8,0.11311905315211873,0.2421255687504237,0.0955347513558609,0.08440751853157084,0.013967170974378704,0.06325023623362389,0.007572904568004018,26,96,0.08394565208350703,0.18582724362577419,True,False,False,4.7947881374904113e-08,COMPLETE
10,0.413535475730896,2025-04-23 13:04:13.928570,2025-04-23 13:04:52.735576,0 days 00:00:38.807006,0.03040363966049009,0.13957530332848805,2,0.07658488606039351,0.04933326031326678,0.09940104726768643,0.0023058042431573986,0.06966534674931756,0.09953759301280213,1.1479137839527693e-05,8,47,0.04530156485890001,0.10594601783539748,False,False,True,8.422260311401258e-06,COMPLETE
11,0.41536918282508856,2025-04-23 13:04:52.744270,2025-04-23 13:05:28.430307,0 days 00:00:35.686037,0.03142244229712226,0.027736171605474882,2,0.08042455901632412,0.0487101725558801,0.09840889761987447,0.0012337722165846263,0.07194675800078065,0.09806545774093259,2.0520851553423607e-05,7,53,0.043819570575286106,0.10271758736507006,False,False,True,2.0244537504990533e-05,COMPLETE
12,0.4160239934921265,2025-04-23 13:05:28.437758,2025-04-23 13:06:14.211540,0 days 00:00:45.773782,0.021085469553374574,0.196570541742647,2,0.03211068222369974,0.08141129268451351,0.08002792420667829,0.029303526634143567,0.06295468302939569,0.08575808769308725,6.341191265051627e-05,11,47,0.047440658011026975,0.007227474672156148,False,False,True,2.2302996531890872e-05,COMPLETE
