number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.3305542290210724,2025-04-05 05:02:37.392980,2025-04-05 05:02:55.896481,0 days 00:00:18.503501,0.48741907585317557,0.13461222493203398,2,0.296689407433212,0.18222541265174974,0.05192872920796905,0.048208566701166265,0.012945048556299667,0.0962937004865707,0.00014308925849689414,23,90,0.08009895124637534,0.23836430645976442,True,True,False,2.5263308736654292e-08,COMPLETE
1,0.3056185007095337,2025-04-05 05:02:55.900702,2025-04-05 05:03:04.660947,0 days 00:00:08.760245,0.7376911170977856,0.292985716395398,8,0.26339835890496066,0.19156142038657212,0.04182527247137015,0.06050398782588266,0.0014292313927997187,0.07714298006201628,0.0003225676245122231,19,88,0.03889274759490372,0.11119245025723228,True,True,False,6.582865015515857e-05,COMPLETE
2,0.28504276871681217,2025-04-05 05:03:04.664687,2025-04-05 05:03:13.066413,0 days 00:00:08.401726,0.25845825876132755,0.8202886152898821,8,0.18522567363160802,0.2966867351596743,0.07388521650508462,0.014934543639195212,0.0038778070293374665,0.07381087177760279,0.003812523791683149,20,122,0.09584178539360685,0.04990117279071414,False,True,False,1.0164184543234187e-07,COMPLETE
3,0.28504276871681217,2025-04-05 05:03:13.070417,2025-04-05 05:03:20.005091,0 days 00:00:06.934674,0.2492318768365987,0.36708265719766925,8,0.21090370305815045,0.26563580581798213,0.07201834142748824,0.05089145088736188,0.009503247849358746,0.017925546483441853,0.0684032507569966,10,46,0.008870739258032893,0.03467740308319729,True,True,True,0.0001670332619215364,COMPLETE
4,0.3273369908332825,2025-04-05 05:03:20.009399,2025-04-05 05:03:39.276841,0 days 00:00:19.267442,0.7898195296380758,0.07183858855633121,2,0.1595413543952741,0.18685818176341146,0.09749992800500908,0.07955935040862835,0.07210500160831373,0.07794985874301755,1.3090733284508516e-05,24,105,0.04798916694033611,0.23374666490637477,True,True,False,7.751335881287126e-07,COMPLETE
5,0.350996869802475,2025-04-05 05:03:39.281327,2025-04-05 05:03:52.437867,0 days 00:00:13.156540,0.44862328352440317,0.8184014886887535,2,0.011950745464512757,0.10809533564926434,0.07773210464218615,0.03659379834509272,0.08361497548403372,0.02217561451246899,9.182696976021835e-05,11,76,0.059893989302713405,0.18852003911182602,False,False,False,2.5474088642079537e-05,COMPLETE
6,0.3633528113365173,2025-04-05 05:03:52.442760,2025-04-05 05:04:02.670590,0 days 00:00:10.227830,0.2671305981744034,0.20922969303494302,2,0.2763557074948071,0.21005544268808624,0.09286797721935607,0.029447121985786143,0.07086888911296306,0.046478390484989376,0.00030503331596650965,6,129,0.011376953395004809,0.19702269816240628,False,False,False,4.577950785479465e-07,COMPLETE
7,0.2867991328239441,2025-04-05 05:04:02.676009,2025-04-05 05:04:22.909647,0 days 00:00:20.233638,0.23500463700740346,0.645723129689351,2,0.19534839083978572,0.0779410198737887,0.027482711135499795,0.02745394964230867,0.0992778634996677,0.02707897712521056,1.5993586841575647e-05,27,25,0.017084067455753933,0.1314364770492385,True,False,True,6.559576060634169e-07,COMPLETE
8,0.28458096981048586,2025-04-05 05:04:22.915506,2025-04-05 05:04:28.706166,0 days 00:00:05.790660,0.9771345702480613,0.4660378491042754,16,0.14421542519745237,0.1137965575020178,0.031976409611222,0.0824407059240638,0.0037585759776885166,0.08219008940197085,1.7445351829503312e-05,5,41,0.07674945959063048,0.25351154141668886,False,True,True,2.9675826216057576e-07,COMPLETE
9,0.28504276871681217,2025-04-05 05:04:28.712073,2025-04-05 05:04:50.885620,0 days 00:00:22.173547,0.063304616573519,0.940991716864649,2,0.2788329029096823,0.11289898996189893,0.01961434871228331,0.06875034015706766,0.07102228405769323,0.05247649555727026,0.08652098818513737,28,105,0.005993909951770321,0.013669233248937058,True,True,True,3.9205089728144696e-07,COMPLETE
