number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.2941127419471741,2025-04-24 15:26:39.482438,2025-04-24 15:26:50.070594,0 days 00:00:10.588156,0.050019249363369836,0.41995489763259397,8,0.23888222983802157,0.20709703297765647,0.07257631746136628,0.07833245431592734,0.03530083089511174,0.026215563378389123,1.473035656603567e-05,24,95,0.002102420014306751,0.18845719032906122,True,False,True,3.073705523986011e-07,COMPLETE
1,0.2837353527545929,2025-04-24 15:26:50.075182,2025-04-24 15:27:08.127721,0 days 00:00:18.052539,0.28743543221302315,0.5602115037886279,2,0.08227189926292412,0.17940904715379588,0.0591281150115894,0.06950392393265667,0.09488152519665863,0.0790874162392876,0.003279529688955382,22,35,0.07824425659942791,0.13146676514798425,True,True,False,1.5484113178298733e-05,COMPLETE
2,0.3635163426399231,2025-04-24 15:27:08.131640,2025-04-24 15:27:17.936573,0 days 00:00:09.804933,0.9817739888228824,0.1650213103899635,8,0.11667423914241314,0.2517568089480767,0.001237927131117975,0.06507728481719163,0.07350783387342284,0.004580128695478426,0.0013193883619048675,22,78,0.09921778249805022,0.23283001401677628,True,True,False,8.355434286402135e-08,COMPLETE
3,0.3567457377910614,2025-04-24 15:27:17.940789,2025-04-24 15:27:25.936232,0 days 00:00:07.995443,0.14590967042705066,0.4229719378417879,16,0.29733969420387774,0.21585868949549697,0.07197727240877672,0.08819698699253144,0.046952301990120016,0.08057246061247161,0.00278351247597265,11,113,0.0860581754695383,0.24798835105211922,True,False,False,0.00043249139301632783,COMPLETE
4,0.28504276871681217,2025-04-24 15:27:25.940619,2025-04-24 15:27:48.855019,0 days 00:00:22.914400,0.03182899391896921,0.3243337711069641,2,0.06951466430461802,0.23610854506405707,0.0016359621927672454,0.06908945694182798,0.07961637252919618,0.06849149694961326,0.0015961653026748722,30,113,0.035630934252916545,0.1748603839883887,False,True,True,2.001278339086906e-07,COMPLETE
5,0.28504276871681217,2025-04-24 15:27:48.859887,2025-04-24 15:28:08.963605,0 days 00:00:20.103718,0.15419568997499988,0.18770480358857158,2,0.046497676978545524,0.2393270924403264,0.029207475925174746,0.05328201342324119,0.07492775893913264,0.007465161189467429,0.002286808948774513,26,57,0.014276190918276772,0.06281579203138997,False,True,False,1.0896621257321609e-07,COMPLETE
6,0.28504276871681217,2025-04-24 15:28:08.968503,2025-04-24 15:28:22.443326,0 days 00:00:13.474823,0.03521314243848875,0.503134394353549,2,0.07615062792723426,0.0634224400497517,0.07417071192861531,0.02876257161663729,0.02985837941737655,0.09214457204923576,0.00021646471220247604,13,145,0.029484329983147987,0.1855945644507553,False,True,False,0.00013155736840775846,COMPLETE
7,0.3625358819961548,2025-04-24 15:28:22.448446,2025-04-24 15:28:32.167832,0 days 00:00:09.719386,0.27704833109532706,0.6740086077454641,8,0.09579599368511642,0.28452171165755674,0.015126799283584267,0.06171168850676241,0.01344190142355162,0.05068467114993676,0.0011330843460661377,15,109,0.09158064216144074,0.05017197082139644,True,False,False,1.7501737954170573e-06,COMPLETE
8,0.386006110906601,2025-04-24 15:28:32.173813,2025-04-24 15:28:45.237188,0 days 00:00:13.063375,0.3353071799263255,0.0318725585037493,2,0.1823563415127944,0.11828829025867163,0.05488400916083311,0.09076473510071509,0.03526084683206521,0.0740430102527127,0.014783677646117835,10,57,0.012412136131554442,0.11918225746574915,False,False,False,1.42276949596241e-06,COMPLETE
9,0.28504276871681217,2025-04-24 15:28:45.242961,2025-04-24 15:29:07.950528,0 days 00:00:22.707567,0.8248442405088456,0.5486940906613955,2,0.21473155612750505,0.2677946806303385,0.06687798578467741,0.06577867087508266,0.056150240735283415,0.07156380657064369,1.1277614941839163e-05,30,40,0.07186589947927406,0.2749300373393217,True,True,True,2.287808201147134e-06,COMPLETE
10,0.2827126741409302,2025-04-24 15:29:07.956871,2025-04-24 15:29:14.257515,0 days 00:00:06.300644,0.576139087262928,0.881404191261652,16,0.1730826789947971,0.09441722965303614,0.09585431522643272,0.002556716766273774,0.004850541881354739,0.0460740545938427,0.094739164881247,5,12,0.053221090366421794,0.004611011528590642,False,False,True,1.1082287262151875e-08,COMPLETE
11,0.3642256140708923,2025-04-24 15:29:14.264611,2025-04-24 15:29:23.984321,0 days 00:00:09.719710,0.8691842628183839,0.015094209177388573,8,0.136672754696187,0.13080888780622724,0.04543557734282247,0.09968655579899657,0.0626289387555761,0.010907024204850613,0.028469217847099104,20,74,0.059571048694527944,0.12076518766425355,False,False,False,1.1352270353928245e-08,COMPLETE
12,0.3729706764221192,2025-04-24 15:29:23.991061,2025-04-24 15:29:31.598504,0 days 00:00:07.607443,0.5609054939253473,0.013395997055202632,8,0.1495071500716435,0.11887987173169605,0.04233014846414351,0.09965435692487522,0.051645825909467355,0.04809561389438269,0.04030136109138616,8,63,0.0545017034076683,0.1156109101364392,False,False,False,1.7274936635750816e-08,COMPLETE
13,0.28504276871681217,2025-04-24 15:29:31.605892,2025-04-24 15:29:38.890507,0 days 00:00:07.284615,0.543547312896482,0.012478776838646297,8,0.1815115854395174,0.005456873101992776,0.04165451828320876,0.09884811550951389,0.03009598322138226,0.05306059348997138,0.020107916336396168,7,51,0.03713865349855111,0.0858090301569481,False,False,False,1.8160798583641325e-05,COMPLETE
14,0.38092322349548347,2025-04-24 15:29:38.898267,2025-04-24 15:29:45.899218,0 days 00:00:07.000951,0.4065258736103256,0.15187622661463165,16,0.015980313288532888,0.13438491805384398,0.03609939430191263,0.03895004803971115,0.04261234453534813,0.037148382721520115,0.015735208083254924,9,12,0.020847195674565253,0.09546546035283247,False,False,False,1.6087146753977677e-05,COMPLETE
15,0.4367579340934754,2025-04-24 15:29:45.906910,2025-04-24 15:29:52.888652,0 days 00:00:06.981742,0.38165770001248833,0.18544356002714618,16,0.0012702926328844785,0.165155150843629,0.026719660530249933,0.03555664597992782,0.01866654009321148,0.03385292423359957,0.007589193418554589,10,15,0.01867374711628246,0.018410646745887105,False,False,False,1.5289235565476117e-05,COMPLETE
16,0.3679032862186432,2025-04-24 15:29:52.896601,2025-04-24 15:30:00.721083,0 days 00:00:07.824482,0.3953701629727754,0.2804622132888086,16,0.011560935886989478,0.1637021741690638,0.024200395768778683,0.02656392137410474,0.01807678961954457,0.026588722473910763,0.00756873911478003,16,28,0.006508784789535156,0.0037833650768652038,False,False,False,8.187344968651032e-07,COMPLETE
17,0.40652143955230713,2025-04-24 15:30:00.729543,2025-04-24 15:30:07.956993,0 days 00:00:07.227450,0.41035521054182644,0.27514191710792096,16,0.23791574349359637,0.07729272952064226,0.09021198381624818,0.00902012664189756,0.0201006843443857,0.0969553692034954,0.00031113855794626403,11,5,0.023484277461485518,0.03936450308033317,False,False,False,6.546303369555662e-06,COMPLETE
18,0.3345328211784363,2025-04-24 15:30:07.965620,2025-04-24 15:30:14.882086,0 days 00:00:06.916466,0.6392425369271213,0.29083274481530896,16,0.2775292744646904,0.037612942903916424,0.09853758195503073,0.002998747456657783,0.0038123707825967537,0.09461351163910028,0.0002705808636234052,13,8,0.02429040444351219,0.039761787853904745,False,False,True,6.0787043545216226e-05,COMPLETE
19,0.3706903219223023,2025-04-24 15:30:14.890889,2025-04-24 15:30:21.553860,0 days 00:00:06.662971,0.683780900460544,0.7717622596747196,16,0.24568351266240712,0.07961138225487317,0.09169737252412226,0.017616310918252963,0.019868850243532972,0.021888486748841682,0.00026643800551121694,5,23,0.04085609636421222,0.027734981567334772,False,False,False,0.0009604842495834509,COMPLETE
20,0.40787838697433476,2025-04-24 15:30:21.562770,2025-04-24 15:30:29.458746,0 days 00:00:07.895976,0.46905448205291594,0.37766510104350426,16,0.22890384484292248,0.04188915722072202,0.0836577570683154,0.014377132470387,0.021581867485726675,0.061804704929254904,7.669523612167401e-05,18,6,0.04479749956321182,0.08164109058110366,False,False,False,6.757477072945298e-06,COMPLETE
21,0.4037443399429322,2025-04-24 15:30:29.468257,2025-04-24 15:30:37.369240,0 days 00:00:07.900983,0.43510564626877113,0.38189198556010623,16,0.21692380218553373,0.03457285842383526,0.08490915563744438,0.015172623509937512,0.022167574553199086,0.06250791196220448,4.973979621191313e-05,18,7,0.020350943385695035,0.08096064476917791,False,False,False,6.5629281032389025e-06,COMPLETE
22,0.39580468535423285,2025-04-24 15:30:37.378983,2025-04-24 15:30:44.752363,0 days 00:00:07.373380,0.4782930837026494,0.2306449717118806,16,0.26145280663692216,0.05649839916616892,0.08529054063771967,0.04193614866562801,0.009419031204824874,0.03767891762089968,8.815445517815906e-05,12,21,0.04175538836460646,0.027910782997560245,False,False,False,5.931556953723572e-06,COMPLETE
23,0.28504276871681217,2025-04-24 15:30:44.763703,2025-04-24 15:30:52.660907,0 days 00:00:07.897204,0.69745369420683,0.12226235175786676,16,0.20902201734234221,0.0010211643714913218,0.08315781878609872,0.012869144677631093,0.02792800926091916,0.060171693722268084,8.03499220145696e-05,18,40,0.029994810462135424,0.06604006772696892,False,False,False,5.123062095412323e-05,COMPLETE
24,0.3833586156368256,2025-04-24 15:30:52.671187,2025-04-24 15:31:00.301710,0 days 00:00:07.630523,0.18559668488180137,0.3555857999479244,16,0.2975782850064302,0.09211355480995247,0.018475625803104904,0.028363819971345586,0.013587093073792194,0.03740313867048927,0.0005668747465111048,15,5,0.0646487908607277,0.018001491762174724,False,False,False,5.935720640687743e-06,COMPLETE
