number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.3676989853382111,2025-04-05 09:16:20.198352,2025-04-05 09:16:42.804757,0 days 00:00:22.606405,0.40282353316013564,0.3375832685022156,16,0.021044341621725502,0.09986474764398605,0.044511201127647136,0.09916365787803108,0.08719448656863127,0.05565579996874606,3.903265047465599e-05,21,109,0.029429599875197703,0.18093995408632987,False,True,True,4.204093495359474e-08,COMPLETE
1,0.28615721464157107,2025-04-05 09:16:42.808958,2025-04-05 09:17:19.136216,0 days 00:00:36.327258,0.1850349067256517,0.9638674321061129,2,0.2422871694980829,0.16249413636845142,0.03766884291855148,0.09224983294490724,0.08922498683537305,0.03345770574233227,0.0016891702266383778,7,84,0.0036497521165355707,0.023583983374433872,True,True,True,4.76156996146931e-06,COMPLETE
2,0.33109262585639954,2025-04-05 09:17:19.139917,2025-04-05 09:17:51.316434,0 days 00:00:32.176517,0.8168039953876295,0.03125190486101353,8,0.22782620845247809,0.2788900937418316,0.07377314816252492,0.08012813169399195,0.08678540717293766,0.05550053249257724,0.002936694989229208,26,29,0.03206270919001095,0.22351964707768227,True,False,True,3.48341577910131e-08,COMPLETE
3,0.3005799949169159,2025-04-05 09:17:51.320652,2025-04-05 09:18:20.883845,0 days 00:00:29.563193,0.44715306237406083,0.21973272294842308,2,0.2514651267401818,0.09235209451855363,0.022664612674461085,0.0014112948162334099,0.019489328189237782,0.06711204851863765,0.03891140807581699,5,22,0.048220761250266524,0.026785711249838626,False,False,True,2.722031656390378e-05,COMPLETE
4,0.37095405459403996,2025-04-05 09:18:20.888295,2025-04-05 09:19:58.941803,0 days 00:01:38.053508,0.40077606441687763,0.6577209289644783,2,0.11601363221840735,0.2910023241316778,0.0023311523960909955,0.008150352475289238,0.09618175993890239,0.06178360820134564,0.021034066438989932,25,38,0.02530459935601529,0.1698310447776161,False,False,False,2.0923377388508088e-08,COMPLETE
5,0.41476287245750426,2025-04-05 09:19:58.946383,2025-04-05 09:20:39.277994,0 days 00:00:40.331611,0.11226963730460782,0.21320892462636798,2,0.004200031819837893,0.2033578816843719,0.06414603014228556,0.0012451517996982268,0.03950754946555439,0.029414225509011967,0.00010641583371595199,9,29,0.06013740102948435,0.26768656994380374,False,False,True,2.483158347685543e-06,COMPLETE
6,0.28615721464157107,2025-04-05 09:20:39.283119,2025-04-05 09:22:16.389879,0 days 00:01:37.106760,0.6905083482439768,0.5687408764047299,2,0.18566495562772534,0.18151667250348258,0.09767925493227032,0.07283035837107905,0.06466575307736515,0.09571459511208225,9.707024079698507e-05,30,20,0.07344065545399547,0.028018631020593057,True,True,True,2.7697062539837323e-06,COMPLETE
7,0.28164364695549016,2025-04-05 09:22:16.395362,2025-04-05 09:23:59.544386,0 days 00:01:43.149024,0.8447589864871189,0.6795318587211364,2,0.15859015709734364,0.2983141721573795,0.09239923023744902,0.060629796470545234,0.07647483345734417,0.02000161823135706,0.0001163033630793007,30,100,0.08333802582588452,0.20359407041229613,True,True,True,3.3644551316084357e-06,COMPLETE
8,0.3214508473873139,2025-04-05 09:23:59.549850,2025-04-05 09:24:46.655462,0 days 00:00:47.105612,0.300802259448504,0.623008732228302,2,0.24531392249490325,0.08960512782275167,0.055703077687027286,0.028908331717159837,0.0737084212482938,0.07943701614277542,0.00037264766005368514,11,108,0.061041757379328127,0.284429511875114,False,False,True,5.441317889972082e-06,COMPLETE
9,0.28615721464157107,2025-04-05 09:24:46.661553,2025-04-05 09:25:01.513021,0 days 00:00:14.851468,0.9583412596730021,0.888792396509659,16,0.2739690447023612,0.2729105081508011,0.05265872519385755,0.07373481615852107,0.08749707572688495,0.0724143943460657,0.03315782633342835,5,78,0.01218774670007455,0.11741664844888544,False,True,True,1.3152919058386796e-08,COMPLETE
