number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_std-feats,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.2871637582778931,2025-04-24 20:42:58.833595,2025-04-24 20:43:23.599857,0 days 00:00:24.766262,0.8562474270567306,0.6476505854080734,16,0.12834758690058323,0.28705799694077355,0.0873400059905584,0.0429934550398279,0.08647496377856058,0.0926406306611479,0.0016792043734798036,27,48,0.03334402485660091,0.06411773726666997,False,False,True,6.38200964478123e-07,COMPLETE
1,0.28615721464157107,2025-04-24 20:43:23.606679,2025-04-24 20:43:57.233790,0 days 00:00:33.627111,0.7004623258930979,0.2819539085886359,2,0.27022471528900116,0.07886127927512633,0.00988591152445939,0.04065214990622384,0.033894263358498,0.025127243786767235,0.0007225638241236343,6,60,0.09234254442004486,0.2993076008100088,True,True,True,1.8377434395856262e-06,COMPLETE
2,0.30338446497917176,2025-04-24 20:43:57.237379,2025-04-24 20:44:22.678951,0 days 00:00:25.441572,0.8084181856625821,0.8190926724652137,16,0.09645689627072354,0.26803171946430226,0.09721397404570235,0.05997518025640172,0.09405649498118138,0.020088036867977277,1.9673294773663354e-05,30,33,0.07311782516646498,0.12239404043402859,True,True,True,0.00019071840006106773,COMPLETE
3,0.3469771504402161,2025-04-24 20:44:22.682793,2025-04-24 20:44:51.538634,0 days 00:00:28.855841,0.3253596682794133,0.8402140324294699,8,0.2183758436142806,0.2424778426359508,0.09596017219953147,0.08612930159470712,0.021809943123070448,0.02474169827780347,0.006895931386194256,17,99,0.050770513008796085,0.2593480171578365,True,False,True,0.0005514735093023299,COMPLETE
4,0.4070796072483063,2025-04-24 20:44:51.543028,2025-04-24 20:45:16.873827,0 days 00:00:25.330799,0.7549432235789156,0.22369804911439206,16,0.2590352081113863,0.03095145486465416,0.010980768301147852,0.0859019763780802,0.07563585471470101,0.05252592779406643,0.006145707186463392,18,71,0.004319602022872849,0.22440244866250367,True,False,False,8.956348122894274e-05,COMPLETE
5,0.28615721464157107,2025-04-24 20:45:16.878250,2025-04-24 20:46:12.831285,0 days 00:00:55.953035,0.558835662614228,0.8979683014755189,2,0.24082232447050791,0.009979177364456021,0.06593118999784293,0.035397047488318664,0.08219241287596118,0.07295431870744223,0.00011528768034845194,11,148,0.03891016542097624,0.12310332969391624,True,False,False,5.100118723127287e-07,COMPLETE
6,0.34598503112792967,2025-04-24 20:46:12.836036,2025-04-24 20:46:45.275606,0 days 00:00:32.439570,0.026322252981309698,0.22811165358827257,8,0.23883006968198534,0.21758199756264457,0.013906422458669052,0.0356416139614034,0.07581142404177846,0.0512181146438009,0.02735459804098438,21,77,0.07090430642114741,0.18980924193160964,False,False,False,1.1263934521578534e-06,COMPLETE
7,0.28857970237731934,2025-04-24 20:46:45.280604,2025-04-24 20:47:34.463840,0 days 00:00:49.183236,0.30422249244377436,0.6643616013166931,2,0.2485581847697879,0.05674193659275613,0.01452866711420217,0.028628541755818526,0.014591899197789245,0.017073920030054278,0.002692702388127051,12,77,0.09723443456577284,0.0983198686591075,False,True,False,5.30069409089017e-08,COMPLETE
8,0.33699259757995603,2025-04-24 20:47:34.469193,2025-04-24 20:48:17.845976,0 days 00:00:43.376783,0.8566326308092711,0.42031497949847996,2,0.2372489113120341,0.15839035109473118,0.04873806119110518,0.06715142750571555,0.04620814853852514,0.019409715605094035,1.655636167204909e-05,10,61,0.017710151335963997,0.2587630099243725,False,False,True,3.932854403917579e-06,COMPLETE
9,0.31150200963020325,2025-04-24 20:48:17.851579,2025-04-24 20:48:37.585776,0 days 00:00:19.734197,0.19885070066191413,0.48924327596773204,16,0.2646669622168428,0.2313406187324421,0.06972747562820043,0.04640027751328864,0.022865616786053068,0.04407454511716715,0.0015226023517179092,17,69,0.0910613319403687,0.1403342170396813,False,True,False,6.387783149035132e-08,COMPLETE
