iterations,data,l2_distance,F1_full,F1_per,MIOU_full,MIOU_per,MOF_full,MOF_per
100,100,4.386339859368954,0.3431315190291497,0.525882347923647,0.21424769378927241,0.4050288600288599,0.3784313725490196,0.6392156862745092
100,1000,3.8239757198721933,0.31554324171419756,0.5730592452831934,0.20815627841381282,0.4545104118864696,0.35751713018943976,0.6770455461507422
100,5000,3.662210723296356,0.32285854846128775,0.5747235116009043,0.2080193978213437,0.4577776836397507,0.3656609195402299,0.6755980118048852
100,15000,3.7385804435547945,0.3285600440366631,0.5577547909078299,0.21853656768689736,0.4318522623369927,0.36315491697586905,0.6564564090418701
1000,100,2.824248570102372,0.35564355938031206,0.6050370320168695,0.25384116713611676,0.45399470899470895,0.4046296296296296,0.6611111111111113
1000,1000,2.476400737836469,0.352559659803625,0.6369204339362468,0.2389233288114518,0.5098390702042964,0.38871742112482854,0.7117626886145365
1000,5000,2.297496860638966,0.36033014003544067,0.648644555769517,0.2351234878531582,0.5207758262841164,0.3867437463641652,0.7115510471204356
1000,15000,2.3845782343114665,0.3496001112059734,0.5937134833948816,0.22582386810494884,0.4499971796135959,0.38398064914568036,0.6718646355132228
5000,100,2.951277633356954,0.3910344777822521,0.64544802365232,0.26910043144888546,0.4790285083295837,0.4211469534050179,0.6971326164874551
5000,1000,2.264144240572775,0.39941982414707866,0.6697717869716894,0.2720140967080904,0.5157536429983116,0.429105873550318,0.7137111859334124
5000,5000,2.176722290939979,0.35815424574815646,0.6600588412807499,0.23538589157476855,0.5241534028409753,0.3878048780487805,0.7157375145179932
5000,15000,2.301524644180221,0.3651786890360459,0.6137130300485076,0.2355129888598304,0.45177090657316804,0.3956201964676541,0.6651778897541806
10000,100,2.9493103839107753,0.44236286421815446,0.6142063441858759,0.299914638501595,0.44793771043771025,0.4652777777777778,0.6835317460317455
10000,1000,2.28524854969422,0.34126245349063444,0.6120813721314013,0.22655785539048534,0.457070735298434,0.379010172143975,0.6733176838810674
10000,5000,2.1893141806441765,0.3761931225373314,0.607653967711267,0.2314500020714038,0.43157128463311495,0.40757718225983386,0.6626900172387119
10000,15000,2.207782433324489,0.34183848011874135,0.6127640044507395,0.20729051703624826,0.4424740859567122,0.367620363062352,0.661345698500434
50000,100,2.8751510097697626,0.35447367923201223,0.6036213941568341,0.25046522995785975,0.4303445982458327,0.404320987654321,0.6707818930041155
50000,1000,2.2131142740734924,0.3364199605976859,0.6302464596254547,0.21903484296061745,0.473174369962249,0.3697979797979798,0.684444444444441
50000,5000,2.2508279135097036,0.3404964617695323,0.5982675500800105,0.20839758668933647,0.4372928227874409,0.3692550828634888,0.659341363403369
50000,15000,2.0456803778484094,0.3656862789162761,0.6120653828430329,0.22545675394781364,0.4381891097870118,0.39084931837374837,0.6656939920375455
100,500,3.7671472532214074,0.313542445876255,0.3339795064151887,0.1147508282462117,0.1553796435593128,0.34377462568951933,0.46414499605988735
1000,500,2.4560860788298724,0.3133358757984187,0.33333332832222123,0.11495080393568514,0.15448764098872061,0.34485241180705545,0.463462922966164
5000,500,2.551153579013817,0.31438126592178467,0.3333333283222231,0.11426237161531279,0.15406162464985948,0.3427871148459384,0.4621848739495784
10000,500,2.4904705676758265,0.3213744581177086,0.3474483725695372,0.1237138000674002,0.16820113269228307,0.3401548672566372,0.4741887905604707
50000,500,2.5599736370123476,0.3254606315356137,0.3681796640184617,0.14344580398271276,0.19324001014308365,0.3664302600472813,0.49369582348305474
